"","Gene","p value"
"1","OR4F5","0.999999999999999"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","0.999999999999999"
"4","RP5-857K21.5","0.434913742418383"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","0.999999999999999"
"10","NOC2L","0.999999999999999"
"11","KLHL17","0.836087701702161"
"12","PLEKHN1","0.999999999999998"
"13","HES4","NaN"
"14","ISG15","0.999999999999999"
"15","AGRN","0.999999999999998"
"16","RP11-54O7.18","NaN"
"17","C1orf159","0.434913742418383"
"18","MIR200B","NaN"
"19","MIR200A","NaN"
"20","TTLL10","0.175731574718614"
"21","TNFRSF18","NaN"
"22","TNFRSF4","NaN"
"23","SDF4","0.731762512355962"
"24","B3GALT6","NaN"
"25","FAM132A","NaN"
"26","UBE2J2","0.434913742418383"
"27","SCNN1D","0.999999999999999"
"28","ACAP3","0.999999999999999"
"29","PUSL1","0.434913742418383"
"30","CPSF3L","0.836087701702161"
"31","TAS1R3","NaN"
"32","DVL1","0.999999999999998"
"33","MXRA8","NaN"
"34","AURKAIP1","0.999999999999999"
"35","CCNL2","0.731762512355962"
"36","MRPL20","0.59908995522609"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","0.999999999999999"
"40","ATAD3C","0.836087701702161"
"41","ATAD3B","0.999999999999999"
"42","ATAD3A","0.999999999999998"
"43","TMEM240","NaN"
"44","SSU72","NaN"
"45","MIB2","0.999999999999999"
"46","MMP23B","NaN"
"47","CDK11B","0.999999999999999"
"48","SLC35E2B","0.836087701702161"
"49","CDK11A","0.999999999999998"
"50","SLC35E2","0.836087701702161"
"51","NADK","0.999999999999999"
"52","GNB1","0.999999999999999"
"53","CALML6","0.434913742418383"
"54","TMEM52","NaN"
"55","GABRD","0.999999999999999"
"56","PRKCZ","0.540404296703964"
"57","C1orf86","0.909816308280134"
"58","SKI","0.434913742418383"
"59","MORN1","0.414874919582005"
"60","RER1","0.999999999999999"
"61","PEX10","0.999999999999999"
"62","PLCH2","0.999999999999999"
"63","PANK4","0.999999999999998"
"64","HES5","NaN"
"65","TNFRSF14","0.719431877960937"
"66","FAM213B","NaN"
"67","MMEL1","0.642030199432575"
"68","ACTRT2","0.175731574718614"
"69","LINC00982","NaN"
"70","PRDM16","0.999999999999999"
"71","ARHGEF16","0.731762512355962"
"72","MEGF6","0.999999999999998"
"73","TPRG1L","0.999999999999999"
"74","WRAP73","0.836087701702161"
"75","TP73","0.731762512355962"
"76","TP73-AS1","0.999999999999999"
"77","CCDC27","0.999999999999999"
"78","SMIM1","0.999999999999999"
"79","LRRC47","0.999999999999999"
"80","CEP104","0.999999999999999"
"81","DFFB","0.999999999999999"
"82","C1orf174","NaN"
"83","AJAP1","0.999999999999999"
"84","NPHP4","0.213304583204905"
"85","KCNAB2","0.731762512355962"
"86","CHD5","0.477740260407708"
"87","RPL22","0.434913742418383"
"88","RNF207","0.999999999999998"
"89","ICMT","0.999999999999999"
"90","HES3","NaN"
"91","GPR153","0.909816308280134"
"92","ACOT7","0.999999999999998"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.882724106430951"
"96","TNFRSF25","0.999999999999999"
"97","PLEKHG5","0.999999999999998"
"98","NOL9","NaN"
"99","TAS1R1","0.909816308280134"
"100","ZBTB48","0.999999999999998"
"101","KLHL21","NaN"
"102","PHF13","0.999999999999999"
"103","THAP3","NaN"
"104","DNAJC11","0.836087701702161"
"105","snoU13","NaN"
"106","CAMTA1","0.999999999999999"
"107","VAMP3","0.909816308280134"
"108","PER3","0.295063551360614"
"109","UTS2","0.999999999999999"
"110","TNFRSF9","0.999999999999999"
"111","PARK7","0.836087701702161"
"112","Y_RNA","0.999999999999999"
"113","ERRFI1","0.999999999999999"
"114","SLC45A1","0.999999999999999"
"115","RERE","0.635082349547232"
"116","ENO1","0.999999999999999"
"117","CA6","0.999999999999998"
"118","SLC2A7","0.999999999999998"
"119","SLC2A5","0.999999999999999"
"120","GPR157","0.999999999999999"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.0451901189627159"
"124","SPSB1","0.999999999999998"
"125","SLC25A33","0.999999999999999"
"126","TMEM201","0.836087701702161"
"127","PIK3CD","0.348997685465863"
"128","CLSTN1","0.353053728994237"
"129","CTNNBIP1","NaN"
"130","LZIC","0.999999999999999"
"131","NMNAT1","0.836087701702161"
"132","RBP7","NaN"
"133","UBE4B","1"
"134","KIF1B","0.886701899478788"
"135","PGD","0.999999999999998"
"136","APITD1","NaN"
"137","APITD1-CORT","0.909816308280134"
"138","CORT","NaN"
"139","DFFA","0.909816308280134"
"140","PEX14","0.999999999999998"
"141","CASZ1","0.20340826210091"
"142","C1orf127","0.731762512355962"
"143","TARDBP","NaN"
"144","MASP2","0.540404296703964"
"145","SRM","0.999999999999999"
"146","EXOSC10","0.999999999999998"
"147","MTOR","0.886701899478788"
"148","ANGPTL7","0.999999999999999"
"149","UBIAD1","0.999999999999999"
"150","PTCHD2","0.59908995522609"
"151","FBXO2","0.999999999999999"
"152","FBXO44","0.999999999999998"
"153","FBXO6","0.999999999999999"
"154","MAD2L2","0.434913742418383"
"155","DRAXIN","0.999999999999999"
"156","AGTRAP","0.999999999999999"
"157","C1orf167","NaN"
"158","MTHFR","0.414874919582005"
"159","CLCN6","0.999999999999998"
"160","NPPA","0.999999999999999"
"161","NPPB","NaN"
"162","KIAA2013","0.909816308280134"
"163","PLOD1","0.909816308280134"
"164","MFN2","0.731762512355962"
"165","MIIP","0.999999999999999"
"166","TNFRSF8","0.999999999999999"
"167","TNFRSF1B","0.909816308280134"
"168","SNORA70","NaN"
"169","VPS13D","0.204459436083721"
"170","DHRS3","0.999999999999999"
"171","AADACL4","0.999999999999999"
"172","AADACL3","NaN"
"173","C1orf158","NaN"
"174","PRAMEF12","0.999999999999999"
"175","PRAMEF1","0.999999999999999"
"176","PRAMEF11","0.999999999999998"
"177","HNRNPCL1","0.999999999999999"
"178","PRAMEF2","0.731762512355962"
"179","PRAMEF4","0.732217799296473"
"180","PRAMEF10","0.909816308280134"
"181","PRAMEF7","0.909816308280134"
"182","PRAMEF6","NaN"
"183","WI2-3308P17.2","0.999999999999998"
"184","PRAMEF5","0.999999999999998"
"185","PRAMEF8","0.999999999999999"
"186","RP11-219C24.6","0.999999999999998"
"187","PRAMEF18","0.999999999999998"
"188","PRAMEF15","0.909816308280134"
"189","PRAMEF14","0.719431877960937"
"190","PRAMEF19","0.909816308280134"
"191","PRAMEF17","0.999999999999998"
"192","PRAMEF20","0.731762512355962"
"193","LRRC38","0.999999999999999"
"194","PDPN","0.999999999999999"
"195","PRDM2","0.971823971943348"
"196","KAZN","0.999999999999999"
"197","TMEM51-AS1","NaN"
"198","TMEM51","NaN"
"199","FHAD1","0.719431877960937"
"200","EFHD2","NaN"
"201","CTRC","0.999999999999998"
"202","CELA2A","0.999999999999999"
"203","CELA2B","0.999999999999999"
"204","CASP9","0.353053728994237"
"205","DNAJC16","0.513570698408176"
"206","AGMAT","0.909816308280134"
"207","DDI2","0.999999999999998"
"208","RSC1A1","NaN"
"209","PLEKHM2","0.999999999999998"
"210","SLC25A34","NaN"
"211","TMEM82","0.999999999999998"
"212","FBLIM1","0.999999999999998"
"213","SPEN","0.139838101804902"
"214","ZBTB17","0.909816308280134"
"215","C1orf64","0.999999999999999"
"216","HSPB7","0.434913742418383"
"217","CLCNKA","0.999999999999999"
"218","CLCNKB","0.59908995522609"
"219","FAM131C","NaN"
"220","EPHA2","0.999999999999999"
