"","Gene","p value"
"1","OR4F5","0.637649952876166"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","0.999999999999999"
"8","FAM41C","NaN"
"9","SAMD11","NaN"
"10","NOC2L","0.999999999999999"
"11","KLHL17","0.999999999999999"
"12","PLEKHN1","0.999999999999999"
"13","HES4","NaN"
"14","ISG15","NaN"
"15","AGRN","0.130943047851902"
"16","RP11-54O7.18","NaN"
"17","C1orf159","0.906135588906235"
"18","MIR200B","NaN"
"19","MIR200A","0.999999999999999"
"20","TTLL10","0.346616657339123"
"21","TNFRSF18","NaN"
"22","TNFRSF4","0.906135588906235"
"23","SDF4","0.999999999999999"
"24","B3GALT6","0.999999999999999"
"25","FAM132A","NaN"
"26","UBE2J2","0.999999999999999"
"27","SCNN1D","0.999999999999999"
"28","ACAP3","0.906135588906235"
"29","PUSL1","0.637649952876166"
"30","CPSF3L","0.640631176175324"
"31","TAS1R3","0.637649952876166"
"32","DVL1","NaN"
"33","MXRA8","NaN"
"34","AURKAIP1","0.999999999999999"
"35","CCNL2","0.999999999999999"
"36","MRPL20","NaN"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","0.999999999999999"
"40","ATAD3C","NaN"
"41","ATAD3B","NaN"
"42","ATAD3A","0.637649952876166"
"43","TMEM240","0.999999999999999"
"44","SSU72","0.999999999999999"
"45","MIB2","NaN"
"46","MMP23B","0.999999999999999"
"47","CDK11B","0.906135588906235"
"48","SLC35E2B","0.999999999999999"
"49","CDK11A","0.999999999999999"
"50","SLC35E2","NaN"
"51","NADK","0.467087216925435"
"52","GNB1","0.999999999999999"
"53","CALML6","NaN"
"54","TMEM52","NaN"
"55","GABRD","0.637649952876166"
"56","PRKCZ","0.836112260274578"
"57","C1orf86","0.906135588906235"
"58","SKI","0.640631176175324"
"59","MORN1","0.906135588906235"
"60","RER1","0.999999999999999"
"61","PEX10","0.999999999999999"
"62","PLCH2","0.999999999999999"
"63","PANK4","0.999999999999999"
"64","HES5","NaN"
"65","TNFRSF14","0.906135588906235"
"66","FAM213B","NaN"
"67","MMEL1","0.999999999999999"
"68","ACTRT2","0.467087216925435"
"69","LINC00982","0.999999999999999"
"70","PRDM16","0.999999999999999"
"71","ARHGEF16","0.999999999999999"
"72","MEGF6","0.999999999999999"
"73","TPRG1L","NaN"
"74","WRAP73","0.999999999999999"
"75","TP73","0.999999999999999"
"76","TP73-AS1","0.999999999999999"
"77","CCDC27","0.637649952876166"
"78","SMIM1","NaN"
"79","LRRC47","0.999999999999999"
"80","CEP104","0.640631176175324"
"81","DFFB","0.906135588906235"
"82","C1orf174","NaN"
"83","AJAP1","0.999999999999999"
"84","NPHP4","0.906135588906235"
"85","KCNAB2","0.467087216925435"
"86","CHD5","0.836112260274578"
"87","RPL22","0.640631176175324"
"88","RNF207","0.906135588906235"
"89","ICMT","0.411672960733035"
"90","HES3","NaN"
"91","GPR153","0.999999999999999"
"92","ACOT7","NaN"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.637649952876166"
"96","TNFRSF25","0.411672960733035"
"97","PLEKHG5","0.145869813739955"
"98","NOL9","0.999999999999999"
"99","TAS1R1","NaN"
"100","ZBTB48","0.999999999999999"
"101","KLHL21","NaN"
"102","PHF13","0.999999999999999"
"103","THAP3","0.999999999999999"
"104","DNAJC11","0.999999999999999"
"105","snoU13","NaN"
"106","CAMTA1","0.836112260274578"
"107","VAMP3","0.999999999999999"
"108","PER3","0.346616657339123"
"109","UTS2","NaN"
"110","TNFRSF9","NaN"
"111","PARK7","NaN"
"112","Y_RNA","0.411672960733035"
"113","ERRFI1","NaN"
"114","SLC45A1","0.640631176175324"
"115","RERE","0.346616657339123"
"116","ENO1","0.999999999999999"
"117","CA6","0.999999999999999"
"118","SLC2A7","0.999999999999999"
"119","SLC2A5","NaN"
"120","GPR157","NaN"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","NaN"
"124","SPSB1","NaN"
"125","SLC25A33","0.999999999999999"
"126","TMEM201","0.906135588906235"
"127","PIK3CD","0.999999999999999"
"128","CLSTN1","0.346616657339123"
"129","CTNNBIP1","0.999999999999999"
"130","LZIC","NaN"
"131","NMNAT1","0.999999999999999"
"132","RBP7","NaN"
"133","UBE4B","0.640631176175324"
"134","KIF1B","0.640631176175324"
"135","PGD","NaN"
"136","APITD1","NaN"
"137","APITD1-CORT","NaN"
"138","CORT","NaN"
"139","DFFA","0.999999999999999"
"140","PEX14","NaN"
"141","CASZ1","0.640631176175324"
"142","C1orf127","0.640631176175324"
"143","TARDBP","0.999999999999999"
"144","MASP2","0.906135588906235"
"145","SRM","0.999999999999999"
"146","EXOSC10","0.906135588906235"
"147","MTOR","0.695365982553031"
"148","ANGPTL7","NaN"
"149","UBIAD1","0.637649952876166"
"150","PTCHD2","0.94996971559421"
"151","FBXO2","NaN"
"152","FBXO44","NaN"
"153","FBXO6","0.999999999999999"
"154","MAD2L2","NaN"
"155","DRAXIN","0.637649952876166"
"156","AGTRAP","NaN"
"157","C1orf167","0.906135588906235"
"158","MTHFR","0.906135588906235"
"159","CLCN6","0.999999999999999"
"160","NPPA","NaN"
"161","NPPB","0.999999999999999"
"162","KIAA2013","0.999999999999999"
"163","PLOD1","0.999999999999999"
"164","MFN2","0.999999999999999"
"165","MIIP","0.999999999999999"
"166","TNFRSF8","0.467087216925435"
"167","TNFRSF1B","0.906135588906235"
"168","SNORA70","NaN"
"169","VPS13D","0.836112260274578"
"170","DHRS3","0.640631176175324"
"171","AADACL4","NaN"
"172","AADACL3","0.906135588906235"
"173","C1orf158","0.999999999999999"
"174","PRAMEF12","0.637649952876166"
"175","PRAMEF1","0.906135588906235"
"176","PRAMEF11","0.906135588906235"
"177","HNRNPCL1","0.999999999999999"
"178","PRAMEF2","0.346616657339123"
"179","PRAMEF4","0.640631176175324"
"180","PRAMEF10","NaN"
"181","PRAMEF7","0.640631176175324"
"182","PRAMEF6","0.521413544620514"
"183","WI2-3308P17.2","0.906135588906235"
"184","PRAMEF5","NaN"
"185","PRAMEF8","0.999999999999999"
"186","RP11-219C24.6","0.999999999999999"
"187","PRAMEF18","0.999999999999999"
"188","PRAMEF15","0.640631176175324"
"189","PRAMEF14","0.640631176175324"
"190","PRAMEF19","0.906135588906235"
"191","PRAMEF17","1"
"192","PRAMEF20","0.640631176175324"
"193","LRRC38","0.999999999999999"
"194","PDPN","0.999999999999999"
"195","PRDM2","0.999999999999999"
"196","KAZN","0.999999999999999"
"197","TMEM51-AS1","NaN"
"198","TMEM51","0.999999999999999"
"199","FHAD1","0.999999999999999"
"200","EFHD2","NaN"
"201","CTRC","0.999999999999999"
"202","CELA2A","0.999999999999999"
"203","CELA2B","NaN"
"204","CASP9","0.999999999999999"
"205","DNAJC16","0.999999999999999"
"206","AGMAT","NaN"
"207","DDI2","NaN"
"208","RSC1A1","0.999999999999999"
"209","PLEKHM2","0.695365982553031"
"210","SLC25A34","NaN"
"211","TMEM82","NaN"
"212","FBLIM1","0.637649952876166"
"213","SPEN","0.640631176175324"
"214","ZBTB17","0.999999999999999"
"215","C1orf64","NaN"
"216","HSPB7","0.999999999999999"
"217","CLCNKA","0.999999999999999"
"218","CLCNKB","0.999999999999999"
"219","FAM131C","0.637649952876166"
"220","EPHA2","0.661624797960822"
"221","ARHGEF19","NaN"
"222","RSG1","0.999999999999999"
"223","FBXO42","0.999999999999999"
"224","SZRD1","NaN"
"225","SPATA21","0.999999999999999"
"226","NECAP2","NaN"
"227","CROCCP3","0.906135588906235"
"228","NBPF1","0.999999999999999"
"229","CROCCP2","0.0349685182169571"
"230","MST1P2","0.906135588906235"
"231","ESPNP","NaN"
"232","CROCC","0.640631176175324"
"233","MST1L","0.999999999999999"
"234","RP11-108M9.4","NaN"
"235","MFAP2","NaN"
"236","ATP13A2","0.640631176175324"
"237","SDHB","NaN"
"238","PADI2","0.999999999999999"
"239","RP11-380J14.1","NaN"
"240","PADI1","0.906135588906235"
"241","PADI3","0.999999999999999"
"242","PADI4","0.999999999999999"
"243","PADI6","0.637649952876166"
"244","RCC2","0.999999999999999"
"245","ARHGEF10L","0.999999999999999"
"246","ACTL8","NaN"
"247","IGSF21","0.999999999999999"
"248","KLHDC7A","0.906135588906235"
"249","PAX7","0.637649952876166"
"250","TAS1R2","0.999999999999999"
"251","ALDH4A1","0.906135588906235"
"252","IFFO2","NaN"
"253","UBR4","0.999999999999999"
"254","EMC1","0.999999999999999"
"255","MRTO4","NaN"
"256","AKR7L","NaN"
"257","AKR7A3","NaN"
"258","AKR7A2","0.999999999999999"
"259","PQLC2","NaN"
"260","CAPZB","NaN"
"261","MINOS1","NaN"
"262","NBL1","NaN"
"263","HTR6","0.999999999999999"
"264","TMCO4","0.637649952876166"
"265","RNF186","0.999999999999999"
"266","OTUD3","NaN"
"267","PLA2G2E","NaN"
"268","PLA2G2A","NaN"
"269","PLA2G5","0.999999999999999"
"270","PLA2G2D","NaN"
"271","PLA2G2F","0.999999999999999"
"272","PLA2G2C","NaN"
"273","UBXN10","0.637649952876166"
"274","VWA5B1","0.999999999999999"
"275","CAMK2N1","0.999999999999999"
"276","MUL1","0.999999999999999"
"277","FAM43B","0.411672960733035"
"278","CDA","NaN"
"279","PINK1","0.640631176175324"
"280","DDOST","0.637649952876166"
"281","KIF17","0.999999999999999"
"282","SH2D5","0.637649952876166"
"283","HP1BP3","0.999999999999999"
"284","EIF4G3","0.999999999999999"
"285","ECE1","0.999999999999999"
"286","NBPF2P","0.999999999999999"
"287","NBPF3","0.999999999999999"
"288","ALPL","0.906135588906235"
"289","RAP1GAP","0.637649952876166"
"290","USP48","0.999999999999999"
"291","LDLRAD2","0.906135588906235"
"292","HSPG2","0.409679766266846"
"293","CELA3B","NaN"
"294","CELA3A","0.999999999999999"
"295","LINC00339","NaN"
"296","CDC42","0.999999999999999"
"297","WNT4","NaN"
"298","ZBTB40","0.999999999999999"
"299","EPHA8","0.999999999999999"
"300","C1QA","0.999999999999999"
"301","C1QC","0.999999999999999"
"302","C1QB","0.999999999999999"
"303","EPHB2","1"
"304","C1orf234","NaN"
"305","KDM1A","0.999999999999999"
"306","LUZP1","0.906135588906235"
"307","HTR1D","0.999999999999999"
"308","HNRNPR","0.999999999999999"
"309","ZNF436","1"
"310","TCEA3","NaN"
"311","ASAP3","0.999999999999999"
"312","E2F2","0.999999999999999"
"313","ID3","0.999999999999999"
"314","MDS2","NaN"
"315","RPL11","0.999999999999999"
"316","TCEB3","0.637649952876166"
"317","PITHD1","NaN"
"318","LYPLA2","NaN"
"319","GALE","0.640631176175324"
"320","HMGCL","NaN"
"321","FUCA1","NaN"
"322","CNR2","NaN"
"323","PNRC2","NaN"
"324","SRSF10","0.637649952876166"
"325","MYOM3","0.999999999999999"
"326","IL22RA1","0.906135588906235"
"327","IFNLR1","NaN"
"328","GRHL3","NaN"
"329","STPG1","0.999999999999999"
"330","NIPAL3","0.999999999999999"
"331","RCAN3","0.999999999999999"
"332","NCMAP","NaN"
"333","SRRM1","0.411672960733035"
"334","CLIC4","0.640631176175324"
"335","RUNX3","0.637649952876166"
"336","SYF2","NaN"
"337","RHD","0.999999999999999"
"338","TMEM50A","0.999999999999999"
"339","RHCE","0.999999999999999"
"340","TMEM57","NaN"
"341","LDLRAP1","0.999999999999999"
"342","MAN1C1","0.637649952876166"
"343","SEPN1","0.906135588906235"
"344","MTFR1L","0.637649952876166"
"345","AUNIP","0.999999999999999"
"346","PAQR7","NaN"
"347","STMN1","0.637649952876166"
"348","PAFAH2","0.637649952876166"
"349","EXTL1","0.999999999999999"
"350","SLC30A2","0.999999999999999"
"351","TRIM63","NaN"
"352","PDIK1L","0.999999999999999"
"353","FAM110D","NaN"
"354","ZNF593","NaN"
"355","CNKSR1","NaN"
"356","CATSPER4","NaN"
"357","RP11-231P20.2","0.999999999999999"
"358","CEP85","NaN"
"359","SH3BGRL3","NaN"
"360","UBXN11","0.999999999999999"
"361","CD52","NaN"
"362","AIM1L","0.999999999999999"
"363","ZNF683","NaN"
