"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","0.999999999999999"
"10","NOC2L","0.999999999999999"
"11","KLHL17","0.999999999999998"
"12","PLEKHN1","NaN"
"13","HES4","NaN"
"14","ISG15","NaN"
"15","AGRN","1"
"16","RP11-54O7.18","NaN"
"17","C1orf159","0.999999999999999"
"18","MIR200B","NaN"
"19","MIR200A","NaN"
"20","TTLL10","0.999999999999999"
"21","TNFRSF18","NaN"
"22","TNFRSF4","NaN"
"23","SDF4","0.999999999999999"
"24","B3GALT6","NaN"
"25","FAM132A","NaN"
"26","UBE2J2","0.999999999999999"
"27","SCNN1D","NaN"
"28","ACAP3","NaN"
"29","PUSL1","NaN"
"30","CPSF3L","0.999999999999999"
"31","TAS1R3","0.999999999999999"
"32","DVL1","NaN"
"33","MXRA8","0.999999999999999"
"34","AURKAIP1","NaN"
"35","CCNL2","NaN"
"36","MRPL20","NaN"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","NaN"
"40","ATAD3C","NaN"
"41","ATAD3B","NaN"
"42","ATAD3A","0.999999999999999"
"43","TMEM240","NaN"
"44","SSU72","NaN"
"45","MIB2","NaN"
"46","MMP23B","NaN"
"47","CDK11B","0.999999999999999"
"48","SLC35E2B","NaN"
"49","CDK11A","NaN"
"50","SLC35E2","NaN"
"51","NADK","NaN"
"52","GNB1","1"
"53","CALML6","NaN"
"54","TMEM52","NaN"
"55","GABRD","NaN"
"56","PRKCZ","NaN"
"57","C1orf86","0.999999999999999"
"58","SKI","NaN"
"59","MORN1","NaN"
"60","RER1","0.999999999999999"
"61","PEX10","NaN"
"62","PLCH2","0.999999999999999"
"63","PANK4","NaN"
"64","HES5","NaN"
"65","TNFRSF14","0.999999999999999"
"66","FAM213B","NaN"
"67","MMEL1","0.999999999999999"
"68","ACTRT2","0.999999999999999"
"69","LINC00982","NaN"
"70","PRDM16","0.999999999999999"
"71","ARHGEF16","NaN"
"72","MEGF6","0.999999999999999"
"73","TPRG1L","NaN"
"74","WRAP73","1"
"75","TP73","0.999999999999999"
"76","TP73-AS1","NaN"
"77","CCDC27","NaN"
"78","SMIM1","NaN"
"79","LRRC47","NaN"
"80","CEP104","NaN"
"81","DFFB","0.999999999999999"
"82","C1orf174","NaN"
"83","AJAP1","NaN"
"84","NPHP4","1"
"85","KCNAB2","0.999999999999999"
"86","CHD5","1"
"87","RPL22","1"
"88","RNF207","NaN"
"89","ICMT","NaN"
"90","HES3","NaN"
"91","GPR153","NaN"
"92","ACOT7","0.999999999999999"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","1"
"96","TNFRSF25","NaN"
"97","PLEKHG5","1"
"98","NOL9","0.999999999999999"
"99","TAS1R1","0.999999999999999"
"100","ZBTB48","0.999999999999999"
"101","KLHL21","NaN"
"102","PHF13","NaN"
"103","THAP3","0.999999999999999"
"104","DNAJC11","0.999999999999999"
"105","snoU13","NaN"
"106","CAMTA1","1"
"107","VAMP3","0.999999999999999"
"108","PER3","NaN"
"109","UTS2","NaN"
"110","TNFRSF9","0.999999999999999"
"111","PARK7","NaN"
"112","Y_RNA","NaN"
"113","ERRFI1","NaN"
"114","SLC45A1","NaN"
"115","RERE","0.000973144580535149"
"116","ENO1","0.999999999999999"
"117","CA6","NaN"
"118","SLC2A7","NaN"
"119","SLC2A5","NaN"
"120","GPR157","0.999999999999999"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","NaN"
"124","SPSB1","1"
"125","SLC25A33","0.999999999999999"
"126","TMEM201","NaN"
"127","PIK3CD","NaN"
"128","CLSTN1","1"
"129","CTNNBIP1","NaN"
"130","LZIC","NaN"
"131","NMNAT1","NaN"
"132","RBP7","NaN"
"133","UBE4B","0.999999999999999"
"134","KIF1B","1"
"135","PGD","NaN"
"136","APITD1","NaN"
"137","APITD1-CORT","0.999999999999999"
"138","CORT","NaN"
"139","DFFA","NaN"
"140","PEX14","NaN"
"141","CASZ1","NaN"
"142","C1orf127","NaN"
"143","TARDBP","NaN"
"144","MASP2","NaN"
"145","SRM","NaN"
"146","EXOSC10","1"
"147","MTOR","0.999999999999999"
"148","ANGPTL7","1"
"149","UBIAD1","1"
"150","PTCHD2","0.999999999999998"
"151","FBXO2","1"
"152","FBXO44","0.999999999999999"
"153","FBXO6","NaN"
"154","MAD2L2","NaN"
"155","DRAXIN","NaN"
"156","AGTRAP","NaN"
