"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","NaN"
"10","NOC2L","1"
"11","KLHL17","NaN"
"12","PLEKHN1","NaN"
"13","HES4","NaN"
"14","ISG15","NaN"
"15","AGRN","0.999999999999999"
"16","RP11-54O7.18","NaN"
"17","C1orf159","NaN"
"18","MIR200B","NaN"
"19","MIR200A","0.517454023030534"
"20","TTLL10","NaN"
"21","TNFRSF18","NaN"
"22","TNFRSF4","NaN"
"23","SDF4","1"
"24","B3GALT6","NaN"
"25","FAM132A","NaN"
"26","UBE2J2","NaN"
"27","SCNN1D","NaN"
"28","ACAP3","0.999999999999999"
"29","PUSL1","NaN"
"30","CPSF3L","0.260376792704078"
"31","TAS1R3","0.79698009745237"
"32","DVL1","NaN"
"33","MXRA8","NaN"
"34","AURKAIP1","NaN"
"35","CCNL2","1"
"36","MRPL20","NaN"
"37","ANKRD65","NaN"
"38","TMEM88B","1"
"39","VWA1","NaN"
"40","ATAD3C","NaN"
"41","ATAD3B","0.999999999999999"
"42","ATAD3A","NaN"
"43","TMEM240","NaN"
"44","SSU72","NaN"
"45","MIB2","NaN"
"46","MMP23B","NaN"
"47","CDK11B","NaN"
"48","SLC35E2B","1"
"49","CDK11A","NaN"
"50","SLC35E2","NaN"
"51","NADK","0.517454023030534"
"52","GNB1","0.517454023030534"
"53","CALML6","NaN"
"54","TMEM52","1"
"55","GABRD","1"
"56","PRKCZ","NaN"
"57","C1orf86","0.482527650257489"
"58","SKI","NaN"
"59","MORN1","NaN"
"60","RER1","NaN"
"61","PEX10","1"
"62","PLCH2","0.999999999999999"
"63","PANK4","0.999999999999999"
"64","HES5","NaN"
"65","TNFRSF14","0.942551418035588"
"66","FAM213B","1"
"67","MMEL1","NaN"
"68","ACTRT2","NaN"
"69","LINC00982","NaN"
"70","PRDM16","0.942551418035588"
"71","ARHGEF16","1"
"72","MEGF6","0.999999999999999"
"73","TPRG1L","NaN"
"74","WRAP73","NaN"
"75","TP73","1"
"76","TP73-AS1","NaN"
"77","CCDC27","NaN"
"78","SMIM1","NaN"
"79","LRRC47","NaN"
"80","CEP104","1"
"81","DFFB","1"
"82","C1orf174","NaN"
"83","AJAP1","1"
"84","NPHP4","0.942551418035588"
"85","KCNAB2","0.999999999999999"
"86","CHD5","0.517454023030534"
"87","RPL22","0.999999999999999"
"88","RNF207","0.942551418035588"
"89","ICMT","1"
"90","HES3","0.999999999999999"
"91","GPR153","NaN"
"92","ACOT7","NaN"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.942551418035588"
"96","TNFRSF25","NaN"
"97","PLEKHG5","0.999999999999999"
"98","NOL9","0.999999999999999"
"99","TAS1R1","1"
"100","ZBTB48","0.517454023030534"
"101","KLHL21","1"
"102","PHF13","NaN"
"103","THAP3","1"
"104","DNAJC11","NaN"
"105","snoU13","NaN"
"106","CAMTA1","0.260376792704078"
"107","VAMP3","NaN"
"108","PER3","0.999999999999999"
"109","UTS2","NaN"
"110","TNFRSF9","NaN"
"111","PARK7","NaN"
"112","Y_RNA","0.517454023030534"
"113","ERRFI1","0.260376792704078"
"114","SLC45A1","NaN"
"115","RERE","0.92673893578401"
"116","ENO1","0.517454023030534"
"117","CA6","0.517454023030534"
"118","SLC2A7","NaN"
"119","SLC2A5","NaN"
"120","GPR157","NaN"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.517454023030534"
"124","SPSB1","NaN"
"125","SLC25A33","NaN"
"126","TMEM201","0.517454023030534"
"127","PIK3CD","1"
"128","CLSTN1","1"
"129","CTNNBIP1","NaN"
"130","LZIC","NaN"
"131","NMNAT1","NaN"
"132","RBP7","1"
"133","UBE4B","1"
"134","KIF1B","0.92673893578401"
"135","PGD","1"
"136","APITD1","NaN"
"137","APITD1-CORT","NaN"
"138","CORT","NaN"
"139","DFFA","NaN"
"140","PEX14","0.999999999999999"
"141","CASZ1","1"
"142","C1orf127","0.517454023030534"
"143","TARDBP","NaN"
"144","MASP2","0.999999999999999"
"145","SRM","NaN"
"146","EXOSC10","1"
"147","MTOR","0.260376792704078"
"148","ANGPTL7","NaN"
"149","UBIAD1","1"
"150","PTCHD2","0.999999999999999"
"151","FBXO2","NaN"
"152","FBXO44","NaN"
"153","FBXO6","1"
"154","MAD2L2","NaN"
"155","DRAXIN","NaN"
"156","AGTRAP","0.942551418035588"
"157","C1orf167","NaN"
"158","MTHFR","0.999999999999999"
