"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","NaN"
"10","NOC2L","NaN"
"11","KLHL17","0.999999999999999"
"12","PLEKHN1","0.999999999999999"
"13","HES4","NaN"
"14","ISG15","NaN"
"15","AGRN","NaN"
"16","RP11-54O7.18","NaN"
"17","C1orf159","NaN"
"18","MIR200B","NaN"
"19","MIR200A","0.999999999999999"
"20","TTLL10","0.999999999999999"
"21","TNFRSF18","0.999999999999999"
"22","TNFRSF4","0.999999999999999"
"23","SDF4","0.999999999999999"
"24","B3GALT6","0.999999999999999"
"25","FAM132A","NaN"
"26","UBE2J2","0.999999999999999"
"27","SCNN1D","NaN"
"28","ACAP3","0.0076525237505319"
"29","PUSL1","NaN"
"30","CPSF3L","0.999999999999999"
"31","TAS1R3","0.999999999999999"
"32","DVL1","0.587764143945565"
"33","MXRA8","0.999999999999999"
"34","AURKAIP1","NaN"
"35","CCNL2","0.999999999999999"
"36","MRPL20","0.999999999999999"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","0.999999999999999"
"40","ATAD3C","0.999999999999999"
"41","ATAD3B","0.999999999999999"
"42","ATAD3A","0.999999999999999"
"43","TMEM240","NaN"
"44","SSU72","NaN"
"45","MIB2","0.999999999999999"
"46","MMP23B","NaN"
"47","CDK11B","NaN"
"48","SLC35E2B","NaN"
"49","CDK11A","NaN"
"50","SLC35E2","NaN"
"51","NADK","0.999999999999999"
"52","GNB1","0.999999999999999"
"53","CALML6","0.999999999999999"
"54","TMEM52","NaN"
"55","GABRD","0.999999999999999"
"56","PRKCZ","0.999999999999999"
"57","C1orf86","NaN"
"58","SKI","NaN"
"59","MORN1","0.587764143945565"
"60","RER1","0.999999999999999"
"61","PEX10","NaN"
"62","PLCH2","0.748923574736479"
"63","PANK4","0.125548922283896"
"64","HES5","NaN"
"65","TNFRSF14","NaN"
"66","FAM213B","0.125548922283896"
"67","MMEL1","0.999999999999999"
"68","ACTRT2","0.999999999999999"
"69","LINC00982","NaN"
"70","PRDM16","0.587764143945565"
"71","ARHGEF16","0.999999999999999"
"72","MEGF6","0.999999999999999"
"73","TPRG1L","0.999999999999999"
"74","WRAP73","0.999999999999999"
"75","TP73","0.999999999999999"
"76","TP73-AS1","NaN"
"77","CCDC27","1"
"78","SMIM1","NaN"
"79","LRRC47","0.999999999999999"
"80","CEP104","0.999999999999999"
"81","DFFB","0.999999999999999"
"82","C1orf174","0.999999999999999"
"83","AJAP1","0.999999999999999"
"84","NPHP4","0.748923574736479"
"85","KCNAB2","1"
"86","CHD5","0.999999999999999"
"87","RPL22","0.999999999999999"
"88","RNF207","0.999999999999999"
"89","ICMT","0.999999999999999"
"90","HES3","NaN"
"91","GPR153","NaN"
"92","ACOT7","NaN"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.125548922283896"
"96","TNFRSF25","0.999999999999999"
"97","PLEKHG5","0.999999999999999"
"98","NOL9","NaN"
"99","TAS1R1","0.999999999999999"
"100","ZBTB48","0.999999999999999"
"101","KLHL21","0.999999999999999"
"102","PHF13","NaN"
"103","THAP3","NaN"
"104","DNAJC11","0.999999999999999"
"105","snoU13","NaN"
"106","CAMTA1","0.999999999999999"
"107","VAMP3","0.999999999999999"
"108","PER3","0.999999999999999"
"109","UTS2","NaN"
"110","TNFRSF9","NaN"
"111","PARK7","NaN"
"112","Y_RNA","0.748923574736479"
"113","ERRFI1","0.999999999999999"
"114","SLC45A1","0.999999999999999"
"115","RERE","0.999999999999999"
"116","ENO1","NaN"
"117","CA6","NaN"
"118","SLC2A7","NaN"
"119","SLC2A5","0.999999999999999"
"120","GPR157","NaN"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.999999999999999"
"124","SPSB1","NaN"
"125","SLC25A33","NaN"
"126","TMEM201","0.999999999999999"
"127","PIK3CD","0.999999999999999"
"128","CLSTN1","1"
"129","CTNNBIP1","NaN"
"130","LZIC","0.999999999999999"
"131","NMNAT1","0.125548922283896"
"132","RBP7","NaN"
"133","UBE4B","0.999999999999999"
"134","KIF1B","0.999999999999999"
"135","PGD","0.999999999999999"
"136","APITD1","NaN"
"137","APITD1-CORT","NaN"
"138","CORT","0.999999999999999"
"139","DFFA","NaN"
"140","PEX14","0.999999999999999"
"141","CASZ1","0.999999999999999"
"142","C1orf127","0.999999999999999"
"143","TARDBP","0.999999999999999"
"144","MASP2","NaN"
