"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","NaN"
"10","NOC2L","NaN"
"11","KLHL17","0.999999999999999"
"12","PLEKHN1","0.999999999999999"
"13","HES4","NaN"
"14","ISG15","NaN"
"15","AGRN","0.999999999999999"
"16","RP11-54O7.18","NaN"
"17","C1orf159","0.999999999999999"
"18","MIR200B","NaN"
"19","MIR200A","NaN"
"20","TTLL10","0.999999999999999"
"21","TNFRSF18","0.999999999999999"
"22","TNFRSF4","0.999999999999999"
"23","SDF4","NaN"
"24","B3GALT6","NaN"
"25","FAM132A","NaN"
"26","UBE2J2","0.253229831026593"
"27","SCNN1D","NaN"
"28","ACAP3","NaN"
"29","PUSL1","NaN"
"30","CPSF3L","0.999999999999999"
"31","TAS1R3","0.999999999999999"
"32","DVL1","0.999999999999999"
"33","MXRA8","NaN"
"34","AURKAIP1","0.999999999999999"
"35","CCNL2","0.999999999999999"
"36","MRPL20","0.999999999999999"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","NaN"
"40","ATAD3C","0.999999999999999"
"41","ATAD3B","0.587653612099755"
"42","ATAD3A","0.999999999999999"
"43","TMEM240","NaN"
"44","SSU72","0.999999999999999"
"45","MIB2","0.999999999999999"
"46","MMP23B","NaN"
"47","CDK11B","NaN"
"48","SLC35E2B","NaN"
"49","CDK11A","0.999999999999999"
"50","SLC35E2","NaN"
"51","NADK","0.999999999999999"
"52","GNB1","0.999999999999999"
"53","CALML6","NaN"
"54","TMEM52","NaN"
"55","GABRD","0.999999999999999"
"56","PRKCZ","0.999999999999999"
"57","C1orf86","0.999999999999999"
"58","SKI","NaN"
"59","MORN1","0.999999999999999"
"60","RER1","NaN"
"61","PEX10","NaN"
"62","PLCH2","1"
"63","PANK4","NaN"
"64","HES5","NaN"
"65","TNFRSF14","NaN"
"66","FAM213B","NaN"
"67","MMEL1","0.999999999999999"
"68","ACTRT2","NaN"
"69","LINC00982","NaN"
"70","PRDM16","1"
"71","ARHGEF16","NaN"
"72","MEGF6","0.821697485292889"
"73","TPRG1L","0.999999999999999"
"74","WRAP73","0.999999999999999"
"75","TP73","0.999999999999999"
"76","TP73-AS1","0.253229831026593"
"77","CCDC27","NaN"
"78","SMIM1","NaN"
"79","LRRC47","0.999999999999999"
"80","CEP104","1"
"81","DFFB","NaN"
"82","C1orf174","0.999999999999999"
"83","AJAP1","0.821697485292889"
"84","NPHP4","0.999999999999999"
"85","KCNAB2","0.999999999999999"
"86","CHD5","0.999999999999999"
"87","RPL22","NaN"
"88","RNF207","0.999999999999999"
"89","ICMT","NaN"
"90","HES3","NaN"
"91","GPR153","0.999999999999999"
"92","ACOT7","NaN"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","NaN"
"96","TNFRSF25","NaN"
"97","PLEKHG5","NaN"
"98","NOL9","0.999999999999999"
"99","TAS1R1","NaN"
"100","ZBTB48","0.999999999999999"
"101","KLHL21","0.999999999999999"
"102","PHF13","0.999999999999999"
"103","THAP3","0.999999999999999"
"104","DNAJC11","NaN"
"105","snoU13","NaN"
"106","CAMTA1","0.999999999999999"
"107","VAMP3","NaN"
"108","PER3","NaN"
"109","UTS2","NaN"
"110","TNFRSF9","NaN"
"111","PARK7","0.999999999999999"
"112","Y_RNA","0.999999999999999"
"113","ERRFI1","0.999999999999999"
"114","SLC45A1","0.999999999999999"
"115","RERE","0.999999999999999"
"116","ENO1","0.999999999999999"
"117","CA6","0.999999999999999"
"118","SLC2A7","0.999999999999999"
"119","SLC2A5","0.999999999999999"
"120","GPR157","0.999999999999999"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.999999999999999"
"124","SPSB1","NaN"
"125","SLC25A33","NaN"
"126","TMEM201","0.999999999999999"
"127","PIK3CD","1"
"128","CLSTN1","0.821697485292889"
"129","CTNNBIP1","NaN"
"130","LZIC","NaN"
"131","NMNAT1","0.999999999999999"
"132","RBP7","NaN"
"133","UBE4B","NaN"
"134","KIF1B","0.999999999999999"
"135","PGD","NaN"
"136","APITD1","0.999999999999999"
"137","APITD1-CORT","NaN"
"138","CORT","NaN"
"139","DFFA","0.999999999999999"
"140","PEX14","NaN"
"141","CASZ1","0.671009961606389"
"142","C1orf127","0.999999999999999"
"143","TARDBP","NaN"
"144","MASP2","0.999999999999999"
"145","SRM","0.999999999999999"
"146","EXOSC10","0.999999999999999"
"147","MTOR","1"
