"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","0.999999999999999"
"9","SAMD11","0.999999999999999"
"10","NOC2L","0.999999999999999"
"11","KLHL17","0.9508534154334"
"12","PLEKHN1","1"
"13","HES4","0.999999999999999"
"14","ISG15","0.999999999999999"
"15","AGRN","0.999999999999999"
"16","RP11-54O7.18","NaN"
"17","C1orf159","0.999999999999999"
"18","MIR200B","NaN"
"19","MIR200A","0.999999999999998"
"20","TTLL10","1"
"21","TNFRSF18","1"
"22","TNFRSF4","NaN"
"23","SDF4","0.999999999999998"
"24","B3GALT6","NaN"
"25","FAM132A","0.999999999999999"
"26","UBE2J2","0.999999999999998"
"27","SCNN1D","0.860538743383847"
"28","ACAP3","0.999999999999999"
"29","PUSL1","1"
"30","CPSF3L","1"
"31","TAS1R3","0.999999999999999"
"32","DVL1","1"
"33","MXRA8","1"
"34","AURKAIP1","0.999999999999999"
"35","CCNL2","1"
"36","MRPL20","1"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","NaN"
"40","ATAD3C","1"
"41","ATAD3B","0.109042239485132"
"42","ATAD3A","0.999999999999998"
"43","TMEM240","NaN"
"44","SSU72","0.999999999999999"
"45","MIB2","1"
"46","MMP23B","NaN"
"47","CDK11B","0.999999999999999"
"48","SLC35E2B","NaN"
"49","CDK11A","1"
"50","SLC35E2","NaN"
"51","NADK","0.999999999999999"
"52","GNB1","0.999999999999999"
"53","CALML6","0.999999999999999"
"54","TMEM52","0.999999999999999"
"55","GABRD","0.999999999999999"
"56","PRKCZ","0.999999999999999"
"57","C1orf86","1"
"58","SKI","0.999999999999998"
"59","MORN1","0.999999999999999"
"60","RER1","0.999999999999998"
"61","PEX10","0.999999999999998"
"62","PLCH2","0.970391184172444"
"63","PANK4","0.63031084672092"
"64","HES5","NaN"
"65","TNFRSF14","0.999999999999999"
"66","FAM213B","1"
"67","MMEL1","0.999999999999999"
"68","ACTRT2","1"
"69","LINC00982","NaN"
"70","PRDM16","0.999999999999999"
"71","ARHGEF16","1"
"72","MEGF6","0.999999999999999"
"73","TPRG1L","0.999999999999999"
"74","WRAP73","1"
"75","TP73","1"
"76","TP73-AS1","1"
"77","CCDC27","0.999999999999999"
"78","SMIM1","NaN"
"79","LRRC47","0.999999999999999"
"80","CEP104","0.782896532822579"
"81","DFFB","0.999999999999998"
"82","C1orf174","0.999999999999999"
"83","AJAP1","0.999999999999999"
"84","NPHP4","1"
"85","KCNAB2","0.999999999999998"
"86","CHD5","0.535716563997497"
"87","RPL22","0.999999999999998"
"88","RNF207","0.999999999999999"
"89","ICMT","0.860538743383847"
"90","HES3","0.999999999999998"
"91","GPR153","0.63031084672092"
"92","ACOT7","1"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.999999999999999"
"96","TNFRSF25","0.999999999999999"
"97","PLEKHG5","0.999999999999999"
"98","NOL9","0.900833477517822"
"99","TAS1R1","0.999999999999999"
"100","ZBTB48","1"
"101","KLHL21","0.999999999999999"
"102","PHF13","0.999999999999998"
"103","THAP3","0.999999999999998"
"104","DNAJC11","0.999999999999999"
"105","snoU13","NaN"
"106","CAMTA1","0.134618317552993"
"107","VAMP3","0.999999999999999"
"108","PER3","0.900833477517822"
"109","UTS2","0.999999999999999"
"110","TNFRSF9","0.999999999999999"
"111","PARK7","0.291504364164066"
"112","Y_RNA","0.999999999999999"
"113","ERRFI1","0.999999999999999"
"114","SLC45A1","0.838760707645499"
"115","RERE","0.535716563997497"
"116","ENO1","0.999999999999999"
"117","CA6","0.999999999999999"
"118","SLC2A7","1"
"119","SLC2A5","1"
"120","GPR157","NaN"
"121","MIR34A","0.0792247638686457"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.838760707645499"
"124","SPSB1","0.999999999999999"
"125","SLC25A33","NaN"
"126","TMEM201","0.999999999999999"
"127","PIK3CD","0.9508534154334"
"128","CLSTN1","1"
"129","CTNNBIP1","0.999999999999998"
"130","LZIC","0.999999999999998"
"131","NMNAT1","NaN"
"132","RBP7","0.999999999999998"
"133","UBE4B","0.838760707645499"
"134","KIF1B","0.716393815946354"
"135","PGD","0.999999999999999"
"136","APITD1","NaN"
"137","APITD1-CORT","0.999999999999999"
"138","CORT","0.999999999999998"
"139","DFFA","0.900833477517822"
"140","PEX14","0.999999999999999"
"141","CASZ1","0.970391184172444"
"142","C1orf127","1"
"143","TARDBP","0.999999999999999"
"144","MASP2","1"
"145","SRM","1"
