"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","0.795977208729103"
"9","SAMD11","0.999999999999999"
"10","NOC2L","0.542278588762034"
"11","KLHL17","0.787652074368929"
"12","PLEKHN1","1"
"13","HES4","1"
"14","ISG15","1"
"15","AGRN","1"
"16","RP11-54O7.18","NaN"
"17","C1orf159","1"
"18","MIR200B","NaN"
"19","MIR200A","1"
"20","TTLL10","1"
"21","TNFRSF18","1"
"22","TNFRSF4","NaN"
"23","SDF4","1"
"24","B3GALT6","NaN"
"25","FAM132A","0.999999999999999"
"26","UBE2J2","1"
"27","SCNN1D","0.896959542456879"
"28","ACAP3","0.619796905061822"
"29","PUSL1","1"
"30","CPSF3L","1"
"31","TAS1R3","0.44623957043391"
"32","DVL1","0.896959542456879"
"33","MXRA8","1"
"34","AURKAIP1","1"
"35","CCNL2","0.651607887986841"
"36","MRPL20","1"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","0.237502887352591"
"40","ATAD3C","1"
"41","ATAD3B","0.896959542456879"
"42","ATAD3A","0.564399369723673"
"43","TMEM240","NaN"
"44","SSU72","1"
"45","MIB2","1"
"46","MMP23B","NaN"
"47","CDK11B","1"
"48","SLC35E2B","NaN"
"49","CDK11A","0.696763233280634"
"50","SLC35E2","NaN"
"51","NADK","0.999999999999999"
"52","GNB1","0.999999999999999"
"53","CALML6","1"
"54","TMEM52","0.999999999999999"
"55","GABRD","0.999999999999999"
"56","PRKCZ","0.999999999999999"
"57","C1orf86","1"
"58","SKI","1"
"59","MORN1","1"
"60","RER1","1"
"61","PEX10","1"
"62","PLCH2","1"
"63","PANK4","0.968240573759451"
"64","HES5","NaN"
"65","TNFRSF14","0.795977208729103"
"66","FAM213B","1"
"67","MMEL1","1"
"68","ACTRT2","1"
"69","LINC00982","NaN"
"70","PRDM16","1"
"71","ARHGEF16","1"
"72","MEGF6","0.787652074368929"
"73","TPRG1L","0.795977208729103"
"74","WRAP73","0.896959542456879"
"75","TP73","1"
"76","TP73-AS1","0.968240573759451"
"77","CCDC27","0.696763233280634"
"78","SMIM1","NaN"
"79","LRRC47","0.999999999999999"
"80","CEP104","0.999999999999997"
"81","DFFB","1"
"82","C1orf174","1"
"83","AJAP1","1"
"84","NPHP4","0.968240573759451"
"85","KCNAB2","1"
"86","CHD5","0.244282605721143"
"87","RPL22","1"
"88","RNF207","0.999999999999999"
"89","ICMT","0.896959542456879"
"90","HES3","1"
"91","GPR153","1"
"92","ACOT7","1"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.999999999999999"
"96","TNFRSF25","0.999999999999999"
"97","PLEKHG5","0.787652074368929"
"98","NOL9","0.853227222843093"
"99","TAS1R1","1"
"100","ZBTB48","0.896959542456879"
"101","KLHL21","1"
"102","PHF13","1"
"103","THAP3","1"
"104","DNAJC11","0.696763233280634"
"105","snoU13","NaN"
"106","CAMTA1","0.892495854501667"
"107","VAMP3","1"
"108","PER3","0.553721328121567"
"109","UTS2","0.999999999999999"
"110","TNFRSF9","0.999999999999999"
"111","PARK7","1"
"112","Y_RNA","1"
"113","ERRFI1","1"
"114","SLC45A1","0.496393401519587"
"115","RERE","0.244282605721143"
"116","ENO1","0.696763233280634"
"117","CA6","1"
"118","SLC2A7","1"
"119","SLC2A5","0.968240573759451"
"120","GPR157","NaN"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.496393401519587"
"124","SPSB1","1"
"125","SLC25A33","NaN"
"126","TMEM201","0.795977208729103"
"127","PIK3CD","1"
"128","CLSTN1","0.896959542456879"
"129","CTNNBIP1","1"
"130","LZIC","1"
"131","NMNAT1","NaN"
"132","RBP7","1"
"133","UBE4B","0.496393401519587"
"134","KIF1B","0.0786913951393812"
"135","PGD","0.787652074368929"
"136","APITD1","NaN"
"137","APITD1-CORT","1"
"138","CORT","1"
"139","DFFA","0.553721328121567"
"140","PEX14","0.999999999999999"
"141","CASZ1","0.755529004725746"
"142","C1orf127","0.896959542456879"
"143","TARDBP","0.999999999999999"
"144","MASP2","1"
"145","SRM","1"
"146","EXOSC10","0.820085848272069"
"147","MTOR","0.553721328121567"
"148","ANGPTL7","NaN"
"149","UBIAD1","0.787652074368929"
"150","PTCHD2","0.999999999999997"
"151","FBXO2","1"
"152","FBXO44","NaN"
"153","FBXO6","1"
"154","MAD2L2","0.237502887352591"
"155","DRAXIN","1"
"156","AGTRAP","1"
"157","C1orf167","NaN"
