"","Gene","p value"
"1","OR4F5","1"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","1"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","1"
"10","NOC2L","1"
"11","KLHL17","1"
"12","PLEKHN1","1"
"13","HES4","NaN"
"14","ISG15","1"
"15","AGRN","0.999999999999999"
"16","RP11-54O7.18","NaN"
"17","C1orf159","NaN"
"18","MIR200B","NaN"
"19","MIR200A","NaN"
"20","TTLL10","1"
"21","TNFRSF18","NaN"
"22","TNFRSF4","NaN"
"23","SDF4","0.999999999999999"
"24","B3GALT6","NaN"
"25","FAM132A","NaN"
"26","UBE2J2","0.117100037169376"
"27","SCNN1D","1"
"28","ACAP3","0.569997928420165"
"29","PUSL1","NaN"
"30","CPSF3L","0.367035015390571"
"31","TAS1R3","NaN"
"32","DVL1","1"
"33","MXRA8","NaN"
"34","AURKAIP1","0.367035015390571"
"35","CCNL2","0.999999999999999"
"36","MRPL20","0.999999999999999"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","1"
"40","ATAD3C","1"
"41","ATAD3B","1"
"42","ATAD3A","1"
"43","TMEM240","NaN"
"44","SSU72","NaN"
"45","MIB2","0.999999999999999"
"46","MMP23B","NaN"
"47","CDK11B","0.999999999999999"
"48","SLC35E2B","0.367035015390571"
"49","CDK11A","0.0254656855273323"
"50","SLC35E2","1"
"51","NADK","1"
"52","GNB1","1"
"53","CALML6","NaN"
"54","TMEM52","NaN"
"55","GABRD","0.367035015390571"
"56","PRKCZ","1"
"57","C1orf86","1"
"58","SKI","NaN"
"59","MORN1","0.943593186630093"
"60","RER1","1"
"61","PEX10","1"
"62","PLCH2","0.729446774486572"
"63","PANK4","0.999999999999999"
"64","HES5","NaN"
"65","TNFRSF14","0.858326574223094"
"66","FAM213B","NaN"
"67","MMEL1","0.943593186630093"
"68","ACTRT2","1"
"69","LINC00982","NaN"
"70","PRDM16","1"
"71","ARHGEF16","0.858326574223094"
"72","MEGF6","1"
"73","TPRG1L","1"
"74","WRAP73","0.367035015390571"
"75","TP73","0.999999999999999"
"76","TP73-AS1","1"
"77","CCDC27","1"
"78","SMIM1","1"
"79","LRRC47","1"
"80","CEP104","1"
"81","DFFB","1"
"82","C1orf174","NaN"
