"","Gene","p value"
"1","OR4F5","NaN"
"2","RP11-34P13.13","NaN"
"3","RP4-669L17.10","NaN"
"4","RP5-857K21.5","NaN"
"5","RP11-206L10.1","NaN"
"6","RP11-206L10.2","NaN"
"7","LINC00115","NaN"
"8","FAM41C","NaN"
"9","SAMD11","0.947916211311687"
"10","NOC2L","NaN"
"11","KLHL17","0.536446088618447"
"12","PLEKHN1","1"
"13","HES4","NaN"
"14","ISG15","NaN"
"15","AGRN","0.947916211311687"
"16","RP11-54O7.18","NaN"
"17","C1orf159","0.421839281925926"
"18","MIR200B","NaN"
"19","MIR200A","0.999999999999999"
"20","TTLL10","0.999999999999999"
"21","TNFRSF18","1"
"22","TNFRSF4","0.536446088618447"
"23","SDF4","0.999999999999999"
"24","B3GALT6","0.909648954425822"
"25","FAM132A","0.947916211311687"
"26","UBE2J2","1"
"27","SCNN1D","0.100301263236268"
"28","ACAP3","0.909648954425822"
"29","PUSL1","NaN"
"30","CPSF3L","0.999999999999999"
"31","TAS1R3","0.909648954425822"
"32","DVL1","0.999999999999998"
"33","MXRA8","0.999999999999999"
"34","AURKAIP1","NaN"
"35","CCNL2","0.999999999999998"
"36","MRPL20","1"
"37","ANKRD65","NaN"
"38","TMEM88B","NaN"
"39","VWA1","0.999999999999999"
"40","ATAD3C","1"
"41","ATAD3B","1"
"42","ATAD3A","0.999999999999999"
"43","TMEM240","NaN"
"44","SSU72","0.421839281925926"
"45","MIB2","0.5252412886809"
"46","MMP23B","NaN"
"47","CDK11B","0.421839281925926"
"48","SLC35E2B","NaN"
"49","CDK11A","0.947916211311687"
"50","SLC35E2","NaN"
"51","NADK","0.536446088618447"
"52","GNB1","0.536446088618447"
"53","CALML6","0.909648954425822"
"54","TMEM52","NaN"
"55","GABRD","1"
"56","PRKCZ","0.5252412886809"
"57","C1orf86","NaN"
"58","SKI","0.947916211311687"
"59","MORN1","0.536446088618447"
"60","RER1","1"
"61","PEX10","NaN"
"62","PLCH2","0.709281690647456"
"63","PANK4","0.947916211311687"
"64","HES5","NaN"
"65","TNFRSF14","0.947916211311687"
"66","FAM213B","NaN"
"67","MMEL1","0.536446088618447"
"68","ACTRT2","0.999999999999999"
"69","LINC00982","NaN"
"70","PRDM16","0.565963457300051"
"71","ARHGEF16","1"
"72","MEGF6","0.999999999999998"
"73","TPRG1L","1"
"74","WRAP73","1"
"75","TP73","0.999999999999999"
"76","TP73-AS1","NaN"
"77","CCDC27","0.2942505182063"
"78","SMIM1","NaN"
"79","LRRC47","1"
"80","CEP104","0.999999999999999"
"81","DFFB","0.167300825461942"
"82","C1orf174","0.536446088618447"
"83","AJAP1","0.449595887851128"
"84","NPHP4","0.709281690647456"
"85","KCNAB2","0.2942505182063"
"86","CHD5","0.206792793132198"
"87","RPL22","0.536446088618447"
"88","RNF207","0.999999999999999"
"89","ICMT","1"
"90","HES3","NaN"
"91","GPR153","NaN"
"92","ACOT7","NaN"
"93","RP1-202O8.3","NaN"
"94","HES2","NaN"
"95","ESPN","0.947916211311687"
"96","TNFRSF25","0.5252412886809"
"97","PLEKHG5","0.999999999999999"
"98","NOL9","NaN"
"99","TAS1R1","0.909648954425822"
"100","ZBTB48","0.999999999999999"
"101","KLHL21","0.999999999999999"
"102","PHF13","0.947916211311687"
"103","THAP3","0.947916211311687"
"104","DNAJC11","0.999999999999999"
"105","snoU13","NaN"
"106","CAMTA1","0.293729577039017"
"107","VAMP3","0.999999999999999"
"108","PER3","1"
"109","UTS2","NaN"
"110","TNFRSF9","NaN"
"111","PARK7","NaN"
"112","Y_RNA","0.2942505182063"
"113","ERRFI1","0.999999999999999"
"114","SLC45A1","0.999999999999999"
"115","RERE","0.5252412886809"
"116","ENO1","NaN"
"117","CA6","0.947916211311687"
"118","SLC2A7","0.947916211311687"
"119","SLC2A5","0.883176951771437"
"120","GPR157","NaN"
"121","MIR34A","NaN"
"122","RP3-510D11.1","NaN"
"123","H6PD","0.999999999999998"
"124","SPSB1","0.421839281925926"
"125","SLC25A33","0.947916211311687"
"126","TMEM201","1"
"127","PIK3CD","0.909648954425822"
"128","CLSTN1","0.709281690647456"
"129","CTNNBIP1","NaN"
"130","LZIC","1"
"131","NMNAT1","0.947916211311687"
"132","RBP7","0.947916211311687"
"133","UBE4B","0.883176951771437"
"134","KIF1B","0.565963457300051"
"135","PGD","1"
"136","APITD1","NaN"
"137","APITD1-CORT","NaN"
"138","CORT","1"
"139","DFFA","NaN"
"140","PEX14","0.999999999999999"
"141","CASZ1","0.909648954425822"
"142","C1orf127","0.999999999999999"
"143","TARDBP","0.999999999999999"
"144","MASP2","0.202024321514139"
"145","SRM","0.947916211311687"
