Gene,p value Black,mutation rates
CH17-140K24.8,0.0033065998134847,0.4
DLC1,0.0191965076714687,0.4
FAT2,0.0091649401675153,0.4
IRS1,6.21102852004558e-05,0.4
KLHL6,4.828310358135e-07,0.4
MAP3K5,0.0191965076714687,0.4
NFASC,0.0091649401675153,0.4
PCMTD1,6.21102852004558e-05,0.4
PELI3,4.828310358135e-07,0.4
PHF20L1,0.0033065998134847,0.4
PTCH1,0.0191965076714687,0.4
SLITRK4,0.0033065998134847,0.4
SMCR8,0.0007337361240279,0.4
TAS2R13,4.828310358135e-07,0.4
ZNF720,0.0091649401675153,0.4
ACBD5,0.021882221559533,0.2
AEBP2,0.021882221559533,0.2
AGPAT4,0.021882221559533,0.2
AKAP12,0.021882221559533,0.2
APBB3,0.021882221559533,0.2
ARL6,0.021882221559533,0.2
ASB8,0.021882221559533,0.2
BCKDHB,0.021882221559533,0.2
BOC,0.021882221559533,0.2
C19orf54,0.021882221559533,0.2
CALML3,0.021882221559533,0.2
CCDC114,0.021882221559533,0.2
CDK16,0.021882221559533,0.2
CEACAM20,0.021882221559533,0.2
CENPU,0.021882221559533,0.2
CIAO1,0.021882221559533,0.2
CNTD1,0.021882221559533,0.2
COLEC11,0.021882221559533,0.2
COX18,0.021882221559533,0.2
CRELD2,0.021882221559533,0.2
CRIM1,0.021882221559533,0.2
DDX12P,0.021882221559533,0.2
DKK4,0.021882221559533,0.2
DNA2,0.021882221559533,0.2
DNM1P46,0.021882221559533,0.2
DOK3,0.021882221559533,0.2
EEPD1,0.021882221559533,0.2
EFEMP1,0.021882221559533,0.2
EML3,0.021882221559533,0.2
ENOPH1,0.021882221559533,0.2
EPHA1,0.021882221559533,0.2
ERICH1,0.021882221559533,0.2
FAM105A,0.021882221559533,0.2
FAM127A,0.021882221559533,0.2
FAM166B,0.021882221559533,0.2
FAM46A,0.021882221559533,0.2
FIP1L1,0.021882221559533,0.2
FOXF1,0.021882221559533,0.2
G3BP1,0.021882221559533,0.2
GAMT,0.021882221559533,0.2
GLS,0.021882221559533,0.2
GOLGA6L10,0.021882221559533,0.2
GPR142,0.021882221559533,0.2
GPSM2,0.021882221559533,0.2
GTF2F1,0.021882221559533,0.2
H3F3AP5,0.021882221559533,0.2
HMGCR,0.021882221559533,0.2
HSD17B13,0.021882221559533,0.2
IFNA10,0.021882221559533,0.2
IL18RAP,0.021882221559533,0.2
IPO8,0.021882221559533,0.2
KBTBD4,0.021882221559533,0.2
KIF15,0.021882221559533,0.2
KRTAP15-1,0.021882221559533,0.2
LINC00475,0.021882221559533,0.2
LRCH3,0.021882221559533,0.2
MAPK13,0.021882221559533,0.2
MAX,0.021882221559533,0.2
MEX3A,0.021882221559533,0.2
MOSPD3,0.021882221559533,0.2
MPL,0.021882221559533,0.2
MRPL38,0.021882221559533,0.2
MS4A6E,0.021882221559533,0.2
MYH15,0.021882221559533,0.2
NAP1L4,0.021882221559533,0.2
