Gene,p value Asian,mutation rates
GOLT1A,9.84677783962616e-09,0.333333333333333
ABCC5,0.0256821728152235,0.166666666666667
ACAN,0.0256821728152235,0.166666666666667
ACOT8,0.0009731445805351,0.166666666666667
ADGRF1,0.0256821728152235,0.166666666666667
AKAP8L,0.0256821728152235,0.166666666666667
ALAS1,0.0256821728152235,0.166666666666667
ANKRD34A,0.0256821728152235,0.166666666666667
ANO9,0.0009731445805351,0.166666666666667
ARHGAP11A,0.0256821728152235,0.166666666666667
ATG9B,0.0009731445805351,0.166666666666667
BPIFB4,0.0009731445805351,0.166666666666667
BRCA1,0.0256821728152235,0.166666666666667
C2orf71,0.0256821728152235,0.166666666666667
C6orf201,0.0256821728152235,0.166666666666667
CACNA1E,0.0256821728152235,0.166666666666667
CCDC14,0.0009731445805351,0.166666666666667
CDH13,0.0256821728152235,0.166666666666667
CHAD,0.0009731445805351,0.166666666666667
CHD8,0.0256821728152235,0.166666666666667
CLK2,0.0256821728152235,0.166666666666667
COL19A1,0.0256821728152235,0.166666666666667
CSTF2T,0.0256821728152235,0.166666666666667
CYLC1,0.0009731445805351,0.166666666666667
CYP2B6,0.0009731445805351,0.166666666666667
DEFB123,0.0256821728152235,0.166666666666667
DYRK4,0.0009731445805351,0.166666666666667
ELP2,0.0256821728152235,0.166666666666667
EP400,0.0256821728152235,0.166666666666667
ESCO1,0.0256821728152235,0.166666666666667
EXOC4,0.0256821728152235,0.166666666666667
FAM19A1,0.0009731445805351,0.166666666666667
FGF13,0.0009731445805351,0.166666666666667
FOSB,0.0256821728152235,0.166666666666667
FUCA2,0.0009731445805351,0.166666666666667
GBP6,0.0009731445805351,0.166666666666667
GDF5,0.0256821728152235,0.166666666666667
H3F3AP5,0.0009731445805351,0.166666666666667
HIST1H4E,0.0009731445805351,0.166666666666667
HPSE,0.0256821728152235,0.166666666666667
HS3ST3A1,0.0009731445805351,0.166666666666667
HSD17B8,0.0009731445805351,0.166666666666667
IDS,0.0256821728152235,0.166666666666667
IFNA8,0.0009731445805351,0.166666666666667
IGHM,0.0009731445805351,0.166666666666667
IGSF9,0.0009731445805351,0.166666666666667
IRF2BP2,0.0256821728152235,0.166666666666667
JAK1,0.0256821728152235,0.166666666666667
JMJD6,0.0256821728152235,0.166666666666667
KIF12,0.0009731445805351,0.166666666666667
LOH12CR1,0.0009731445805351,0.166666666666667
LRRC15,0.0256821728152235,0.166666666666667
MCF2L2,0.0009731445805351,0.166666666666667
MKS1,0.0009731445805351,0.166666666666667
MLF2,0.0009731445805351,0.166666666666667
MMP1,0.0009731445805351,0.166666666666667
MPG,0.0009731445805351,0.166666666666667
MTDH,0.0009731445805351,0.166666666666667
MUT,0.0256821728152235,0.166666666666667
MYF5,0.0009731445805351,0.166666666666667
NACC1,0.0256821728152235,0.166666666666667
NBEAL2,0.0009731445805351,0.166666666666667
NHP2L1,0.0009731445805351,0.166666666666667
NKAIN3,0.0256821728152235,0.166666666666667
NT5C1B,0.0009731445805351,0.166666666666667
NUCB2,0.0256821728152235,0.166666666666667
OBSL1,0.0009731445805351,0.166666666666667
OR2T4,0.0009731445805351,0.166666666666667
OR4D1,0.0256821728152235,0.166666666666667
OR52N4,0.0009731445805351,0.166666666666667
OSBP,0.0256821728152235,0.166666666666667
PAF1,0.0009731445805351,0.166666666666667
PCBP1,0.0009731445805351,0.166666666666667
PCDHA2,0.0256821728152235,0.166666666666667
PCDHA3,0.0009731445805351,0.166666666666667
PFAS,0.0009731445805351,0.166666666666667
PGPEP1,0.0009731445805351,0.166666666666667
PIGG,0.0256821728152235,0.166666666666667
PLCB2,0.0009731445805351,0.166666666666667
PLEKHA8P1,0.0009731445805351,0.166666666666667
POGZ,0.0009731445805351,0.166666666666667
PPARGC1A,0.0009731445805351,0.166666666666667
PPIL2,0.0009731445805351,0.166666666666667
PRDM13,0.0009731445805351,0.166666666666667
PSMB7,0.0256821728152235,0.166666666666667
PTBP2,0.0009731445805351,0.166666666666667
PTGS1,0.0009731445805351,0.166666666666667
REM1,0.0009731445805351,0.166666666666667
RERE,0.0009731445805351,0.166666666666667
RNF40,0.0256821728152235,0.166666666666667
RPLP0,0.0256821728152235,0.166666666666667
SAT1,0.0256821728152235,0.166666666666667
SETDB1,0.0256821728152235,0.166666666666667
SF3B2,0.0256821728152235,0.166666666666667
SHKBP1,0.0009731445805351,0.166666666666667
SHQ1,0.0009731445805351,0.166666666666667
SHROOM4,0.0009731445805351,0.166666666666667
SLC12A6,0.0256821728152235,0.166666666666667
SLC25A28,0.0256821728152235,0.166666666666667
SLC4A10,0.0009731445805351,0.166666666666667
SLC6A14,0.0009731445805351,0.166666666666667
SNX13,0.0256821728152235,0.166666666666667
SOAT2,0.0009731445805351,0.166666666666667
SOCS3,0.0009731445805351,0.166666666666667
SPACA6P-AS,0.0256821728152235,0.166666666666667
SPAST,0.0009731445805351,0.166666666666667
SRC,0.0256821728152235,0.166666666666667
ST5,0.0256821728152235,0.166666666666667
STAB1,0.0256821728152235,0.166666666666667
STAP2,0.0256821728152235,0.166666666666667
SUSD6,0.0009731445805351,0.166666666666667
TAF1C,0.0256821728152235,0.166666666666667
TARBP2,0.0256821728152235,0.166666666666667
TCF4,0.0009731445805351,0.166666666666667
TEX26,0.0009731445805351,0.166666666666667
TMEM167B,0.0256821728152235,0.166666666666667
TMEM192,0.0256821728152235,0.166666666666667
TONSL,0.0256821728152235,0.166666666666667
TP53I3,0.0009731445805351,0.166666666666667
TP53RK,0.0009731445805351,0.166666666666667
TRAF7,0.0009731445805351,0.166666666666667
TRIM28,0.0256821728152235,0.166666666666667
TSGA10IP,0.0009731445805351,0.166666666666667
TUBB,0.0256821728152235,0.166666666666667
TUBGCP6,0.0256821728152235,0.166666666666667
UBE4A,0.0009731445805351,0.166666666666667
UGGT2,0.0009731445805351,0.166666666666667
UGT2B7,0.0256821728152235,0.166666666666667
USP50,0.0009731445805351,0.166666666666667
VIL1,0.0256821728152235,0.166666666666667
WLS,0.0009731445805351,0.166666666666667
WNT10A,0.0009731445805351,0.166666666666667
WNT3A,0.0009731445805351,0.166666666666667
XRRA1,0.0256821728152235,0.166666666666667
ZC3H12A,0.0256821728152235,0.166666666666667
ZFP92,0.0009731445805351,0.166666666666667
ZNF32,0.0009731445805351,0.166666666666667
ZNF485,0.0256821728152235,0.166666666666667
ZNF614,0.0256821728152235,0.166666666666667
ZP1,0.0009731445805351,0.166666666666667
