Gene,p value Black,mutation rates
COL6A3,0.0363558105058569,0.0677966101694915
FREM2,0.0363558105058569,0.0677966101694915
KRAS,0.0112751805358883,0.0677966101694915
MAST4,0.0363558105058569,0.0677966101694915
NUP210,0.0363558105058569,0.0677966101694915
C2orf71,0.012132757084679,0.0508474576271187
GIT2,0.012132757084679,0.0508474576271187
GRB10,0.012132757084679,0.0508474576271187
KAT7,0.012132757084679,0.0508474576271187
MGAT4B,0.012132757084679,0.0508474576271187
WDR91,0.012132757084679,0.0508474576271187
