Gene,p value Black,mutation rates
CDK12,0.0282959938572616,0.0689655172413793
ABCA1,0.0285066529846437,0.0517241379310345
ADGRV1,0.0102935751888138,0.0517241379310345
DCHS1,0.0022548504892952,0.0517241379310345
ITPR1,0.0022548504892952,0.0517241379310345
SWT1,0.0022548504892952,0.0517241379310345
TET1,0.0022548504892952,0.0517241379310345
ALKBH4,0.047346467339524,0.0344827586206897
ARFGEF3,0.047346467339524,0.0344827586206897
ATP8B4,0.047346467339524,0.0344827586206897
CDH5,0.047346467339524,0.0344827586206897
CDHR1,0.0070851382011028,0.0344827586206897
CEP76,0.047346467339524,0.0344827586206897
CHST11,0.047346467339524,0.0344827586206897
CPXM1,0.047346467339524,0.0344827586206897
CSAG3,0.0070851382011028,0.0344827586206897
DAAM1,0.047346467339524,0.0344827586206897
DDX50,0.047346467339524,0.0344827586206897
DIAPH3,0.0070851382011028,0.0344827586206897
DSG1,0.0070851382011028,0.0344827586206897
ETNPPL,0.0070851382011028,0.0344827586206897
FAM86EP,0.047346467339524,0.0344827586206897
FOXB2,0.047346467339524,0.0344827586206897
GLTSCR1L,0.047346467339524,0.0344827586206897
GRB7,0.0070851382011028,0.0344827586206897
HOGA1,0.047346467339524,0.0344827586206897
HSD17B4,0.047346467339524,0.0344827586206897
IFNA13,0.0070851382011028,0.0344827586206897
IRS4,0.047346467339524,0.0344827586206897
KCNH3,0.0070851382011028,0.0344827586206897
KCNQ5,0.047346467339524,0.0344827586206897
KCNT1,0.0070851382011028,0.0344827586206897
KERA,0.0070851382011028,0.0344827586206897
KIF19,0.0070851382011028,0.0344827586206897
KPNA6,0.0070851382011028,0.0344827586206897
LAIR1,0.0070851382011028,0.0344827586206897
LPAR3,0.047346467339524,0.0344827586206897
MAZ,0.0070851382011028,0.0344827586206897
MED24,0.047346467339524,0.0344827586206897
MIOS,0.047346467339524,0.0344827586206897
MYBPHL,0.0070851382011028,0.0344827586206897
MYOM2,0.047346467339524,0.0344827586206897
NLRP12,0.047346467339524,0.0344827586206897
NRXN1,0.0070851382011028,0.0344827586206897
OR5F1,0.0070851382011028,0.0344827586206897
P4HA1,0.047346467339524,0.0344827586206897
PLEKHA6,0.047346467339524,0.0344827586206897
PRSS48,0.047346467339524,0.0344827586206897
RPH3A,0.0070851382011028,0.0344827586206897
SHROOM3,0.047346467339524,0.0344827586206897
SND1,0.047346467339524,0.0344827586206897
SRPX,0.0070851382011028,0.0344827586206897
SUSD6,0.0070851382011028,0.0344827586206897
SYCP2L,0.0070851382011028,0.0344827586206897
TMEM102,0.0070851382011028,0.0344827586206897
TMEM132A,0.047346467339524,0.0344827586206897
USP26,0.0070851382011028,0.0344827586206897
VAV1,0.0070851382011028,0.0344827586206897
ZNF37A,0.047346467339524,0.0344827586206897
