Gene,p value Asian,mutation rates
ABCC1,2.2689124778389802e-31,0.666666666666667
ABCC8,2.2689124778389802e-31,0.666666666666667
ADCY2,2.2689124778389802e-31,0.666666666666667
ARHGAP35,0.0167907756284523,0.666666666666667
ASTN1,2.2689124778389802e-31,0.666666666666667
AVIL,6.55523984851633e-07,0.666666666666667
CDH10,2.2689124778389802e-31,0.666666666666667
CHD5,2.2689124778389802e-31,0.666666666666667
CLEC12A,2.2689124778389802e-31,0.666666666666667
COL11A1,6.55523984851633e-07,0.666666666666667
CTSZ,2.2689124778389802e-31,0.666666666666667
EPHB2,2.2689124778389802e-31,0.666666666666667
FLNA,0.0167907756284523,0.666666666666667
FREM2,6.55523984851633e-07,0.666666666666667
GALC,2.2689124778389802e-31,0.666666666666667
IGSF9B,2.2689124778389802e-31,0.666666666666667
IL2,2.2689124778389802e-31,0.666666666666667
KIAA0430,2.2689124778389802e-31,0.666666666666667
LARP4,2.2689124778389802e-31,0.666666666666667
LRRCC1,2.2689124778389802e-31,0.666666666666667
MICAL1,2.2689124778389802e-31,0.666666666666667
MTBP,2.2689124778389802e-31,0.666666666666667
MYO3A,6.55523984851633e-07,0.666666666666667
NF1,0.000360163842285,0.666666666666667
NHS,6.55523984851633e-07,0.666666666666667
OSTN,2.2689124778389802e-31,0.666666666666667
PCDHGA2,2.2689124778389802e-31,0.666666666666667
PKHD1L1,6.55523984851633e-07,0.666666666666667
PLCL1,6.55523984851633e-07,0.666666666666667
PLEC,0.000360163842285,0.666666666666667
RERE,6.55523984851633e-07,0.666666666666667
SCN11A,2.2689124778389802e-31,0.666666666666667
SCN3A,6.55523984851633e-07,0.666666666666667
SMC4,2.2689124778389802e-31,0.666666666666667
STAG3,2.2689124778389802e-31,0.666666666666667
TMEM132D,2.2689124778389802e-31,0.666666666666667
VPS16,2.2689124778389802e-31,0.666666666666667
ZC3H6,6.55523984851633e-07,0.666666666666667
A2M,4.91443932977982e-08,0.333333333333333
A4GNT,4.91443932977982e-08,0.333333333333333
AADAC,4.91443932977982e-08,0.333333333333333
AADACL2,4.91443932977982e-08,0.333333333333333
AASDH,4.91443932977982e-08,0.333333333333333
ABCA1,4.91443932977982e-08,0.333333333333333
ABCA5,4.91443932977982e-08,0.333333333333333
ABCA6,4.91443932977982e-08,0.333333333333333
ABCA8,4.91443932977982e-08,0.333333333333333
ABCB11,4.91443932977982e-08,0.333333333333333
ABCB4,4.91443932977982e-08,0.333333333333333
