Gene,p value Black,mutation rates
TP53,0.0003245032792273,0.462962962962963
PIK3CA,0.0008564932931753,0.209876543209877
CDH1,0.0006783098588356,0.0555555555555556
FBXW7,0.0011522907041562,0.0555555555555556
BACH2,0.0085675949710828,0.0493827160493827
NCKAP5,0.0447228592037813,0.0432098765432099
SLC4A4,0.0045745967731866,0.0432098765432099
EGFR,0.0185792142913695,0.037037037037037
ZFYVE16,0.0185792142913695,0.037037037037037
CLIC5,0.0005063394448323,0.0308641975308642
CSF1,0.0185899109606142,0.0308641975308642
FOXO3,0.0005063394448323,0.0308641975308642
HNRNPA3,0.0023965832027947,0.0308641975308642
LUZP2,0.0005063394448323,0.0308641975308642
NAPA,0.0023965832027947,0.0308641975308642
NOTCH3,0.0076231013671731,0.0308641975308642
POU2F2,0.0076231013671731,0.0308641975308642
PRKAA1,0.0076231013671731,0.0308641975308642
SOX11,0.0023965832027947,0.0308641975308642
THSD4,0.0376228587311863,0.0308641975308642
TRIOBP,0.0376228587311863,0.0308641975308642
USP6,0.0076231013671731,0.0308641975308642
WSB1,5.67491515214237e-05,0.0308641975308642
AFTPH,0.0147690682905323,0.0246913580246914
AMER3,0.0381499276568938,0.0246913580246914
BCL11B,0.0147690682905323,0.0246913580246914
CCDC60,0.0147690682905323,0.0246913580246914
CD200,0.0381499276568938,0.0246913580246914
HIC2,0.0381499276568938,0.0246913580246914
LCMT2,0.0147690682905323,0.0246913580246914
NR1H4,0.0381499276568938,0.0246913580246914
PAMR1,0.0381499276568938,0.0246913580246914
PLXNB3,0.0381499276568938,0.0246913580246914
PPFIA4,0.0147690682905323,0.0246913580246914
PRKCE,0.0147690682905323,0.0246913580246914
PUM1,0.0147690682905323,0.0246913580246914
RARG,0.0147690682905323,0.0246913580246914
RFX5,0.0381499276568938,0.0246913580246914
RP11-551L14.1,0.0381499276568938,0.0246913580246914
SIRPA,0.0381499276568938,0.0246913580246914
SLC16A6,0.0038766967575389,0.0246913580246914
SLC22A3,0.0381499276568938,0.0246913580246914
TMC4,0.0381499276568938,0.0246913580246914
TRIM51,0.0147690682905323,0.0246913580246914
VMP1,0.0381499276568938,0.0246913580246914
WDR26,0.0038766967575389,0.0246913580246914
ZMIZ1,0.0381499276568938,0.0246913580246914
ZNF517,0.0381499276568938,0.0246913580246914
ZNF547,0.0147690682905323,0.0246913580246914
AC011718.2,0.0277964922287086,0.0185185185185185
AC097374.2,0.0047829398494226,0.0185185185185185
ANKRD7,0.0277964922287086,0.0185185185185185
ASTL,0.0277964922287086,0.0185185185185185
BAG4,0.0277964922287086,0.0185185185185185
BLK,0.0277964922287086,0.0185185185185185
C10orf91,0.0047829398494226,0.0185185185185185
C15orf41,0.0047829398494226,0.0185185185185185
C9orf57,0.0277964922287086,0.0185185185185185
CAMK2B,0.0047829398494226,0.0185185185185185
CAPRIN1,0.0277964922287086,0.0185185185185185
CCDC65,0.0277964922287086,0.0185185185185185
CDK18,0.0277964922287086,0.0185185185185185
CKS1B,0.0277964922287086,0.0185185185185185
CSF3,0.0047829398494226,0.0185185185185185
CTBP2,0.0277964922287086,0.0185185185185185
CYP1B1,0.0277964922287086,0.0185185185185185
CYP27A1,0.0047829398494226,0.0185185185185185
EDDM3A,0.0277964922287086,0.0185185185185185
EFR3B,0.0277964922287086,0.0185185185185185
FAM43A,0.0047829398494226,0.0185185185185185
FGF6,0.0277964922287086,0.0185185185185185
GDF6,0.0047829398494226,0.0185185185185185
GOLGA2,0.0277964922287086,0.0185185185185185
GOLGA7,0.0047829398494226,0.0185185185185185
GS1-309P15.2,0.0047829398494226,0.0185185185185185
HSD11B1,0.0047829398494226,0.0185185185185185
HSH2D,0.0277964922287086,0.0185185185185185
ILVBL,0.0277964922287086,0.0185185185185185
ITPRIPL2,0.0277964922287086,0.0185185185185185
KLHL26,0.0047829398494226,0.0185185185185185
LCP1,0.0277964922287086,0.0185185185185185
LHX1,0.0277964922287086,0.0185185185185185
LINC00326,0.0277964922287086,0.0185185185185185
LRRC45,0.0047829398494226,0.0185185185185185
MB21D2,0.0277964922287086,0.0185185185185185
MIRLET7BHG,0.0277964922287086,0.0185185185185185
MSX1,0.0047829398494226,0.0185185185185185
MTIF2,0.0277964922287086,0.0185185185185185
MTSS1L,0.0277964922287086,0.0185185185185185
PIGN,0.0277964922287086,0.0185185185185185
POLDIP3,0.0277964922287086,0.0185185185185185
POM121L4P,0.0047829398494226,0.0185185185185185
PRG4,0.0277964922287086,0.0185185185185185
PSMB11,0.0277964922287086,0.0185185185185185
PTPRVP,0.0277964922287086,0.0185185185185185
RAB23,0.0277964922287086,0.0185185185185185
RASL12,0.0277964922287086,0.0185185185185185
RBBP9,0.0047829398494226,0.0185185185185185
RP5-905H7.11,0.0277964922287086,0.0185185185185185
RPAP2,0.0277964922287086,0.0185185185185185
RYBP,0.0277964922287086,0.0185185185185185
SLC1A1,0.0277964922287086,0.0185185185185185
SLC22A5,0.0047829398494226,0.0185185185185185
SLC2A6,0.0277964922287086,0.0185185185185185
SMURF2,0.0047829398494226,0.0185185185185185
TBC1D27,0.0047829398494226,0.0185185185185185
TMEM257,0.0277964922287086,0.0185185185185185
ZFHX2,0.0277964922287086,0.0185185185185185
ZIC5,0.0277964922287086,0.0185185185185185
ALDH9A1,0.0451901189627159,0.0123456790123457
C18orf8,0.0451901189627159,0.0123456790123457
C8orf4,0.0451901189627159,0.0123456790123457
CABLES2,0.0451901189627159,0.0123456790123457
CCDC144NL-AS1,0.0451901189627159,0.0123456790123457
CCR9,0.0451901189627159,0.0123456790123457
CDK5R2,0.0451901189627159,0.0123456790123457
CDKL2,0.0451901189627159,0.0123456790123457
CECR6,0.0451901189627159,0.0123456790123457
CHST13,0.0451901189627159,0.0123456790123457
CHST3,0.0451901189627159,0.0123456790123457
CHTF8,0.0451901189627159,0.0123456790123457
CMTM4,0.0451901189627159,0.0123456790123457
COQ9,0.0451901189627159,0.0123456790123457
CRHR2,0.0451901189627159,0.0123456790123457
CSDC2,0.0451901189627159,0.0123456790123457
CXorf38,0.0451901189627159,0.0123456790123457
DAZL,0.0451901189627159,0.0123456790123457
DDX51,0.0451901189627159,0.0123456790123457
DGCR5,0.0451901189627159,0.0123456790123457
DPH7,0.0451901189627159,0.0123456790123457
EFNB1,0.0451901189627159,0.0123456790123457
EID3,0.0451901189627159,0.0123456790123457
FAM136BP,0.0451901189627159,0.0123456790123457
FAM19A4,0.0451901189627159,0.0123456790123457
FAM230B,0.0451901189627159,0.0123456790123457
FAM69A,0.0451901189627159,0.0123456790123457
FASLG,0.0451901189627159,0.0123456790123457
FIS1,0.0451901189627159,0.0123456790123457
FLJ36000,0.0451901189627159,0.0123456790123457
FRG2B,0.0451901189627159,0.0123456790123457
GAPDH,0.0451901189627159,0.0123456790123457
GATA4,0.0451901189627159,0.0123456790123457
GBP2,0.0451901189627159,0.0123456790123457
GPR26,0.0451901189627159,0.0123456790123457
H6PD,0.0451901189627159,0.0123456790123457
HCG17,0.0451901189627159,0.0123456790123457
HIST1H2BM,0.0451901189627159,0.0123456790123457
HMGN4,0.0451901189627159,0.0123456790123457
HOXB8,0.0451901189627159,0.0123456790123457
