Superfamily,Count of Genes
cl21504,20
cl33720,9
cl21453,8
cl00084,8
cl11960,8
cl40597,6
cl34881,5
cl28897,5
cl17169,4
cl38908,4
cl29593,4
cl28889,4
cl34174,4
cl22375,4
cl00030,4
cl02475,4
cl15674,4
cl38936,3
cl15255,3
cl02419,3
cl14603,3
cl15755,3
cl23491,3
cl33723,3
cl17171,3
cl37969,3
cl36765,2
cl41757,2
cl17238,2
cl11397,2
cl02596,2
cl02533,2
cl21454,2
cl38440,2
cl34836,2
cl40434,2
cl44475,2
cl31754,2
cl08303,2
cl00040,2
cl41227,2
cl37069,2
cl29608,2
cl28910,2
cl03978,2
cl02656,2
cl02601,2
cl02508,2
cl29654,2
cl02447,1
cl02512,1
cl00060,1
cl35019,1
cl02495,1
cl37989,1
cl19115,1
cl09109,1
cl32828,1
cl20918,1
cl02098,1
cl29546,1
cl31127,1
cl21462,1
cl30355,1
cl02614,1
cl00034,1
cl17036,1
cl43170,1
cl00573,1
cl21709,1
cl20316,1
cl41950,1
cl07344,1
cl15278,1
cl41775,1
cl08449,1
cl06639,1
cl34000,1
cl31517,1
cl34867,1
cl00429,1
cl25938,1
cl03079,1
cl07391,1
cl44408,1
cl35397,1
cl00271,1
cl02483,1
cl02484,1
cl17173,1
cl26877,1
cl39708,1
cl02423,1
cl45894,1
cl13984,1
cl28903,1
cl33709,1
cl15115,1
cl41463,1
cl15079,1
cl09927,1
cl33865,1
cl37890,1
cl25784,1
cl17045,1
cl43672,1
cl02539,1
cl06404,1
cl29614,1
cl39094,1
cl40437,1
cl42388,1
cl03966,1
cl19288,1
cl21494,1
cl20695,1
cl14876,1
cl02581,1
cl17070,1
cl21463,1
cl22856,1
cl40454,1
cl20593,1
cl03504,1
cl39672,1
cl02422,1
cl04571,1
cl00154,1
cl24362,1
cl03104,1
cl21534,1
cl42716,1
cl39446,1
cl00064,1
cl11173,1
cl20981,1
cl36941,1
cl08302,1
cl26639,1
cl35613,1
cl23718,1
cl04875,1
cl21105,1
cl39316,1
cl22970,1
cl01438,1
cl36182,1
cl39093,1
cl00147,1
cl13422,1
cl28890,1
cl28899,1
cl38915,1
cl36218,1
cl20388,1
cl00061,1
cl25035,1
cl25036,1
cl05080,1
cl06350,1
cl05351,1
cl31823,1
cl31425,1
cl00081,1
cl05508,1
cl00712,1
cl00082,1
cl25837,1
cl04264,1
cl22952,1
cl44948,1
cl37801,1
cl20625,1
cl11961,1
cl38924,1
cl10939,1
cl00120,1
cl29762,1
cl42959,1
cl12114,1
cl28922,1
cl09902,1
cl16469,1
cl02569,1
cl15693,1
cl39440,1
cl39397,1
cl26554,1
cl13132,1
cl00467,1
cl21551,1
cl21160,1
cl21522,1
cl15307,1
cl02471,1
cl31400,1
cl25923,1
cl41035,1
cl24428,1
cl21033,1
cl00339,1
cl29403,1
cl15352,1
cl39307,1
cl33186,1
cl20039,1
cl21584,1
cl00049,1
cl06719,1
cl28869,1
cl38289,1
cl21240,1
cl04436,1
cl42516,1
