Superfamily,Count of Genes
cl00104,34
cl02488,30
cl42955,22
cl21522,17
cl21504,12
cl28889,5
cl37069,5
cl44468,5
cl11960,4
cl34174,4
cl34881,3
cl02863,3
cl03632,3
cl02475,3
cl02612,2
cl40454,2
cl40035,2
cl17036,2
cl33720,2
cl00030,2
cl28904,2
cl17169,2
cl13870,2
cl00154,1
cl21494,1
cl42959,1
cl14608,1
cl06653,1
cl39845,1
cl19758,1
cl33723,1
cl34999,1
cl00085,1
cl25763,1
cl33186,1
cl28922,1
cl39094,1
cl21122,1
cl31090,1
cl38936,1
cl39529,1
cl42943,1
cl25177,1
cl29227,1
cl24907,1
cl21460,1
cl00456,1
cl11173,1
cl34288,1
cl10511,1
cl24375,1
cl05796,1
cl17171,1
cl29593,1
cl22861,1
cl38194,1
cl38662,1
cl23727,1
cl31754,1
cl21462,1
cl41725,1
cl34019,1
cl34599,1
cl00057,1
cl24210,1
cl34916,1
cl28897,1
cl35101,1
