Superfamily,Count of Genes
cl28889,33
cl11960,21
cl21504,12
cl17735,12
cl21522,11
cl17171,8
cl21453,6
cl38440,6
cl42388,5
cl34881,5
cl42959,4
cl27448,4
cl38936,4
cl34836,4
cl28897,4
cl37969,3
cl22375,3
cl23491,3
cl11399,3
cl33720,3
cl17169,3
cl17238,3
cl22429,2
cl23749,2
cl33413,2
cl28216,2
cl26181,2
cl28904,2
cl00117,2
cl29593,2
cl22853,2
cl04401,2
cl15755,2
cl09109,2
cl25995,2
cl15307,2
cl00066,2
cl38908,2
cl28903,2
cl33709,2
cl02614,2
cl00098,2
cl17037,1
cl44412,1
cl21473,1
cl13995,1
cl25024,1
cl02573,1
cl22851,1
cl45897,1
cl00081,1
cl17173,1
cl00261,1
cl35038,1
cl00490,1
cl06719,1
cl33723,1
cl45888,1
cl04692,1
cl02432,1
cl45768,1
cl17190,1
cl35953,1
cl04282,1
cl31754,1
cl34967,1
cl33886,1
cl00056,1
cl00055,1
cl39786,1
cl23801,1
cl00061,1
cl33382,1
cl07378,1
cl22861,1
cl19114,1
cl29011,1
cl06690,1
cl14603,1
cl00271,1
cl07367,1
cl21454,1
cl00227,1
cl03927,1
cl16093,1
cl24999,1
cl21460,1
cl17009,1
cl07395,1
cl34868,1
cl37069,1
cl02162,1
cl24908,1
cl00084,1
cl33616,1
cl37729,1
cl44859,1
cl02472,1
cl10597,1
cl36768,1
cl40493,1
cl14643,1
cl02570,1
cl00198,1
cl11397,1
cl02596,1
cl05017,1
cl07690,1
cl21463,1
cl02704,1
cl22855,1
cl13203,1
cl04081,1
cl43672,1
cl41737,1
cl07345,1
cl07346,1
cl35404,1
cl40441,1
cl33172,1
cl13552,1
cl28899,1
cl40440,1
cl36628,1
cl33170,1
cl36523,1
cl31517,1
cl02533,1
cl04696,1
cl38926,1
cl39284,1
cl39286,1
cl00283,1
cl37545,1
cl02565,1
cl00157,1
cl39482,1
cl31871,1
cl11251,1
cl25759,1
cl19991,1
cl41030,1
cl04701,1
cl40454,1
cl02581,1
cl00057,1
cl13389,1
cl00907,1
cl39396,1
cl39094,1
cl16451,1
cl05846,1
cl05845,1
cl34174,1
cl38910,1
cl00030,1
cl44336,1
cl31823,1
cl21474,1
cl29546,1
cl00092,1
cl02701,1
cl00221,1
cl06744,1
cl13843,1
cl02611,1
cl21494,1
cl08306,1
cl39447,1
cl30237,1
cl21056,1
cl12013,1
cl02563,1
cl22482,1
cl02542,1
cl40432,1
cl20224,1
cl00237,1
cl08298,1
cl24471,1
cl00993,1
cl37738,1
cl25862,1
cl10013,1
cl02495,1
cl16469,1
cl02447,1
cl00100,1
cl02958,1
cl12573,1
cl25923,1
cl25641,1
cl04711,1
