Superfamily,Count of Genes
cl11960,27
cl21504,14
cl28889,12
cl17238,8
cl02663,7
cl15697,6
cl34881,6
cl21453,5
cl17171,5
cl02612,5
cl38440,4
cl28897,4
cl15255,4
cl29593,4
cl37996,4
cl38936,3
cl40432,3
cl00054,3
cl42959,3
cl00098,3
cl21522,3
cl33720,3
cl33723,3
cl22375,3
cl23491,3
cl37969,3
cl00034,2
cl00081,2
cl42388,2
cl02573,2
cl38924,2
cl17169,2
cl44408,2
cl17182,2
cl34836,2
cl38908,2
cl23718,2
cl00038,2
cl28899,2
cl29654,2
cl28914,2
cl02688,2
cl00188,2
cl24520,2
cl29227,2
cl45768,2
cl37808,1
cl38930,1
cl38499,1
cl02556,1
cl29238,1
cl22851,1
cl02491,1
cl00237,1
cl23539,1
cl14785,1
cl36601,1
cl16912,1
cl44770,1
cl38152,1
cl40875,1
cl38662,1
cl25719,1
cl14561,1
cl20260,1
cl21454,1
cl11603,1
cl13642,1
cl00376,1
cl10932,1
cl05943,1
cl15307,1
cl14615,1
cl28895,1
cl25592,1
cl39289,1
cl14603,1
cl03136,1
cl39647,1
cl00110,1
cl45908,1
cl00467,1
cl13849,1
cl07391,1
cl42954,1
cl33644,1
cl16448,1
cl31754,1
cl00060,1
cl12115,1
cl21549,1
cl33616,1
cl37987,1
cl02471,1
cl38043,1
cl06268,1
cl18945,1
cl07589,1
cl11158,1
cl02559,1
cl02507,1
cl45918,1
cl42957,1
cl00103,1
cl02130,1
cl00299,1
cl40215,1
cl07827,1
cl10013,1
cl07345,1
cl00117,1
cl40423,1
cl04201,1
cl21551,1
cl20718,1
cl33197,1
cl44747,1
cl34556,1
cl26877,1
cl00738,1
cl05612,1
cl02533,1
cl30499,1
cl15108,1
cl25813,1
cl33945,1
cl38915,1
cl02676,1
cl37801,1
cl36455,1
cl39316,1
cl41773,1
cl14978,1
cl37069,1
cl21100,1
cl38414,1
cl36166,1
cl28216,1
cl38111,1
cl02608,1
cl21498,1
cl33384,1
cl03218,1
cl26695,1
cl25190,1
cl41757,1
cl25675,1
cl19105,1
cl17044,1
cl35229,1
cl00197,1
cl06073,1
cl16803,1
cl16788,1
cl36447,1
cl02570,1
cl37700,1
cl34931,1
cl02640,1
cl21462,1
cl02432,1
cl33133,1
cl24166,1
cl24682,1
cl39028,1
cl39717,1
cl02571,1
cl15787,1
cl02488,1
cl17036,1
cl04847,1
cl02565,1
cl02563,1
cl02564,1
cl07303,1
cl33647,1
cl10511,1
cl24581,1
cl24375,1
cl39742,1
cl39738,1
cl39740,1
cl39741,1
cl05763,1
cl39739,1
cl40434,1
cl44475,1
cl33186,1
cl25788,1
cl29693,1
cl28905,1
cl39881,1
cl39454,1
cl20584,1
cl39094,1
cl33886,1
cl04403,1
cl00092,1
cl25888,1
cl43919,1
cl26554,1
cl04876,1
cl13200,1
cl22861,1
cl22949,1
cl05290,1
cl22853,1
cl34756,1
cl37989,1
cl00456,1
cl34000,1
