Superfamily,Count of Genes
cl11960,18
cl21522,13
cl06016,9
cl34881,7
cl28897,7
cl33720,5
cl42959,5
cl00084,4
cl00117,4
cl17171,4
cl17036,4
cl22375,4
cl37996,4
cl22861,4
cl34174,3
cl21453,3
cl23491,3
cl17238,2
cl02729,2
cl02570,2
cl40434,2
cl03534,2
cl15239,2
cl03851,2
cl44230,2
cl33382,2
cl28904,2
cl20144,2
cl34932,2
cl36163,2
cl02480,2
cl02111,1
cl03288,1
cl20802,1
cl20263,1
cl00075,1
cl11087,1
cl15237,1
cl37069,1
cl39721,1
cl31754,1
cl04571,1
cl42453,1
cl11397,1
cl02596,1
cl30303,1
cl42972,1
cl21459,1
cl02980,1
cl22907,1
cl03220,1
cl37900,1
cl42387,1
cl34238,1
cl21735,1
cl29593,1
cl00061,1
cl09612,1
cl22540,1
cl07345,1
cl21454,1
cl38017,1
cl11186,1
cl21551,1
cl37987,1
cl02471,1
cl38043,1
cl02776,1
cl00388,1
cl12013,1
cl25349,1
cl00150,1
cl00097,1
cl30237,1
cl43201,1
cl02575,1
cl27008,1
cl02614,1
cl25733,1
cl38908,1
cl14633,1
cl02517,1
cl13384,1
cl05828,1
cl18913,1
cl24328,1
cl31504,1
cl37803,1
cl25480,1
cl00085,1
cl21504,1
cl10719,1
cl39214,1
cl02759,1
cl42860,1
cl02581,1
cl11403,1
cl06833,1
cl04781,1
cl45910,1
cl04780,1
cl28922,1
cl05914,1
cl00281,1
cl22970,1
cl22855,1
cl33754,1
cl07378,1
cl37642,1
cl21628,1
cl39930,1
cl19519,1
cl36792,1
cl12245,1
cl36944,1
cl40448,1
cl19252,1
cl35283,1
cl00034,1
cl37625,1
cl42963,1
cl02148,1
cl29689,1
cl36941,1
cl22853,1
cl09511,1
cl29068,1
cl42942,1
cl24273,1
cl20314,1
cl20385,1
cl02830,1
cl02965,1
cl24207,1
cl44478,1
cl43145,1
cl11404,1
cl33922,1
cl33865,1
