Superfamily,Count of Genes
cl28889,39
cl36745,18
cl11960,7
cl22861,7
cl21522,6
cl17171,6
cl37996,3
cl28897,3
cl29654,3
cl42436,3
cl44408,2
cl03079,2
cl19758,2
cl05720,2
cl05717,2
cl33720,2
cl03182,2
cl15255,2
cl17036,2
cl00140,2
cl34881,2
cl40427,2
cl02522,2
cl25648,1
cl24319,1
cl24320,1
cl00136,1
cl07820,1
cl24703,1
cl33628,1
cl29357,1
cl21560,1
cl31509,1
cl21421,1
cl25788,1
cl33128,1
cl33658,1
cl38410,1
cl28242,1
cl21496,1
cl07084,1
cl21460,1
cl07345,1
cl07346,1
cl00117,1
cl32120,1
cl39900,1
cl39903,1
cl19745,1
cl26702,1
cl09597,1
cl42516,1
cl34174,1
cl00030,1
cl02571,1
cl00040,1
cl02573,1
cl28922,1
cl07519,1
cl17238,1
cl29593,1
cl21504,1
cl02555,1
cl20212,1
cl04130,1
cl38936,1
cl42388,1
cl39284,1
cl14633,1
cl39286,1
cl20537,1
cl42959,1
cl22375,1
cl12819,1
cl03978,1
cl22970,1
cl42954,1
cl37989,1
cl02553,1
cl11393,1
cl25480,1
cl21470,1
cl31083,1
cl00061,1
cl22853,1
cl37070,1
cl34756,1
cl21457,1
cl28905,1
cl36166,1
cl16390,1
cl03620,1
cl33700,1
cl03401,1
cl33724,1
cl05674,1
cl28899,1
cl33924,1
cl06960,1
cl34886,1
cl21454,1
cl28571,1
cl45922,1
cl02559,1
cl04240,1
cl21453,1
cl25810,1
cl00092,1
cl21584,1
