Superfamily,Count of Genes
cl33700,10
cl45768,8
cl21611,5
cl28897,5
cl00084,4
cl17169,4
cl14603,4
cl02574,4
cl38936,3
cl17238,3
cl00034,3
cl34174,3
cl11960,3
cl34881,3
cl17171,2
cl21453,2
cl21584,2
cl25480,2
cl00049,2
cl21494,2
cl14876,2
cl28890,2
cl02467,2
cl21560,2
cl29593,2
cl00136,1
cl23759,1
cl26747,1
cl02848,1
cl31127,1
cl12283,1
cl06199,1
cl00147,1
cl13690,1
cl00376,1
cl00035,1
cl02509,1
cl05799,1
cl22970,1
cl02965,1
cl27660,1
cl13423,1
cl13498,1
cl02495,1
cl36792,1
cl21551,1
cl02614,1
cl11394,1
cl40423,1
cl28912,1
cl38911,1
cl44470,1
cl43234,1
cl18945,1
cl39284,1
cl14633,1
cl42388,1
cl39286,1
cl34191,1
cl05523,1
cl17182,1
cl13802,1
cl36455,1
cl36945,1
cl00573,1
cl00057,1
cl07549,1
cl27777,1
cl23754,1
cl28883,1
cl07854,1
cl09927,1
cl04309,1
cl20464,1
cl34956,1
cl00030,1
cl37899,1
cl33720,1
cl04706,1
cl20755,1
cl25641,1
cl20876,1
cl21522,1
cl45915,1
cl20339,1
cl38908,1
cl28903,1
cl33709,1
cl19890,1
cl11733,1
cl20846,1
cl16778,1
cl05324,1
cl00909,1
cl02692,1
cl28904,1
cl28922,1
cl33382,1
cl00064,1
cl15456,1
cl10507,1
cl03265,1
cl38111,1
cl00416,1
cl36741,1
cl24166,1
cl24682,1
cl29654,1
cl41683,1
cl12013,1
cl02563,1
cl04215,1
cl00081,1
cl03082,1
cl05420,1
cl26729,1
cl21459,1
cl13756,1
cl00289,1
cl03715,1
cl13871,1
cl02581,1
cl22375,1
cl16591,1
cl16007,1
cl37187,1
cl34526,1
cl43822,1
cl38983,1
cl40203,1
cl39307,1
cl15352,1
cl34785,1
cl11197,1
cl10913,1
cl33186,1
cl00170,1
cl02544,1
cl03906,1
cl03759,1
cl39655,1
