Superfamily,Count of Genes
cl21504,33
cl11960,16
cl17171,10
cl34174,9
cl17036,6
cl06016,6
cl17735,5
cl20226,5
cl40597,5
cl22861,5
cl28897,5
cl45768,4
cl17238,4
cl02516,4
cl00057,4
cl07383,4
cl22853,4
cl37069,4
cl21522,4
cl34881,4
cl22375,4
cl14603,3
cl33720,3
cl00084,3
cl21453,3
cl37969,3
cl00117,2
cl05973,2
cl45895,2
cl10013,2
cl40454,2
cl00388,2
cl37187,2
cl28910,2
cl31754,2
cl02442,2
cl02571,2
cl00034,2
cl38440,2
cl34932,2
cl28922,2
cl23491,2
cl41227,2
cl42943,2
cl04571,2
cl44369,2
cl29593,2
cl36163,2
cl02581,2
cl02475,2
cl10471,2
cl39094,2
cl21611,2
cl02806,1
cl40438,1
cl37461,1
cl02436,1
cl22949,1
cl21598,1
cl44338,1
cl33383,1
cl20563,1
cl42159,1
cl12034,1
cl21048,1
cl25739,1
cl00013,1
cl13485,1
cl24542,1
cl11968,1
cl45896,1
cl02495,1
cl24671,1
cl21545,1
cl37647,1
cl03686,1
cl24607,1
cl34210,1
cl02755,1
cl17169,1
cl15152,1
cl36792,1
cl00049,1
cl29248,1
cl37952,1
cl19197,1
cl21198,1
cl02712,1
cl17009,1
cl28904,1
cl07395,1
cl06336,1
cl15697,1
cl00064,1
cl20316,1
cl03265,1
cl39281,1
cl15278,1
cl41950,1
cl07344,1
cl34282,1
cl06964,1
cl28770,1
cl06365,1
cl19374,1
cl24911,1
cl34960,1
cl24912,1
cl24910,1
cl00281,1
cl23567,1
cl02111,1
cl39313,1
cl04200,1
cl05418,1
cl29238,1
cl42388,1
cl15307,1
cl13688,1
cl25621,1
cl27008,1
cl24166,1
cl24682,1
cl00227,1
cl09511,1
cl33382,1
cl38908,1
cl39785,1
cl02544,1
cl03906,1
cl03759,1
cl39655,1
cl24908,1
cl37679,1
cl03503,1
cl23720,1
cl35229,1
cl40586,1
cl34928,1
cl38662,1
cl25743,1
cl02573,1
cl00098,1
cl31996,1
cl33707,1
cl33600,1
cl03122,1
cl02432,1
cl04056,1
cl02446,1
cl04416,1
cl25863,1
cl41757,1
cl25608,1
cl38431,1
cl25839,1
cl11159,1
cl00055,1
cl00061,1
cl25036,1
cl25035,1
cl13467,1
cl28902,1
cl31127,1
cl26621,1
cl35613,1
cl42959,1
cl25641,1
cl25695,1
cl32282,1
cl45922,1
cl21454,1
cl33572,1
cl35021,1
cl20961,1
cl08357,1
cl14633,1
cl16914,1
cl33172,1
cl17037,1
cl38936,1
cl36852,1
cl21693,1
cl08380,1
cl20811,1
cl20810,1
cl40432,1
cl02556,1
cl02608,1
cl22851,1
cl02673,1
cl31083,1
cl17070,1
cl21463,1
cl33723,1
cl24342,1
cl40450,1
cl00238,1
cl00081,1
cl11393,1
cl25480,1
cl21470,1
cl15755,1
cl38111,1
cl24359,1
cl25942,1
cl37869,1
cl28907,1
cl26747,1
cl02848,1
cl02605,1
cl33865,1
