Superfamily,Count of Genes
cl42963,23
cl11960,9
cl15278,8
cl34881,6
cl21453,5
cl42959,5
cl38908,5
cl28889,5
cl34174,4
cl15255,4
cl00030,4
cl28897,4
cl29414,4
cl21504,4
cl37996,3
cl22907,3
cl02475,3
cl38440,3
cl17171,3
cl08295,2
cl29593,2
cl36108,2
cl11961,2
cl02612,2
cl28899,2
cl31754,2
cl17238,2
cl02614,2
cl00049,2
cl39094,2
cl45906,2
cl15307,2
cl22375,2
cl37664,2
cl33709,2
cl00066,2
cl00057,2
cl00084,2
cl00188,2
cl38936,1
cl36495,1
cl00154,1
cl09692,1
cl06708,1
cl02434,1
cl35972,1
cl35903,1
cl21565,1
cl10970,1
cl38905,1
cl33780,1
cl13552,1
cl34193,1
cl15693,1
cl02601,1
cl02994,1
cl17362,1
cl21494,1
cl13784,1
cl00145,1
cl17255,1
cl41751,1
cl21271,1
cl02675,1
cl28620,1
cl38471,1
cl00061,1
cl38924,1
cl37668,1
cl20640,1
cl16507,1
cl33945,1
cl02573,1
cl20696,1
cl25402,1
cl23718,1
cl13690,1
cl41701,1
cl00051,1
cl36772,1
cl28905,1
cl22433,1
cl40020,1
cl28890,1
cl00034,1
cl33924,1
cl16500,1
cl41757,1
cl02965,1
cl00117,1
cl38478,1
cl07111,1
cl28910,1
cl02553,1
cl45120,1
cl28920,1
cl28921,1
cl03749,1
cl27008,1
cl25733,1
cl02422,1
cl26342,1
cl37187,1
cl21160,1
cl23868,1
cl17169,1
cl44598,1
cl00104,1
cl19569,1
cl31517,1
cl37869,1
cl42388,1
cl28904,1
cl16800,1
cl02640,1
cl00130,1
cl21457,1
cl24415,1
cl21050,1
cl19890,1
cl33720,1
cl07491,1
cl25788,1
cl19991,1
cl41030,1
cl05347,1
cl22861,1
cl17735,1
cl41914,1
cl22428,1
cl39046,1
cl28903,1
cl13389,1
cl14615,1
cl28895,1
cl31851,1
cl21498,1
cl00056,1
cl00055,1
cl12934,1
cl36792,1
cl11592,1
cl44614,1
cl12819,1
cl36741,1
cl24058,1
cl04955,1
cl38961,1
cl33382,1
cl07378,1
cl02495,1
cl10527,1
cl37044,1
cl33654,1
cl00957,1
cl02557,1
cl21463,1
cl22853,1
cl37069,1
cl33865,1
cl40432,1
cl20890,1
cl29227,1
cl24907,1
cl24520,1
cl25175,1
cl11399,1
cl14603,1
cl37681,1
