Superfamily,Count of Genes
cl11960,28
cl27652,22
cl06894,16
cl21504,14
cl33720,12
cl22861,12
cl21522,6
cl37996,5
cl03409,4
cl00104,4
cl33723,3
cl00030,3
cl16390,3
cl02614,3
cl02548,3
cl02701,3
cl34999,2
cl23491,2
cl22375,2
cl31754,2
cl02488,2
cl03182,2
cl02648,1
cl02758,1
cl02516,1
cl36445,1
cl03494,1
cl21453,1
cl07500,1
cl00117,1
cl11395,1
cl00061,1
cl34870,1
cl34000,1
cl07508,1
cl03387,1
cl40454,1
cl13385,1
cl02565,1
cl02426,1
cl16934,1
cl07441,1
cl36945,1
cl29593,1
cl02555,1
cl20212,1
cl21147,1
cl13566,1
cl25891,1
cl09730,1
cl38936,1
cl42388,1
cl39284,1
cl14633,1
cl39286,1
cl20537,1
cl02102,1
cl39713,1
cl39368,1
cl33865,1
cl24183,1
cl19745,1
cl26702,1
cl09597,1
cl17171,1
cl33382,1
cl05461,1
cl07378,1
cl04493,1
cl02507,1
cl29699,1
cl15456,1
cl03265,1
cl10507,1
cl02485,1
cl28922,1
cl02520,1
cl37598,1
cl37597,1
cl20356,1
cl20357,1
cl39559,1
cl34955,1
cl45894,1
cl33564,1
cl00062,1
cl21128,1
cl17169,1
