Superfamily,Count of Genes
cl11960,12
cl21522,8
cl37069,4
cl34174,4
cl22454,4
cl38936,3
cl22375,3
cl21453,3
cl38662,3
cl00057,2
cl36772,2
cl16469,2
cl05471,2
cl15568,2
cl39908,2
cl36934,1
cl34967,1
cl15755,1
cl39310,1
cl00117,1
cl21511,1
cl11394,1
cl40832,1
cl26610,1
cl35903,1
cl38930,1
cl18635,1
cl38440,1
cl42388,1
cl15307,1
cl33720,1
cl25003,1
cl25885,1
cl05480,1
cl25004,1
cl25009,1
cl40092,1
cl25007,1
cl25010,1
cl25008,1
cl12943,1
cl25043,1
cl33186,1
cl17190,1
cl02594,1
cl33882,1
cl42959,1
cl34881,1
cl26678,1
cl22755,1
cl33405,1
cl02563,1
cl37461,1
cl37807,1
cl09694,1
cl14615,1
cl28895,1
cl31851,1
cl17171,1
cl05692,1
cl07017,1
cl42520,1
cl28899,1
cl11135,1
cl34756,1
cl04030,1
cl36941,1
cl36695,1
cl18544,1
cl21494,1
cl06832,1
cl07373,1
cl39712,1
cl28897,1
