Superfamily,Count of Genes
cl11960,173
cl21522,134
cl28889,26
cl06881,17
cl21453,5
cl07599,5
cl34881,4
cl28897,3
cl00031,3
cl00073,3
cl03730,3
cl23491,2
cl02581,2
cl29593,2
cl22856,2
cl02512,2
cl00049,2
cl25744,2
cl45893,2
cl00034,2
cl21504,2
cl38936,2
cl14603,2
cl34047,2
cl33720,2
cl35953,2
cl00030,2
cl40454,2
cl12013,1
cl28907,1
cl17171,1
cl34000,1
cl38908,1
cl00060,1
cl25788,1
cl02979,1
cl31141,1
cl19519,1
cl44568,1
cl44256,1
cl26745,1
cl43672,1
cl37721,1
cl36584,1
cl42407,1
cl13152,1
cl37659,1
cl28774,1
cl20751,1
cl42959,1
cl05996,1
cl04190,1
cl17036,1
cl21463,1
cl11399,1
cl17238,1
cl18310,1
cl38924,1
cl00467,1
cl21316,1
cl02111,1
cl04611,1
cl00388,1
cl23798,1
cl41685,1
cl37069,1
cl36437,1
cl00309,1
cl38438,1
cl34174,1
cl41701,1
cl14608,1
cl06653,1
cl39845,1
cl02563,1
cl41728,1
cl43163,1
cl15693,1
cl02601,1
cl36453,1
cl42954,1
cl43522,1
cl20356,1
cl37597,1
cl20357,1
cl39559,1
cl34955,1
cl33186,1
cl31754,1
cl39704,1
cl35954,1
cl36108,1
cl41463,1
cl33183,1
cl04401,1
cl02704,1
cl15755,1
cl25995,1
cl06646,1
cl22855,1
cl20697,1
cl00042,1
cl20911,1
cl23749,1
cl09408,1
cl39645,1
cl20416,1
cl27453,1
cl02475,1
cl05418,1
cl23586,1
cl03979,1
cl10013,1
cl20612,1
cl21209,1
