Superfamily,Count of Genes
cl28889,32
cl11960,28
cl42963,22
cl21453,21
cl17171,20
cl34881,19
cl00117,19
cl02488,19
cl21522,16
cl29654,16
cl33720,15
cl00049,14
cl22375,13
cl21504,12
cl19115,12
cl28897,12
cl23491,10
cl17036,10
cl14603,10
cl22861,10
cl15755,9
cl00030,8
cl17238,8
cl02546,7
cl34174,6
cl00100,6
cl37969,6
cl02571,6
cl22454,6
cl38936,6
cl00040,6
cl21584,5
cl41728,5
cl00057,5
cl33723,5
cl27652,5
cl00084,5
cl20226,5
cl29593,5
cl28922,5
cl15278,5
cl37996,5
cl24370,5
cl02520,4
cl00034,4
cl02581,4
cl02516,4
cl07383,4
cl17735,4
cl40597,4
cl33700,4
cl42959,4
cl28904,3
cl00175,3
cl35903,3
cl28912,3
cl42365,3
cl08302,3
cl00087,3
cl00490,3
cl02485,3
cl33382,3
cl17169,3
cl31754,3
cl43672,3
cl22851,3
cl00156,3
cl34836,3
cl38440,3
cl25480,3
cl37540,3
cl21611,3
cl00047,3
cl02442,3
cl33398,3
cl25744,2
cl33647,2
cl28914,2
cl02688,2
cl02449,2
cl12013,2
cl41227,2
cl03466,2
cl04955,2
cl35019,2
cl10013,2
cl11592,2
cl40423,2
cl30946,2
cl22429,2
cl37069,2
cl34000,2
cl45895,2
cl40432,2
cl02570,2
cl42860,2
cl00635,2
cl22856,2
cl00064,2
cl03265,2
cl21411,2
cl02608,2
cl28785,2
cl26181,2
cl22897,2
cl19885,2
cl00157,2
cl11394,2
cl42388,2
cl40454,2
cl11397,2
cl02596,2
cl11399,2
cl25641,2
cl35613,2
cl11393,2
cl38908,2
cl21463,2
cl21092,2
cl29608,2
cl02556,2
cl00082,2
cl38930,2
cl02706,2
cl39316,2
cl44553,2
cl40082,2
cl08303,2
cl23718,2
cl22853,2
cl16459,2
cl02480,2
cl34999,1
cl35034,1
cl41732,1
cl07809,1
cl07439,1
cl00150,1
cl28409,1
cl28910,1
cl06832,1
cl02522,1
cl39712,1
cl09358,1
cl15206,1
cl15205,1
cl03541,1
cl13342,1
cl20802,1
cl38286,1
cl03130,1
cl36875,1
cl42453,1
cl13152,1
cl37659,1
cl39311,1
cl00112,1
cl10734,1
cl25789,1
cl00060,1
cl25118,1
cl13380,1
cl25609,1
cl36163,1
cl13827,1
cl03220,1
cl00313,1
cl10447,1
cl36446,1
cl02617,1
cl38111,1
cl02524,1
cl39713,1
cl39368,1
cl10759,1
cl00081,1
cl38023,1
cl21578,1
cl34477,1
cl29546,1
cl23720,1
cl41045,1
cl24893,1
cl42451,1
cl06188,1
cl45078,1
cl39521,1
cl14615,1
cl28895,1
cl25592,1
cl31960,1
cl35524,1
cl08404,1
cl04696,1
cl04876,1
cl36218,1
cl00891,1
cl20797,1
cl20798,1
cl44843,1
cl35954,1
cl39781,1
cl28883,1
cl28905,1
cl24764,1
cl02640,1
cl25829,1
cl25910,1
cl10012,1
cl04559,1
cl33186,1
cl10856,1
cl38907,1
cl44253,1
cl19519,1
cl17068,1
cl31127,1
cl12302,1
cl13389,1
cl38325,1
cl26729,1
cl24671,1
cl21545,1
cl07111,1
cl26078,1
cl36939,1
cl10751,1
cl16217,1
cl05156,1
cl07378,1
cl20316,1
cl39281,1
cl41950,1
cl21140,1
cl25862,1
cl06958,1
cl24672,1
cl06959,1
cl34066,1
cl09644,1
cl00062,1
cl00228,1
cl24751,1
cl28959,1
cl21454,1
cl00229,1
