#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-10726699B133008-1AECFB2E4DD27D1C
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:09:05	Run time	0:00:00:30
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >UBE4A	superfamily	431264	337	978	0	554.105	cl37808	Ufd2P_core superfamily	 - 	 - 
Q#1 - >UBE4A	superfamily	450175	997	1066	5.04374e-46	158.977	cl17238	RING_Ubox superfamily	 - 	 - 
Q#2 - >FUCA2	superfamily	453893	28	413	0	566.149	cl38930	AmyAc_family superfamily	 - 	 - 
Q#2 - >FUCA2	superfamily	435564	376	464	1.90142e-45	153.203	cl38499	Fucosidase_C superfamily	 - 	 - 
Q#3 - >DYRK4	superfamily	451246	175	515	0	723.03	cl21453	PKc_like superfamily	 - 	 - 
Q#4 - >TRIM28	superfamily	445827	696	802	5.05883e-45	157.068	cl02556	Bromodomain superfamily	 - 	 - 
Q#4 - >TRIM28	superfamily	128778	252	378	4.83547e-37	135.085	cl29238	BBC superfamily	 - 	 - 
Q#4 - >TRIM28	superfamily	444664	148	199	9.85394e-33	120.189	cl00034	Bbox_SF superfamily	 - 	 - 
Q#4 - >TRIM28	superfamily	450175	62	124	1.2068e-28	108.853	cl17238	RING_Ubox superfamily	 - 	 - 
Q#4 - >TRIM28	superfamily	444664	206	249	3.50381e-26	101.44	cl00034	Bbox_SF superfamily	 - 	 - 
Q#4 - >TRIM28	superfamily	451427	627	669	3.15393e-21	87.1674	cl22851	PHD_SF superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	449582	17	121	2.04452e-53	180.497	cl15697	ADF_gelsolin superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	449582	392	492	2.65772e-49	168.603	cl15697	ADF_gelsolin superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	449582	619	715	2.84561e-49	168.63	cl15697	ADF_gelsolin superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	449582	513	603	1.64604e-43	152	cl15697	ADF_gelsolin superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	449582	250	348	1.66424e-38	138.151	cl15697	ADF_gelsolin superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	449582	136	225	8.89342e-37	133.132	cl15697	ADF_gelsolin superfamily	 - 	 - 
Q#5 - >VIL1	superfamily	445798	792	827	8.92579e-15	68.5581	cl02491	VHP superfamily	 - 	 - 
Q#6 - >PGPEP1	superfamily	444776	6	199	9.95985e-73	218.676	cl00237	Peptidase_C15 superfamily	 - 	 - 
Q#7 - >EXOC4	superfamily	367782	57	143	5.0999e-14	70.0058	cl23539	Sec8_exocyst superfamily	N	 - 
Q#8 - >MPG	superfamily	449357	90	286	8.39769e-91	267.852	cl14785	FMT_C_like superfamily	 - 	 - 
Q#9 - >ACOT8	superfamily	272951	35	309	3.92699e-134	381.704	cl36601	tesB superfamily	 - 	 - 
Q#10 - >TP53I3	superfamily	450120	1	328	1.80165e-180	501.586	cl16912	MDR superfamily	 - 	 - 
Q#11 - >TUBGCP6	superfamily	437172	28	342	0	555.137	cl44770	GCP6_N superfamily	 - 	 - 
Q#11 - >TUBGCP6	superfamily	427731	1513	1816	4.27317e-65	223.249	cl38152	Spc97_Spc98 superfamily	 - 	 - 
Q#11 - >TUBGCP6	superfamily	435971	353	614	3.62291e-36	139.725	cl40875	GCP_N_terminal superfamily	 - 	 - 
Q#11 - >TUBGCP6	superfamily	375164	630	834	1.62226e-07	56.2852	cl38662	DUF5401 superfamily	N	 - 
Q#11 - >TUBGCP6	superfamily	434493	1041	1208	0.00451997	39.8083	cl25719	DUF4573 superfamily	 - 	 - 
Q#12 - >PTGS1	superfamily	353811	89	575	0	762.19	cl14561	An_peroxidase_like superfamily	 - 	 - 
Q#12 - >PTGS1	superfamily	451279	32	69	7.2899e-05	40.3126	cl21504	EGF_CA superfamily	 - 	 - 
Q#13 - >REM1	superfamily	453896	81	298	9.13838e-116	332.447	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#14 - >PAF1	superfamily	397885	30	443	0	552.685	cl20260	Paf1 superfamily	 - 	 - 
Q#15 - >HSD17B8	superfamily	451247	13	260	3.18433e-123	350.309	cl21454	NADB_Rossmann superfamily	 - 	 - 
