#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2101136E6FA9676E-2C06EC1528891DDA
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:27:33	Run time	0:00:00:26
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >TMEM132A	superfamily	435115	408	751	4.82429e-148	444.035	cl25648	TMEM132 superfamily	 - 	 - 
Q#1 - >TMEM132A	superfamily	434871	48	168	3.66457e-44	155.843	cl24319	TMEM132D_N superfamily	 - 	 - 
Q#1 - >TMEM132A	superfamily	434872	837	902	3.05988e-26	103.115	cl24320	TMEM132D_C superfamily	N	 - 
Q#2 - >ARFGEF3	superfamily	444709	586	798	3.85548e-47	167.852	cl00136	Sec7 superfamily	 - 	 - 
Q#2 - >ARFGEF3	superfamily	430526	1246	1303	2.35321e-09	55.9537	cl07820	DUF1981 superfamily	C	 - 
Q#2 - >ARFGEF3	superfamily	435221	5	168	2.47378e-07	52.628	cl24703	DCB superfamily	 - 	 - 
Q#2 - >ARFGEF3	superfamily	215560	993	1675	1.80685e-06	53.6734	cl33628	PLN03076 superfamily	N	 - 
Q#3 - >KCNT1	superfamily	452972	504	598	1.67643e-42	150.015	cl29357	BK_channel_a superfamily	 - 	 - 
Q#3 - >KCNT1	superfamily	451311	297	350	1.49715e-09	55.2863	cl21560	Ion_trans_2 superfamily	N	 - 
Q#3 - >KCNT1	superfamily	425730	162	342	0.000125834	44.9504	cl37996	Ion_trans superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	448366	1344	1435	5.05719e-58	194.358	cl11960	Ig superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	448366	154	247	4.93147e-42	148.723	cl11960	Ig superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	451288	383	475	5.01379e-21	89.0927	cl21522	FN3 superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	451288	711	801	4.75853e-19	83.3147	cl21522	FN3 superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	451288	511	603	1.00662e-18	82.5443	cl21522	FN3 superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	451288	813	903	1.7191e-18	81.7739	cl21522	FN3 superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	451288	612	702	1.05058e-17	79.4627	cl21522	FN3 superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	448366	290	372	1.3498e-09	56.1118	cl11960	Ig superfamily	 - 	 - 
Q#4 - >MYOM2	superfamily	448366	940	995	0.000924171	39.4109	cl11960	Ig superfamily	N	 - 
Q#4 - >MYOM2	superfamily	165173	1233	1432	0.00165574	41.824	cl31509	PHA02826 superfamily	 - 	 - 
Q#5 - >CEP76	superfamily	434821	99	258	9.87168e-92	280.759	cl21421	CEP76-C2 superfamily	 - 	 - 
Q#6 - >MAZ	superfamily	227516	303	360	0.000302328	43.1679	cl25788	SFP1 superfamily	N	 - 
Q#7 - >DSG1	superfamily	452887	161	265	1.12767e-21	90.4505	cl28889	CA_like superfamily	 - 	 - 
Q#7 - >DSG1	superfamily	394985	54	148	7.26211e-15	70.7924	cl44408	Cadherin superfamily	 - 	 - 
Q#7 - >DSG1	superfamily	452887	273	379	2.17882e-11	61.1753	cl28889	CA_like superfamily	 - 	 - 
Q#7 - >DSG1	superfamily	426014	646	761	5.87936e-10	58.7264	cl03079	Cadherin_C superfamily	 - 	 - 
Q#7 - >DSG1	superfamily	452887	397	484	2.18776e-06	46.923	cl28889	CA_like superfamily	 - 	 - 
Q#8 - >KERA	superfamily	185268	48	311	3.0246e-18	85.9042	cl33128	PRK15370 superfamily	NC	 - 
Q#9 - >KCNH3	superfamily	215625	227	646	7.75332e-26	114.965	cl33658	PLN03192 superfamily	C	 - 
Q#9 - >KCNH3	superfamily	433196	40	135	6.95534e-19	82.9233	cl38410	PAS_9 superfamily	 - 	 - 
Q#9 - >KCNH3	superfamily	274839	606	701	3.16576e-06	50.2788	cl28242	cyc_nuc_ocin superfamily	N	 - 
Q#10 - >P4HA1	superfamily	451274	345	518	3.26806e-52	174.884	cl21496	2OG-FeII_Oxy superfamily	 - 	 - 
Q#10 - >P4HA1	superfamily	429927	25	154	2.98757e-50	168.633	cl07084	P4Ha_N superfamily	 - 	 - 
Q#11 - >ATP8B4	superfamily	451251	30	973	0	1358	cl21460	HAD_like superfamily	 - 	 - 
Q#12 - >DIAPH3	superfamily	418645	636	1008	7.39761e-129	399.338	cl19758	FH2 superfamily	 - 	 - 
Q#12 - >DIAPH3	superfamily	428906	114	297	2.07093e-64	216.412	cl05720	Drf_GBD superfamily	 - 	 - 
Q#12 - >DIAPH3	superfamily	428904	305	488	4.97615e-63	212.513	cl05717	Drf_FH3 superfamily	 - 	 - 
Q#13 - >SHROOM3	superfamily	430155	1670	1956	5.12271e-145	450.554	cl07345	ASD2 superfamily	 - 	 - 
Q#13 - >SHROOM3	superfamily	430156	884	1066	1.24691e-66	222.993	cl07346	ASD1 superfamily	 - 	 - 
Q#13 - >SHROOM3	superfamily	444702	33	107	1.6739e-16	76.0662	cl00117	PDZ superfamily	 - 	 - 
Q#13 - >SHROOM3	superfamily	223021	959	1521	0.000300047	46.0849	cl33720	PHA03247 superfamily	N	 - 
Q#14 - >ETNPPL	superfamily	180426	6	441	0	626.281	cl32120	PRK06148 superfamily	N	 - 
Q#15 - >OR5F1	superfamily	452889	25	303	2.4544e-157	440.601	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#17 - >SYCP2L	superfamily	436595	24	200	3.29323e-70	228.372	cl39900	SYCP2_ARLD superfamily	 - 	 - 
Q#17 - >SYCP2L	superfamily	436597	292	402	1.32093e-65	213.646	cl39903	SYCP2_SLD superfamily	 - 	 - 
