#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-971D14AA5128DA0-D42102BDE5968F4
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:31:17	Run time	0:00:00:47
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >PCID2	superfamily	413200	190	447	4.41508e-54	186.156	cl02111	PCI superfamily	N	 - 
Q#2 - >SPAM1	superfamily	426355	43	368	0	587.961	cl03288	Glyco_hydro_56 superfamily	 - 	 - 
Q#3 - >CCDC92	superfamily	434311	24	77	2.96272e-18	77.2995	cl20802	CCDC92 superfamily	 - 	 - 
Q#3 - >CCDC92	superfamily	224117	22	169	8.7691e-07	50.4832	cl34174	Smc superfamily	NC	 - 
Q#4 - >NUP107	superfamily	427726	209	908	0	781.505	cl20263	Nup84_Nup100 superfamily	 - 	 - 
Q#5 - >PDK4	superfamily	444683	199	365	3.95712e-76	233.772	cl00075	HATPase superfamily	 - 	 - 
Q#5 - >PDK4	superfamily	431285	34	195	7.27569e-59	188.869	cl11087	BCDHK_Adom3 superfamily	 - 	 - 
Q#6 - >DTX4	superfamily	449515	475	609	2.15691e-86	265.133	cl15237	Deltex_C superfamily	 - 	 - 
Q#6 - >DTX4	superfamily	450175	406	472	1.76275e-43	149.625	cl17238	RING_Ubox superfamily	 - 	 - 
Q#6 - >DTX4	superfamily	445899	8	86	6.23344e-28	106.655	cl02729	WWE superfamily	 - 	 - 
Q#6 - >DTX4	superfamily	445899	91	144	4.98764e-19	81.1735	cl02729	WWE superfamily	 - 	 - 
Q#6 - >DTX4	superfamily	223021	169	365	0.000383834	43.7737	cl33720	PHA03247 superfamily	N	 - 
Q#7 - >GOLGA3	superfamily	224117	630	1358	2.33887e-27	120.975	cl34174	Smc superfamily	 - 	 - 
Q#7 - >GOLGA3	superfamily	274008	393	743	1.19265e-09	63.1518	cl37069	SMC_prok_B superfamily	N	 - 
Q#8 - >IFT81	superfamily	436455	3	126	3.65771e-65	210.573	cl39721	IFT81_CH superfamily	 - 	 - 
Q#8 - >IFT81	superfamily	173412	138	672	3.4816e-09	60.5399	cl31754	PTZ00121 superfamily	N	 - 
Q#9 - >PLLP	superfamily	383772	32	160	1.09699e-10	56.5702	cl04571	MARVEL superfamily	 - 	 - 
Q#10 - >RAD52	superfamily	455798	38	199	1.44543e-108	316.365	cl42453	Rad52_Rad22 superfamily	 - 	 - 
Q#11 - >NR4A1	superfamily	448242	415	652	2.58005e-174	495.502	cl11397	NR_LBD superfamily	 - 	 - 
Q#11 - >NR4A1	superfamily	413390	319	393	3.24196e-54	179.178	cl02596	NR_DBD_like superfamily	 - 	 - 
Q#12 - >MSX2	superfamily	444687	145	198	5.16698e-26	96.4238	cl00084	homeodomain superfamily	 - 	 - 
Q#13 - >HDHD3	superfamily	274056	8	210	1.93104e-97	283.405	cl30303	DREG-2 superfamily	 - 	 - 
Q#14 - >MVK	superfamily	215363	10	379	1.24734e-91	280.95	cl42972	PLN02677 superfamily	 - 	 - 
Q#15 - >PSG1	superfamily	448366	148	236	7.72697e-41	140.222	cl11960	Ig superfamily	 - 	 - 
Q#15 - >PSG1	superfamily	448366	36	138	6.69526e-39	135.475	cl11960	Ig superfamily	 - 	 - 
Q#15 - >PSG1	superfamily	448366	241	329	1.37607e-31	115.569	cl11960	Ig superfamily	 - 	 - 
Q#15 - >PSG1	superfamily	448366	338	413	1.85359e-27	104.116	cl11960	Ig superfamily	 - 	 - 
Q#16 - >PAX6	superfamily	451250	4	128	1.61865e-85	258.021	cl21459	HTH superfamily	 - 	 - 
Q#16 - >PAX6	superfamily	444687	214	266	7.83473e-26	99.5054	cl00084	homeodomain superfamily	 - 	 - 
Q#17 - >STMN2	superfamily	425897	38	163	2.56505e-39	130.911	cl02980	Stathmin superfamily	 - 	 - 
Q#18 - >SNRPC	superfamily	389966	24	59	2.43282e-18	74.0097	cl22907	zf-U1 superfamily	 - 	 - 
Q#19 - >TRO	superfamily	426270	451	611	3.76962e-23	98.8823	cl03220	MAGE superfamily	 - 	 - 
Q#19 - >TRO	superfamily	435043	1096	1320	2.0468e-09	61.992	cl37900	Nucleoporin_FG2 superfamily	C	 - 
Q#19 - >TRO	superfamily	455732	1221	1424	9.66325e-06	49.998	cl42387	dermokine superfamily	NC	 - 
Q#19 - >TRO	superfamily	224276	974	1183	0.000196155	44.4808	cl34238	YjbI superfamily	 - 	 - 
Q#20 - >TMEM87B	superfamily	419805	174	458	2.5382e-112	335.834	cl21735	Lung_7-TM_R superfamily	 - 	 - 
Q#21 - >RBBP5	superfamily	453027	30	322	1.07467e-20	92.398	cl29593	WD40 superfamily	 - 	 - 
Q#22 - >FOXA1	superfamily	444675	157	268	1.72809e-82	250.045	cl00061	FH_FOX superfamily	 - 	 - 
Q#22 - >FOXA1	superfamily	430552	397	461	6.62516e-23	91.5313	cl09612	HNF_C superfamily	 - 	 - 
Q#22 - >FOXA1	superfamily	369872	17	169	6.60501e-16	74.3053	cl22540	Forkhead_N superfamily	 - 	 - 
Q#23 - >SHROOM4	superfamily	430155	1242	1486	5.09219e-118	371.588	cl07345	ASD2 superfamily	 - 	 - 
Q#23 - >SHROOM4	superfamily	444702	13	89	4.85996e-15	71.4438	cl00117	PDZ superfamily	 - 	 - 
Q#24 - >TGDS	superfamily	451247	18	336	0	531.74	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#25 - >CUL3	superfamily	425932	34	665	0	820.648	cl38017	Cullin superfamily	 - 	 - 
Q#25 - >CUL3	superfamily	448151	698	760	8.33304e-31	114.861	cl11186	Cullin_Nedd8 superfamily	 - 	 - 
Q#26 - >HS3ST6	superfamily	451306	91	326	1.19931e-44	153.268	cl21551	Sulfotransfer_3 superfamily	 - 	 - 
Q#27 - >MMP27	superfamily	425668	106	261	5.42191e-89	269.487	cl37987	Peptidase_M10 superfamily	 - 	 - 
Q#27 - >MMP27	superfamily	413329	276	465	1.00262e-64	208.32	cl02471	HX superfamily	 - 	 - 
Q#27 - >MMP27	superfamily	426277	26	86	1.20349e-09	54.0585	cl38043	PG_binding_1 superfamily	 - 	 - 
Q#28 - >CDK14	superfamily	451246	129	431	0	638.276	cl21453	PKc_like superfamily	 - 	 - 
Q#29 - >GSTM3	superfamily	445916	96	216	5.2358e-71	212.109	cl02776	GST_C_family superfamily	 - 	 - 
Q#29 - >GSTM3	superfamily	444880	7	88	2.59209e-53	166.022	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#30 - >ARHGAP26	superfamily	448379	19	225	1.55956e-147	431.405	cl12013	BAR superfamily	 - 	 - 
Q#30 - >ARHGAP26	superfamily	445838	364	563	1.23706e-125	374.808	cl02570	RhoGAP superfamily	 - 	 - 
Q#30 - >ARHGAP26	superfamily	450165	267	371	3.83203e-65	212.191	cl17171	PH-like superfamily	 - 	 - 
Q#30 - >ARHGAP26	superfamily	450141	759	814	1.05602e-33	122.915	cl17036	SH3 superfamily	 - 	 - 
Q#31 - >ARHGAP28	superfamily	445838	377	588	5.90101e-118	352.804	cl02570	RhoGAP superfamily	 - 	 - 
Q#32 - >BMP3	superfamily	394804	363	472	8.53905e-84	253.418	cl40434	TGF_beta_SF superfamily	 - 	 - 
Q#33 - >E2F8	superfamily	426717	114	182	2.10811e-29	110.974	cl03534	E2F_TDP superfamily	 - 	 - 
Q#33 - >E2F8	superfamily	426717	262	347	1.10913e-22	92.0995	cl03534	E2F_TDP superfamily	 - 	 - 
Q#33 - >E2F8	superfamily	223021	464	700	0.000389909	44.5441	cl33720	PHA03247 superfamily	N	 - 
Q#34 - >BMP15	superfamily	394804	289	392	2.61863e-75	228.545	cl40434	TGF_beta_SF superfamily	 - 	 - 
Q#35 - >SPOCK1	superfamily	330171	198	309	5.92602e-80	242.641	cl25349	EFh_SPARC_EC superfamily	 - 	 - 
Q#35 - >SPOCK1	superfamily	444714	312	372	6.09811e-23	91.3713	cl00150	TY superfamily	 - 	 - 
Q#35 - >SPOCK1	superfamily	412159	136	174	1.29571e-07	47.8727	cl00097	KAZAL_FS superfamily	 - 	 - 
Q#36 - >ZNF19	superfamily	214630	14	73	9.44874e-28	104.597	cl42959	KRAB superfamily	 - 	 - 
Q#36 - >ZNF19	superfamily	227381	96	426	2.90978e-14	74.347	cl34881	COG5048 superfamily	N	 - 
Q#37 - >PCMTD2	superfamily	395902	11	219	2.3628e-25	101.291	cl30237	PCMT superfamily	 - 	 - 
Q#38 - >A1BG	superfamily	448366	28	112	4.90353e-36	128.715	cl11960	Ig superfamily	 - 	 - 
Q#38 - >A1BG	superfamily	448366	402	492	1.12728e-29	111.317	cl11960	Ig superfamily	 - 	 - 
