#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-137A5659A4581830-1D2DEEEF2D73DF47
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:41:35	Run time	0:00:00:31
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >CDKAL1	superfamily	273703	65	445	6.74726e-171	491.215	cl36934	MiaB-like-B superfamily	 - 	 - 
Q#2 - >VWA8	superfamily	444673	1713	1902	1.06933e-118	372.247	cl00057	vWFA superfamily	 - 	 - 
Q#2 - >VWA8	superfamily	453896	105	261	1.19187e-43	155.528	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#2 - >VWA8	superfamily	453896	776	923	1.95126e-28	112.001	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#2 - >VWA8	superfamily	453896	442	603	3.74607e-23	96.978	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#2 - >VWA8	superfamily	227596	164	846	8.70437e-12	70.7983	cl34967	MDN1 superfamily	NC	 - 
Q#3 - >PPP1R9A	superfamily	449586	1258	1327	1.10474e-35	129.696	cl15755	SAM_superfamily superfamily	 - 	 - 
Q#3 - >PPP1R9A	superfamily	436065	434	497	2.07672e-32	120.675	cl39310	PDZ_5 superfamily	 - 	 - 
Q#3 - >PPP1R9A	superfamily	444702	501	592	6.5805e-18	79.7303	cl00117	PDZ superfamily	 - 	 - 
Q#3 - >PPP1R9A	superfamily	274008	680	919	6.94644e-08	57.3738	cl37069	SMC_prok_B superfamily	NC	 - 
Q#4 - >SRD5A1	superfamily	451282	110	259	3.10277e-78	233.068	cl21511	PEMT superfamily	 - 	 - 
Q#5 - >CEP85	superfamily	224117	382	657	7.66974e-17	85.1511	cl34174	Smc superfamily	NC	 - 
Q#6 - >GALNT7	superfamily	448240	210	518	4.62967e-171	489.793	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#6 - >GALNT7	superfamily	395527	534	649	9.06391e-26	102.61	cl40832	Ricin_B_lectin superfamily	 - 	 - 
Q#7 - >LRRFIP1	superfamily	430789	42	314	2.42667e-66	222.63	cl26610	LRRFIP superfamily	 - 	 - 
Q#7 - >LRRFIP1	superfamily	273344	475	734	0.00137037	42.29	cl36772	2A1904 superfamily	N	 - 
Q#8 - >REST	superfamily	236669	599	767	9.66235e-08	56.6319	cl35903	PRK10263 superfamily	NC	 - 
Q#8 - >REST	superfamily	433230	318	343	2.12251e-06	45.0395	cl22375	zf-H2C2_2 superfamily	 - 	 - 
Q#8 - >REST	superfamily	404746	304	328	5.56013e-06	43.6931	cl16469	zf-H2C2_5 superfamily	 - 	 - 
Q#8 - >REST	superfamily	433230	290	315	5.82257e-05	40.8023	cl22375	zf-H2C2_2 superfamily	 - 	 - 
Q#8 - >REST	superfamily	404746	363	383	0.000936863	37.5299	cl16469	zf-H2C2_5 superfamily	 - 	 - 
Q#9 - >GLB1L	superfamily	453893	38	353	1.47136e-165	476.363	cl38930	AmyAc_family superfamily	 - 	 - 
Q#9 - >GLB1L	superfamily	433148	527	605	0.000535502	39.9209	cl18635	BetaGal_dom4_5 superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2356	2431	1.17578e-14	71.5198	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	1852	1932	2.39309e-14	70.3047	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	404697	103	163	6.32387e-14	68.3199	cl38440	LRR_8 superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	1958	2042	1.00264e-13	68.8234	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2549	2633	5.72863e-13	66.3748	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2732	2814	6.66407e-13	66.0675	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	590	668	1.02833e-12	65.9896	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2147	2225	1.11781e-12	65.2971	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2065	2137	1.58759e-12	64.896	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2258	2341	5.03859e-11	60.982	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2457	2535	1.38062e-10	59.8177	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	455733	65	218	1.792e-10	63.2665	cl42388	PPP1R42 superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	486	572	5.83537e-10	57.9004	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	448366	2652	2728	1.09438e-07	51.3521	cl11960	Ig superfamily	 - 	 - 
Q#10 - >MXRA5	superfamily	449528	217	263	5.33643e-06	45.4988	cl15307	TPKR_C2 superfamily	C	 - 
Q#10 - >MXRA5	superfamily	223021	1465	1799	0.000735786	45.3145	cl33720	PHA03247 superfamily	N	 - 
Q#10 - >MXRA5	superfamily	273344	1202	1519	0.00998494	41.5196	cl36772	2A1904 superfamily	C	 - 
Q#11 - >APC	superfamily	435476	732	1019	1.1437e-166	515.291	cl25003	Arm_APC_u3 superfamily	 - 	 - 
Q#11 - >APC	superfamily	428690	2223	2568	4.575e-110	354.953	cl25885	APC_basic superfamily	 - 	 - 
Q#11 - >APC	superfamily	399141	2670	2843	4.83475e-90	290.36	cl05480	EB1_binding superfamily	 - 	 - 
Q#11 - >APC	superfamily	406923	1036	1135	9.09789e-57	192.042	cl25004	APC_u5 superfamily	 - 	 - 
Q#11 - >APC	superfamily	435479	1746	1839	5.64458e-47	163.858	cl25009	APC_u14 superfamily	 - 	 - 
Q#11 - >APC	superfamily	436744	393	466	2.68695e-45	158.458	cl40092	APC_rep superfamily	 - 	 - 
Q#11 - >APC	superfamily	435478	1283	1368	1.28999e-35	131.147	cl25007	APC_u9 superfamily	 - 	 - 
Q#11 - >APC	superfamily	435480	1873	1947	2.63757e-31	118.809	cl25010	APC_u15 superfamily	 - 	 - 
Q#11 - >APC	superfamily	406927	1662	1715	1.10484e-24	98.7111	cl25008	APC_u13 superfamily	 - 	 - 
Q#11 - >APC	superfamily	431875	127	207	4.63111e-22	92.3046	cl12943	Suppressor_APC superfamily	 - 	 - 
Q#11 - >APC	superfamily	435517	4	55	6.28337e-22	90.8186	cl25043	APC_N_CC superfamily	 - 	 - 
Q#11 - >APC	superfamily	399133	1637	1660	1.09238e-07	49.7576	cl05471	APC_r superfamily	 - 	 - 
Q#11 - >APC	superfamily	451399	649	689	4.77947e-07	48.1945	cl22454	HEAT_EZ superfamily	 - 	 - 
Q#11 - >APC	superfamily	428675	2033	2052	5.0424e-05	42.1868	cl15568	SAMP superfamily	 - 	 - 
Q#11 - >APC	superfamily	274008	8	272	0.000345574	46.2031	cl37069	SMC_prok_B superfamily	N	 - 
Q#11 - >APC	superfamily	451399	512	553	0.000534178	39.7201	cl22454	HEAT_EZ superfamily	 - 	 - 
Q#11 - >APC	superfamily	451399	691	731	0.000671309	39.36	cl22454	HEAT_EZ superfamily	 - 	 - 
Q#11 - >APC	superfamily	428675	1716	1737	0.00175062	37.9496	cl15568	SAMP superfamily	 - 	 - 
Q#11 - >APC	superfamily	185628	1291	1701	0.00313887	43.1398	cl33186	PTZ00449 superfamily	N	 - 
Q#11 - >APC	superfamily	399133	1257	1274	0.00450679	36.6608	cl05471	APC_r superfamily	C	 - 
Q#11 - >APC	superfamily	451399	340	392	0.00832755	36.2533	cl22454	HEAT_EZ superfamily	 - 	 - 
