KIRP#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-B1B0CB8E739C287-367736BA1B64E6D8
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:17:22	Run time	0:00:00:47
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >RALA	superfamily	453896	15	177	4.69544e-111	314.364	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#2 - >HSPA2	superfamily	240227	2	615	0	1146.46	cl36495	PTZ00009 superfamily	 - 	 - 
Q#3 - >TSG101	superfamily	444715	21	139	1.125e-67	209.423	cl00154	UBCc superfamily	 - 	 - 
Q#3 - >TSG101	superfamily	430624	316	375	8.26952e-29	106.394	cl09692	Vps23_core superfamily	 - 	 - 
Q#3 - >TSG101	superfamily	429663	236	292	6.19535e-06	45.9656	cl06708	DUF1640 superfamily	N	 - 
Q#4 - >NRK	superfamily	451246	18	313	7.98874e-140	431.341	cl21453	PKc_like superfamily	 - 	 - 
Q#4 - >NRK	superfamily	445782	1218	1548	2.45779e-43	158.936	cl02434	CNH superfamily	 - 	 - 
Q#4 - >NRK	superfamily	236797	386	537	1.74993e-07	55.0712	cl35972	PRK10927 superfamily	NC	 - 
Q#4 - >NRK	superfamily	236669	375	766	2.22265e-05	49.3131	cl35903	PRK10263 superfamily	NC	 - 
Q#5 - >LIF	superfamily	419736	34	191	2.99891e-98	281.707	cl21565	LIF_OSM superfamily	 - 	 - 
Q#6 - >AP1M2	superfamily	416027	154	423	0	559.253	cl10970	AP_MHD_Cterm superfamily	 - 	 - 
Q#6 - >AP1M2	superfamily	365781	4	142	1.58124e-89	267.491	cl38905	longin-like superfamily	 - 	 - 
Q#7 - >GALK1	superfamily	223231	11	390	8.58698e-139	400.913	cl33780	GalK superfamily	 - 	 - 
Q#8 - >ZNF195	superfamily	214630	8	68	5.59026e-33	120.39	cl42959	KRAB superfamily	 - 	 - 
Q#8 - >ZNF195	superfamily	227381	229	633	3.32644e-08	56.2426	cl34881	COG5048 superfamily	 - 	 - 
Q#9 - >PHTF2	superfamily	432350	5	192	7.16246e-73	234.15	cl13552	Phtf-FEM1B_bdg superfamily	 - 	 - 
Q#10 - >RUVBL2	superfamily	224145	15	451	0	653.651	cl34193	TIP49 superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	449580	172	608	0	969.453	cl15693	Sema superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	417691	910	962	2.03426e-15	71.4639	cl15278	TSP_1 superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	417691	967	1019	1.14415e-14	69.1527	cl15278	TSP_1 superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	417691	721	774	3.65517e-14	67.6119	cl15278	TSP_1 superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	417691	779	825	2.68341e-10	56.8263	cl15278	TSP_1 superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	413394	609	656	1.65012e-08	51.9402	cl02601	PSI superfamily	 - 	 - 
Q#11 - >SEMA5B	superfamily	417691	1023	1064	3.81139e-05	42.0112	cl15278	TSP_1 superfamily	 - 	 - 
Q#12 - >TGM6	superfamily	425918	7	119	5.4926e-40	142.407	cl02994	Transglut_N superfamily	 - 	 - 
Q#12 - >TGM6	superfamily	395741	495	600	5.47164e-24	97.0272	cl08295	Transglut_C superfamily	 - 	 - 
Q#12 - >TGM6	superfamily	450180	268	359	1.80875e-20	85.5122	cl17362	Transglut_core superfamily	 - 	 - 
Q#12 - >TGM6	superfamily	395741	608	703	1.72286e-14	69.6781	cl08295	Transglut_C superfamily	 - 	 - 
Q#13 - >FAM135B	superfamily	451272	1136	1330	8.35488e-59	201.565	cl21494	Abhydrolase superfamily	 - 	 - 
Q#13 - >FAM135B	superfamily	432522	111	172	2.85959e-17	77.2479	cl13784	DUF3657 superfamily	 - 	 - 
Q#14 - >TBX15	superfamily	444711	107	304	1.17279e-150	431.843	cl00145	T-box superfamily	 - 	 - 
Q#15 - >TTLL12	superfamily	450176	346	642	4.55877e-96	296.94	cl17255	CPSase_L_D2 superfamily	 - 	 - 
Q#16 - >TLE6	superfamily	453027	282	561	5.81623e-14	72.3676	cl29593	WD40 superfamily	 - 	 - 
Q#17 - >PPP2R3C	superfamily	425382	56	437	0	728.598	cl41751	PPP2R3 superfamily	 - 	 - 
