#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-277756664BD0360B-3035B10816DA652C
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:48:18	Run time	0:00:00:49
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >ACAP1	superfamily	448379	18	217	2.28902e-107	325.33	cl12013	BAR superfamily	 - 	 - 
Q#1 - >ACAP1	superfamily	355783	405	524	3.33319e-85	264.514	cl28907	ArfGap superfamily	 - 	 - 
Q#1 - >ACAP1	superfamily	450165	268	364	1.33607e-52	177.026	cl17171	PH-like superfamily	 - 	 - 
Q#1 - >ACAP1	superfamily	223738	551	693	1.37892e-12	67.9271	cl34000	ANKYR superfamily	N	 - 
Q#2 - >ZBTB32	superfamily	453885	13	114	2.38074e-48	162.03	cl38908	BTB_POZ superfamily	 - 	 - 
Q#2 - >ZBTB32	superfamily	395048	373	395	0.000748834	36.8945	cl23491	zf-C2H2 superfamily	 - 	 - 
Q#2 - >ZBTB32	superfamily	227381	373	423	0.0026046	40.0642	cl34881	COG5048 superfamily	NC	 - 
Q#3 - >FGF21	superfamily	444674	47	159	4.95655e-35	120.026	cl00060	FGF superfamily	 - 	 - 
Q#4 - >ZNF416	superfamily	445843	27	67	9.47029e-22	88.2583	cl02581	KRAB_A-box superfamily	 - 	 - 
Q#4 - >ZNF416	superfamily	227381	77	506	2.60356e-10	62.791	cl34881	COG5048 superfamily	 - 	 - 
Q#4 - >ZNF416	superfamily	227516	490	573	0.000260374	43.5531	cl25788	SFP1 superfamily	N	 - 
Q#5 - >SNRNP40	superfamily	453027	62	351	7.35358e-80	245.707	cl29593	WD40 superfamily	 - 	 - 
Q#6 - >SNAP23	superfamily	451431	9	75	3.31145e-34	116.301	cl22856	SNARE superfamily	 - 	 - 
Q#6 - >SNAP23	superfamily	451431	149	207	5.03513e-29	102.923	cl22856	SNARE superfamily	 - 	 - 
Q#6 - >SNAP23	superfamily	425896	86	148	1.10475e-22	86.5617	cl02979	SNAP-25 superfamily	 - 	 - 
Q#7 - >KYNU	superfamily	130873	30	459	0	654.11	cl31141	kynureninase superfamily	 - 	 - 
Q#8 - >FKBP6	superfamily	450321	51	140	4.07406e-24	94.1852	cl19519	FKBP_C superfamily	 - 	 - 
Q#9 - >STAG2	superfamily	430044	157	265	2.1672e-48	167.358	cl44568	STAG superfamily	 - 	 - 
Q#9 - >STAG2	superfamily	227824	102	395	1.01162e-23	108.058	cl44256	IRR1 superfamily	C	 - 
Q#10 - >SLC35B1	superfamily	312076	53	346	3.42341e-45	156.679	cl26745	UAA superfamily	 - 	 - 
Q#11 - >WDR37	superfamily	453027	346	575	8.92461e-33	127.066	cl29593	WD40 superfamily	 - 	 - 
Q#11 - >WDR37	superfamily	225201	106	568	4.25807e-20	93.2295	cl43672	WD40 superfamily	 - 	 - 
Q#11 - >WDR37	superfamily	428304	60	91	0.00806275	36.7754	cl37721	DivIVA superfamily	C	 - 
Q#12 - >QPRT	superfamily	272894	18	285	7.45376e-125	356.951	cl36584	nadC superfamily	 - 	 - 
Q#13 - >L3HYPDH	superfamily	455752	22	352	6.10588e-162	455.603	cl42407	Pro_racemase superfamily	 - 	 - 
Q#14 - >CRBN	superfamily	448830	321	422	1.90817e-52	172.427	cl13152	RLR_C_like superfamily	 - 	 - 
Q#14 - >CRBN	superfamily	426647	80	317	3.25815e-34	127.067	cl37659	LON_substr_bdg superfamily	 - 	 - 
Q#15 - >TAS2R3	superfamily	452889	7	296	7.12446e-140	396.762	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#16 - >PCOLCE	superfamily	445808	313	437	2.58755e-62	197.609	cl02512	NTR_like superfamily	 - 	 - 
Q#16 - >PCOLCE	superfamily	412131	37	147	6.10734e-41	141.781	cl00049	CUB superfamily	 - 	 - 
Q#16 - >PCOLCE	superfamily	412131	159	270	2.12857e-40	140.24	cl00049	CUB superfamily	 - 	 - 
Q#17 - >STK10	superfamily	451246	23	314	0	645.163	cl21453	PKc_like superfamily	 - 	 - 
Q#17 - >STK10	superfamily	432582	755	895	9.81822e-35	129.232	cl25744	PKK superfamily	 - 	 - 
Q#17 - >STK10	superfamily	432582	587	725	5.29168e-32	121.528	cl25744	PKK superfamily	 - 	 - 
Q#18 - >PSMD5	superfamily	431327	1	504	0	695.768	cl28774	Proteasom_PSMB superfamily	 - 	 - 
Q#19 - >ALB	superfamily	444661	404	594	2.33951e-69	222.569	cl00031	ALBUMIN superfamily	 - 	 - 
Q#19 - >ALB	superfamily	444661	214	396	1.07525e-68	221.028	cl00031	ALBUMIN superfamily	 - 	 - 
Q#19 - >ALB	superfamily	444661	21	204	3.03442e-68	219.488	cl00031	ALBUMIN superfamily	 - 	 - 
Q#20 - >EVA1C	superfamily	434267	301	441	9.41824e-63	199.453	cl20751	FAM176 superfamily	 - 	 - 
Q#20 - >EVA1C	superfamily	459238	164	261	3.81846e-48	159.733	cl45893	Gal_Rha_Lectin superfamily	 - 	 - 
Q#20 - >EVA1C	superfamily	459238	61	160	4.89297e-43	146.656	cl45893	Gal_Rha_Lectin superfamily	 - 	 - 
Q#21 - >ZNF554	superfamily	445843	44	84	9.48553e-25	96.3475	cl02581	KRAB_A-box superfamily	 - 	 - 
Q#21 - >ZNF554	superfamily	214630	45	137	3.33609e-24	95.3518	cl42959	KRAB superfamily	 - 	 - 
Q#21 - >ZNF554	superfamily	227381	350	532	7.89711e-08	54.7018	cl34881	COG5048 superfamily	N	 - 
Q#21 - >ZNF554	superfamily	395048	324	346	0.00102364	36.5093	cl23491	zf-C2H2 superfamily	 - 	 - 
Q#22 - >ITGB3BP	superfamily	429086	64	200	5.71526e-77	227.748	cl05996	CENP-R superfamily	 - 	 - 
Q#23 - >MOB1B	superfamily	427416	38	209	3.07795e-121	341.057	cl04190	Mob1_phocein superfamily	 - 	 - 
