#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-37EBE80DC4D8AF6D-20A9353337A0A885
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T18:38:59	Run time	0:00:01:02
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >GNAO1	superfamily	453896	34	348	0	606.446	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#2 - >CYTH4	superfamily	444709	61	243	3.17762e-100	295.134	cl00136	Sec7 superfamily	 - 	 - 
Q#2 - >CYTH4	superfamily	450165	258	376	1.56476e-78	237.598	cl17171	PH-like superfamily	 - 	 - 
Q#3 - >CDKL1	superfamily	451246	2	287	0	640.959	cl21453	PKc_like superfamily	 - 	 - 
Q#4 - >MSANTD2	superfamily	451529	193	261	1.91918e-13	65.7506	cl23759	GT1 superfamily	C	 - 
Q#5 - >TSHZ3	superfamily	444687	892	960	0.000322905	39.5341	cl00084	homeodomain superfamily	 - 	 - 
Q#6 - >ITGA2B	superfamily	430000	481	921	2.25025e-179	529.963	cl26747	Integrin_alpha2 superfamily	 - 	 - 
Q#6 - >ITGA2B	superfamily	214549	384	438	4.1268e-13	64.7041	cl21611	Int_alpha superfamily	 - 	 - 
Q#6 - >ITGA2B	superfamily	214549	316	367	5.43826e-10	55.8445	cl21611	Int_alpha superfamily	 - 	 - 
Q#6 - >ITGA2B	superfamily	214549	445	485	3.38484e-08	50.8369	cl21611	Int_alpha superfamily	C	 - 
Q#6 - >ITGA2B	superfamily	214549	46	102	1.54574e-07	48.9109	cl21611	Int_alpha superfamily	 - 	 - 
Q#6 - >ITGA2B	superfamily	395284	1020	1034	0.00132378	36.7171	cl02848	Integrin_alpha superfamily	 - 	 - 
Q#6 - >ITGA2B	superfamily	214549	262	302	0.00673382	35.8141	cl21611	Int_alpha superfamily	C	 - 
Q#7 - >MYEF2	superfamily	450164	524	600	2.21732e-52	173.618	cl17169	RRM_SF superfamily	 - 	 - 
Q#7 - >MYEF2	superfamily	450164	101	176	7.57143e-51	169.389	cl17169	RRM_SF superfamily	 - 	 - 
Q#7 - >MYEF2	superfamily	450164	233	308	3.04484e-49	165.191	cl17169	RRM_SF superfamily	 - 	 - 
Q#7 - >MYEF2	superfamily	130689	124	596	4.0188e-13	72.1469	cl31127	PABP-1234 superfamily	C	 - 
