#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1AF32CCEFD17785D-284EDC7EBDBA231A
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:24:07	Run time	0:00:00:36
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >MUC4	superfamily	445871	6403	6560	1.47199e-53	186.094	cl02648	NIDO superfamily	 - 	 - 
Q#1 - >MUC4	superfamily	445907	6559	6674	1.90871e-45	163.15	cl02758	AMOP superfamily	 - 	 - 
Q#1 - >MUC4	superfamily	445809	6679	6859	2.4208e-23	100.169	cl02516	VWD superfamily	 - 	 - 
Q#1 - >MUC4	superfamily	223021	3211	3721	1.20706e-08	62.6485	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	5378	5952	2.37824e-08	61.8781	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	5716	6240	3.43691e-07	58.0261	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	1515	1999	5.97239e-07	57.2557	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	2583	3087	1.7008e-06	55.7149	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	2260	2767	3.8635e-06	54.5593	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	3532	4063	8.85001e-06	53.0185	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	227709	4106	4326	2.47614e-05	51.4303	cl34999	ROM1 superfamily	C	 - 
Q#1 - >MUC4	superfamily	223021	4910	5440	4.88292e-05	50.7073	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	4038	4618	0.000125759	49.5517	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	227709	1098	1350	0.000165763	48.7339	cl34999	ROM1 superfamily	C	 - 
Q#1 - >MUC4	superfamily	223039	524	967	0.000416692	47.4733	cl33723	PHA03307 superfamily	C	 - 
Q#1 - >MUC4	superfamily	223039	4472	4861	0.000441937	47.4733	cl33723	PHA03307 superfamily	C	 - 
Q#1 - >MUC4	superfamily	237863	1844	2279	0.00466019	43.9456	cl36445	PRK14949 superfamily	N	 - 
Q#2 - >CDKN1A	superfamily	426671	21	66	3.517e-19	75.6448	cl03494	CDI superfamily	 - 	 - 
Q#3 - >MAST4	superfamily	451246	569	848	0	670.268	cl21453	PKc_like superfamily	 - 	 - 
Q#3 - >MAST4	superfamily	430324	258	531	5.68005e-165	509.637	cl07500	DUF1908 superfamily	 - 	 - 
Q#3 - >MAST4	superfamily	444702	1146	1224	2.16503e-16	76.0662	cl00117	PDZ superfamily	 - 	 - 
Q#3 - >MAST4	superfamily	223021	1811	2189	3.25774e-09	63.0337	cl33720	PHA03247 superfamily	N	 - 
Q#3 - >MAST4	superfamily	448241	844	874	8.65714e-05	42.3476	cl11395	Pkinase_C superfamily	C	 - 
Q#3 - >MAST4	superfamily	223039	2109	2474	0.000244819	46.7029	cl33723	PHA03307 superfamily	C	 - 
Q#4 - >CFAP47	superfamily	444660	1741	1865	1.0635e-15	75.413	cl00030	CH_SF superfamily	 - 	 - 
Q#5 - >FOXG1	superfamily	444675	181	259	1.68648e-60	192.781	cl00061	FH_FOX superfamily	 - 	 - 
Q#5 - >FOXG1	superfamily	227358	184	356	0.000286712	43.2602	cl34870	COG5025 superfamily	NC	 - 
Q#6 - >CDKN2A	superfamily	223738	16	161	1.04476e-12	63.6899	cl34000	ANKYR superfamily	N	 - 
Q#7 - >RB1	superfamily	430328	768	925	2.16e-96	299.178	cl07508	Rb_C superfamily	 - 	 - 
Q#7 - >RB1	superfamily	426479	373	573	2.26368e-89	282.155	cl03387	RB_A superfamily	 - 	 - 
Q#7 - >RB1	superfamily	454757	645	771	9.62879e-76	242.966	cl40454	CYCLIN_SF superfamily	 - 	 - 
Q#7 - >RB1	superfamily	432200	114	227	2.73102e-08	53.3574	cl13385	DUF3452 superfamily	 - 	 - 
Q#8 - >AXIN1	superfamily	445834	89	209	8.65212e-69	223.106	cl02565	RGS superfamily	 - 	 - 
Q#8 - >AXIN1	superfamily	445779	780	862	9.89494e-33	121.365	cl02426	DIX superfamily	 - 	 - 
Q#8 - >AXIN1	superfamily	450125	11	80	1.15174e-27	106.364	cl16934	Axin_TNKS_binding superfamily	 - 	 - 
Q#8 - >AXIN1	superfamily	430248	465	496	8.47821e-10	54.6242	cl07441	Axin_b-cat_bind superfamily	 - 	 - 
Q#9 - >ATP8A2	superfamily	273734	68	1106	0	1634.4	cl36945	ATPase-Plipid superfamily	 - 	 - 
