#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3336BA474C4132AD-3E4D194371F3CCFF
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:01:24	Run time	0:00:00:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >UBE2A	superfamily	444715	80	217	3.84876e-76	225.92	cl00154	UBCc superfamily	 - 	 - 
Q#2 - >LYPLA1	superfamily	451272	11	226	7.55906e-107	306.611	cl21494	Abhydrolase superfamily	 - 	 - 
Q#3 - >HAPLN1	superfamily	448366	43	161	2.5847e-71	217.578	cl11960	Ig superfamily	 - 	 - 
Q#3 - >HAPLN1	superfamily	445853	159	253	1.4765e-69	212.287	cl02612	Link_Domain superfamily	 - 	 - 
Q#3 - >HAPLN1	superfamily	445853	260	350	4.0671e-57	180.312	cl02612	Link_Domain superfamily	 - 	 - 
Q#4 - >ZNF33A	superfamily	214630	30	89	1.13752e-35	128.864	cl42959	KRAB superfamily	 - 	 - 
Q#4 - >ZNF33A	superfamily	227381	457	817	1.86571e-10	63.9466	cl34881	COG5048 superfamily	 - 	 - 
Q#4 - >ZNF33A	superfamily	227381	160	534	4.95228e-06	49.6942	cl34881	COG5048 superfamily	 - 	 - 
Q#5 - >TP53	superfamily	449334	70	249	4.43149e-95	282.621	cl14608	P53 superfamily	 - 	 - 
Q#5 - >TP53	superfamily	429612	280	319	1.69402e-15	70.0076	cl06653	P53_tetramer superfamily	 - 	 - 
Q#5 - >TP53	superfamily	375947	1	20	8.21944e-09	50.5195	cl39845	TAD2 superfamily	 - 	 - 
Q#6 - >FMN2	superfamily	418645	1283	1673	1.92759e-122	389.322	cl19758	FH2 superfamily	 - 	 - 
Q#6 - >FMN2	superfamily	223039	230	500	4.90369e-09	61.3405	cl33723	PHA03307 superfamily	C	 - 
Q#7 - >CCNT2	superfamily	454757	8	146	6.70855e-101	305.818	cl40454	CYCLIN_SF superfamily	 - 	 - 
Q#7 - >CCNT2	superfamily	454757	150	263	1.34218e-75	238.827	cl40454	CYCLIN_SF superfamily	 - 	 - 
Q#7 - >CCNT2	superfamily	227709	296	427	0.00125638	42.1855	cl34999	ROM1 superfamily	C	 - 
Q#8 - >TNN	superfamily	412152	1065	1276	3.71773e-115	358.476	cl00085	FReD superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	265	342	2.70893e-13	66.2844	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	798	874	1.18231e-12	64.558	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	709	791	1.40704e-12	64.8251	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	532	610	1.71072e-12	64.3585	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	621	697	4.24424e-11	60.3208	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	359	434	5.09878e-11	60.1213	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	444	517	6.63564e-11	59.7361	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	886	962	4.37525e-10	57.2392	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451288	974	1047	3.18385e-07	49.3357	cl21522	FN3 superfamily	 - 	 - 
Q#8 - >TNN	superfamily	376143	171	197	3.05617e-05	41.9003	cl40035	EGF_Tenascin superfamily	 - 	 - 
Q#8 - >TNN	superfamily	451279	236	259	6.03357e-05	41.1792	cl21504	EGF_CA superfamily	 - 	 - 
Q#8 - >TNN	superfamily	376143	202	229	0.00357914	36.1223	cl40035	EGF_Tenascin superfamily	 - 	 - 
Q#9 - >MAP2	superfamily	429957	540	1668	0	1906.32	cl25763	MAP2_projctn superfamily	 - 	 - 
Q#9 - >MAP2	superfamily	425670	1855	1884	4.3115e-13	64.7242	cl02863	Tubulin-binding superfamily	 - 	 - 
Q#9 - >MAP2	superfamily	425670	1886	1916	1.26129e-12	63.1834	cl02863	Tubulin-binding superfamily	 - 	 - 
Q#9 - >MAP2	superfamily	425670	1827	1853	4.5519e-08	50.4718	cl02863	Tubulin-binding superfamily	 - 	 - 
Q#9 - >MAP2	superfamily	185628	1611	1851	0.00215884	43.1398	cl33186	PTZ00449 superfamily	N	 - 
Q#10 - >TP53BP2	superfamily	452900	10	89	1.75685e-53	180.774	cl28922	Ubl1_cv_Nsp3_N-like superfamily	 - 	 - 
