Gene,p value Asian,mutation rates
TP53,0.0107296384784801,0.956521739130435
NFE2L2,1.05089454610888e-06,0.304347826086957
ZNF750,0.0027505461026032,0.173913043478261
PCDHB7,0.0103273391854624,0.130434782608696
TNN,0.0021085881800631,0.108695652173913
NCOA4,0.0085585131345494,0.0869565217391304
PAPD7,0.0383981860252066,0.0869565217391304
ZNF33A,0.0085585131345494,0.0869565217391304
CCNT2,0.0349685182169571,0.0652173913043478
CEP250,0.0349685182169571,0.0652173913043478
CROCCP2,0.0349685182169571,0.0652173913043478
CTDSP1,0.0349685182169571,0.0652173913043478
DARS2,0.0349685182169571,0.0652173913043478
EHD1,0.0349685182169571,0.0652173913043478
HAPLN1,0.0349685182169571,0.0652173913043478
HCAR3,0.0349685182169571,0.0652173913043478
HIST1H2BH,0.0349685182169571,0.0652173913043478
LPP,0.0349685182169571,0.0652173913043478
LYPLA1,0.0349685182169571,0.0652173913043478
MAP7D2,0.0349685182169571,0.0652173913043478
RNPC3,0.0349685182169571,0.0652173913043478
SLC6A5,0.0349685182169571,0.0652173913043478
SPIN4,0.0349685182169571,0.0652173913043478
SV2C,0.0349685182169571,0.0652173913043478
TP53BP2,0.0349685182169571,0.0652173913043478
UBE2A,0.0349685182169571,0.0652173913043478
ZNF341,0.0349685182169571,0.0652173913043478
SYNE1,0.0081228473266159,0.0434782608695652
FMN2,0.0384712187328911,0.0
LRP2,0.0223305257314779,0.0
MAP2,0.0223305257314779,0.0
NBEA,0.0293279121182012,0.0
PTPRD,0.0384712187328911,0.0
RP13-580B18.4,0.0223305257314779,0.0
SPTA1,0.009756526951024,0.0
