#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1BFEB2635F88DF17-345406B876F698CF
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T18:58:22	Run time	0:00:01:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >PANK3	superfamily	450142	14	362	6.53874e-179	498.94	cl17037	NBD_sugar-kinase_HSP70_actin superfamily	 - 	 - 
Q#2 - >SLC25A2	superfamily	395101	205	296	3.28206e-21	85.7858	cl37969	Mito_carr superfamily	 - 	 - 
Q#2 - >SLC25A2	superfamily	395101	9	94	4.3211e-18	77.6966	cl37969	Mito_carr superfamily	 - 	 - 
Q#2 - >SLC25A2	superfamily	395101	125	198	5.48554e-13	63.8294	cl37969	Mito_carr superfamily	N	 - 
Q#3 - >ZNF688	superfamily	214630	26	86	1.02918e-32	114.227	cl42959	KRAB superfamily	 - 	 - 
Q#3 - >ZNF688	superfamily	433230	198	222	1.81338e-06	43.4987	cl22375	zf-H2C2_2 superfamily	 - 	 - 
Q#3 - >ZNF688	superfamily	395048	183	205	2.44246e-05	40.3613	cl23491	zf-C2H2 superfamily	 - 	 - 
Q#4 - >MOSPD3	superfamily	395510	41	133	6.36211e-14	65.4655	cl44412	Motile_Sperm superfamily	 - 	 - 
Q#5 - >SLC13A1	superfamily	451259	41	569	4.6994e-58	198.963	cl21473	ArsB_NhaD_permease superfamily	 - 	 - 
Q#6 - >PPP3CC	superfamily	449317	37	341	0	675.177	cl13995	MPP_superfamily superfamily	 - 	 - 
Q#7 - >PHF20L1	superfamily	435495	318	414	4.82678e-43	151.558	cl25024	PHD20L1_u1 superfamily	 - 	 - 
Q#7 - >PHF20L1	superfamily	445840	86	143	3.23553e-37	133.554	cl02573	Tudor_SF superfamily	 - 	 - 
Q#7 - >PHF20L1	superfamily	451427	683	728	9.42459e-32	117.428	cl22851	PHD_SF superfamily	 - 	 - 
Q#7 - >PHF20L1	superfamily	459242	13	72	5.54272e-28	106.939	cl45897	MBT superfamily	 - 	 - 
Q#8 - >MAX	superfamily	444684	24	92	2.12851e-42	135.172	cl00081	bHLH_SF superfamily	 - 	 - 
Q#9 - >GAMT	superfamily	450167	63	166	8.74733e-12	60.5214	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#10 - >ODC1	superfamily	444795	37	408	0	630.681	cl00261	PLPDE_III superfamily	 - 	 - 
Q#11 - >IPO8	superfamily	227943	15	996	9.61257e-134	428.502	cl35038	SXM1 superfamily	 - 	 - 
Q#12 - >MAPK13	superfamily	451246	9	351	0	708.207	cl21453	PKc_like superfamily	 - 	 - 
Q#13 - >EEPD1	superfamily	444936	261	538	1.96528e-51	177.205	cl00490	EEP superfamily	 - 	 - 
Q#13 - >EEPD1	superfamily	451393	37	95	9.84791e-19	80.2125	cl22429	HHH_5 superfamily	 - 	 - 
Q#13 - >EEPD1	superfamily	451393	136	195	3.13911e-17	75.9753	cl22429	HHH_5 superfamily	 - 	 - 
Q#14 - >TMC5	superfamily	429672	724	830	2.11352e-53	181.572	cl06719	TMC superfamily	 - 	 - 
Q#14 - >TMC5	superfamily	223039	36	293	2.01163e-05	48.6289	cl33723	PHA03307 superfamily	C	 - 
Q#15 - >DKK4	superfamily	459233	128	221	1.14077e-62	190.197	cl45888	CLPS_Dkk_Cys2 superfamily	 - 	 - 
Q#15 - >DKK4	superfamily	446465	37	91	8.40401e-27	97.534	cl04692	Dkk_Cys1 superfamily	 - 	 - 
Q#16 - >COLEC11	superfamily	445781	165	280	3.13007e-67	204.837	cl02432	CLECT superfamily	 - 	 - 
Q#16 - >COLEC11	superfamily	439624	35	113	2.94378e-08	54.123	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#17 - >PFKFB4	superfamily	450170	30	249	1.05088e-136	392.085	cl17190	NK superfamily	 - 	 - 
Q#17 - >PFKFB4	superfamily	448243	252	438	1.91832e-54	180.483	cl11399	HP superfamily	 - 	 - 
Q#19 - >TLR8	superfamily	451524	898	1040	2.13555e-16	76.9784	cl23749	TIR_2 superfamily	 - 	 - 
Q#19 - >TLR8	superfamily	455733	591	792	3.7521e-13	69.8149	cl42388	PPP1R42 superfamily	 - 	 - 
Q#19 - >TLR8	superfamily	215061	301	790	4.13839e-11	67.1804	cl33413	PLN00113 superfamily	C	 - 
Q#19 - >TLR8	superfamily	455733	130	339	1.59028e-07	53.2513	cl42388	PPP1R42 superfamily	 - 	 - 
