#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-26AC57A5C070992A-1AE648D0E384706F
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-04T21:40:58	Run time	0:00:00:24
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >MUC4	superfamily	445871	6403	6560	1.47199e-53	186.094	cl02648	NIDO superfamily	 - 	 - 
Q#1 - >MUC4	superfamily	445907	6559	6674	1.90871e-45	163.15	cl02758	AMOP superfamily	 - 	 - 
Q#1 - >MUC4	superfamily	445809	6679	6859	2.4208e-23	100.169	cl02516	VWD superfamily	 - 	 - 
Q#1 - >MUC4	superfamily	223021	3211	3721	1.20706e-08	62.6485	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	5378	5952	2.37824e-08	61.8781	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	5716	6240	3.43691e-07	58.0261	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	1515	1999	5.97239e-07	57.2557	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	2583	3087	1.7008e-06	55.7149	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	2260	2767	3.8635e-06	54.5593	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	3532	4063	8.85001e-06	53.0185	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	227709	4106	4326	2.47614e-05	51.4303	cl34999	ROM1 superfamily	C	 - 
Q#1 - >MUC4	superfamily	223021	4910	5440	4.88292e-05	50.7073	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	223021	4038	4618	0.000125759	49.5517	cl33720	PHA03247 superfamily	N	 - 
Q#1 - >MUC4	superfamily	227709	1098	1350	0.000165763	48.7339	cl34999	ROM1 superfamily	C	 - 
Q#1 - >MUC4	superfamily	223039	524	967	0.000416692	47.4733	cl33723	PHA03307 superfamily	C	 - 
Q#1 - >MUC4	superfamily	223039	4472	4861	0.000441937	47.4733	cl33723	PHA03307 superfamily	C	 - 
Q#1 - >MUC4	superfamily	237863	1844	2279	0.00466019	43.9456	cl36445	PRK14949 superfamily	N	 - 
Q#2 - > AXIN1	superfamily	445854	1380	1512	4.00022e-81	263.777	cl02614	SPRY superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	445854	950	1101	2.22871e-79	259.552	cl02614	SPRY superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	428952	4685	4974	1.33871e-78	263.082	cl24183	RR_TM4-6 superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	426222	2469	2677	2.02609e-76	253.253	cl03182	RYDR_ITPR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	426222	752	942	2.4586e-76	252.867	cl03182	RYDR_ITPR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	450353	316	517	7.42636e-76	252.407	cl19745	Ins145_P3_rec superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	445854	1726	1874	9.00614e-76	249.53	cl02614	SPRY superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	397103	519	697	2.0664e-73	244.195	cl26702	MIR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	426570	1158	1248	8.90415e-46	161.119	cl03409	RyR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	426570	3043	3133	1.00183e-42	152.259	cl03409	RyR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	426570	1272	1362	2.567e-37	136.851	cl03409	RyR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	426570	3163	3247	7.16545e-35	129.918	cl03409	RyR superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	430005	4179	4295	3.72562e-32	122.633	cl09597	RIH_assoc superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	425730	5068	5252	3.16262e-27	113.516	cl37996	Ion_trans superfamily	 - 	 - 
Q#2 - > AXIN1	superfamily	445779	5375	5414	2.59405e-12	65.2326	cl02426	DIX superfamily	C	 - 
Q#2 - > AXIN1	superfamily	223039	120	298	1.73799e-05	51.7105	cl33723	PHA03307 superfamily	C	 - 
Q#3 - > RYR1	superfamily	445871	5510	5667	2.36621e-53	186.864	cl02648	NIDO superfamily	 - 	 - 
Q#3 - > RYR1	superfamily	428952	513	773	1.06389e-46	172.56	cl24183	RR_TM4-6 superfamily	 - 	 - 
Q#3 - > RYR1	superfamily	445907	5666	5781	4.79216e-45	163.15	cl02758	AMOP superfamily	 - 	 - 
Q#3 - > RYR1	superfamily	430005	7	123	6.08132e-32	123.403	cl09597	RIH_assoc superfamily	 - 	 - 
