Gene,p value Asian,mutation rates
TTN,0.0252253881867595,0.318181818181818
STAG2,0.0379037259675974,0.25
TP53,0.0007432979061513,0.227272727272727
HRAS,0.0033335101263974,0.159090909090909
ARID1A,0.0104834979681634,0.0909090909090909
EPHA7,0.0376720473037278,0.0909090909090909
FAM189B,0.0016274036114161,0.0909090909090909
ZBTB32,0.0111177793069994,0.0909090909090909
ALB,0.0487541381181463,0.0681818181818182
BAIAP3,0.0487541381181463,0.0681818181818182
CLK2P1,0.0016350511901397,0.0681818181818182
EIF3M,0.0487541381181463,0.0681818181818182
FKBP6,0.0079131609645287,0.0681818181818182
GSG2,0.0487541381181463,0.0681818181818182
HP1BP3,0.0079131609645287,0.0681818181818182
HTR1A,0.0228042084088637,0.0681818181818182
OR52B4,0.0079131609645287,0.0681818181818182
PXK,0.0228042084088637,0.0681818181818182
RIOK3,0.0228042084088637,0.0681818181818182
SEMA6C,0.0487541381181463,0.0681818181818182
SPATA31A3,0.0487541381181463,0.0681818181818182
STK10,0.0228042084088637,0.0681818181818182
TRAPPC9,0.0228042084088637,0.0681818181818182
TRIM56,0.0228042084088637,0.0681818181818182
UBASH3B,0.0487541381181463,0.0681818181818182
ACAP1,0.0402144302111678,0.0454545454545455
ASAH1,0.0402144302111678,0.0454545454545455
C15orf41,0.0402144302111678,0.0454545454545455
CASP7,0.0402144302111678,0.0454545454545455
CCNK,0.0056178917795781,0.0454545454545455
CRBN,0.0402144302111678,0.0454545454545455
DYX1C1,0.0402144302111678,0.0454545454545455
EVA1C,0.0402144302111678,0.0454545454545455
FAM177B,0.0402144302111678,0.0454545454545455
FAM195A,0.0402144302111678,0.0454545454545455
FGF21,0.0402144302111678,0.0454545454545455
HAVCR1,0.0402144302111678,0.0454545454545455
HIGD2B,0.0402144302111678,0.0454545454545455
IL17RE,0.0402144302111678,0.0454545454545455
IQCD,0.0056178917795781,0.0454545454545455
ITGB3BP,0.0402144302111678,0.0454545454545455
KYNU,0.0402144302111678,0.0454545454545455
L3HYPDH,0.0056178917795781,0.0454545454545455
MAP3K7CL,0.0402144302111678,0.0454545454545455
MOB1B,0.0402144302111678,0.0454545454545455
NOTUM,0.0402144302111678,0.0454545454545455
NTN5,0.0056178917795781,0.0454545454545455
NXNL1,0.0056178917795781,0.0454545454545455
PAGE1,0.0056178917795781,0.0454545454545455
PARVG,0.0056178917795781,0.0454545454545455
PCOLCE,0.0402144302111678,0.0454545454545455
PDCD1LG2,0.0402144302111678,0.0454545454545455
PILRB,0.0402144302111678,0.0454545454545455
PPP1R3B,0.0402144302111678,0.0454545454545455
PRPSAP2,0.0056178917795781,0.0454545454545455
PSMD5,0.0402144302111678,0.0454545454545455
QPRT,0.0402144302111678,0.0454545454545455
RAB5B,0.0402144302111678,0.0454545454545455
RP11-434D2.2,0.0402144302111678,0.0454545454545455
SLC35B1,0.0402144302111678,0.0454545454545455
SNAP23,0.0402144302111678,0.0454545454545455
SNRNP40,0.0056178917795781,0.0454545454545455
SUGCT,0.0402144302111678,0.0454545454545455
TAS2R3,0.0402144302111678,0.0454545454545455
TFF3,0.0056178917795781,0.0454545454545455
TRAV8-4,0.0402144302111678,0.0454545454545455
UGT1A5,0.0402144302111678,0.0454545454545455
VCX3B,0.0402144302111678,0.0454545454545455
WDR37,0.0402144302111678,0.0454545454545455
WNT5B,0.0402144302111678,0.0454545454545455
ZNF416,0.0402144302111678,0.0454545454545455
ZNF554,0.0402144302111678,0.0454545454545455
ZNF787,0.0056178917795781,0.0454545454545455
XIRP2,0.0255409547578487,0.0227272727272727
DCHS2,0.0493060138345349,0.0
DNAH8,0.0408631011985341,0.0
MED13,0.0493060138345349,0.0
