#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3DFD4302319ECEF5-2F5DF466B56E0856
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T18:49:15	Run time	0:00:01:28
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >SFRP1	superfamily	445787	52	175	2.282e-93	272.542	cl02447	CRD_FZ superfamily	 - 	 - 
Q#1 - >SFRP1	superfamily	445808	183	306	1.13352e-41	140.507	cl02512	NTR_like superfamily	 - 	 - 
Q#2 - >RASL12	superfamily	453896	22	185	7.76022e-78	232.938	cl38936	P-loop_NTPase superfamily	 - 	 - 
Q#3 - >FGF6	superfamily	444674	84	205	3.21385e-60	184.289	cl00060	FGF superfamily	 - 	 - 
Q#4 - >USP6	superfamily	227847	528	1114	2.94273e-79	280.231	cl35019	UBP12 superfamily	N	 - 
Q#4 - >USP6	superfamily	445800	97	312	3.13895e-60	205.618	cl02495	RabGAP-TBC superfamily	 - 	 - 
Q#4 - >USP6	superfamily	425685	1029	1366	2.76263e-23	102.136	cl37989	UCH superfamily	N	 - 
Q#6 - >POLDIP3	superfamily	450164	297	365	1.75208e-42	143.951	cl17169	RRM_SF superfamily	 - 	 - 
Q#7 - >EFNB1	superfamily	450256	31	165	3.16146e-96	281.642	cl19115	Cupredoxin superfamily	 - 	 - 
Q#8 - >CAMK2B	superfamily	451246	12	303	0	669.899	cl21453	PKc_like superfamily	 - 	 - 
Q#8 - >CAMK2B	superfamily	447678	534	661	1.60546e-69	222.011	cl09109	NTF2_like superfamily	 - 	 - 
Q#8 - >CAMK2B	superfamily	183756	338	490	5.96554e-05	45.8621	cl32828	motB superfamily	N	 - 
Q#9 - >AFTPH	superfamily	434415	699	769	7.21753e-23	93.2197	cl20918	Clathrin_bdg superfamily	 - 	 - 
Q#10 - >SLC22A5	superfamily	273328	12	544	0	694.068	cl36765	2A0119 superfamily	 - 	 - 
Q#11 - >YWHAQ	superfamily	445665	1	234	5.61696e-169	465.309	cl02098	14-3-3 superfamily	 - 	 - 
Q#12 - >CYP27A1	superfamily	425388	89	524	0	805.035	cl41757	cytochrome_P450 superfamily	 - 	 - 
Q#13 - >PUM1	superfamily	453019	879	1202	0	539.101	cl29546	Pumilio superfamily	 - 	 - 
Q#14 - >DAZL	superfamily	450164	55	136	2.09746e-60	187.298	cl17169	RRM_SF superfamily	 - 	 - 
Q#14 - >DAZL	superfamily	130689	60	228	1.49355e-12	67.9097	cl31127	PABP-1234 superfamily	N	 - 
Q#15 - >BACH2	superfamily	453885	6	129	9.49267e-85	265.658	cl38908	BTB_POZ superfamily	 - 	 - 
Q#15 - >BACH2	superfamily	451253	640	710	3.77468e-38	136.086	cl21462	bZIP superfamily	 - 	 - 
Q#16 - >GAPDH	superfamily	177912	2	332	0	602.617	cl30355	PLN02272 superfamily	 - 	 - 
Q#17 - >TRIM51	superfamily	450175	9	67	6.1546e-33	118.74	cl17238	RING_Ubox superfamily	 - 	 - 
Q#17 - >TRIM51	superfamily	445854	285	448	1.78022e-32	121.265	cl02614	SPRY superfamily	 - 	 - 
Q#17 - >TRIM51	superfamily	444664	87	129	1.8939e-22	89.9202	cl00034	Bbox_SF superfamily	C	 - 
Q#18 - >HOXB8	superfamily	444687	150	202	1.11708e-26	97.5794	cl00084	homeodomain superfamily	 - 	 - 
Q#19 - >NR1H4	superfamily	448242	261	481	2.57799e-149	425.012	cl11397	NR_LBD superfamily	 - 	 - 
Q#19 - >NR1H4	superfamily	413390	134	221	2.1874e-54	176.695	cl02596	NR_DBD_like superfamily	 - 	 - 
Q#20 - >BLK	superfamily	451246	233	484	1.39482e-175	497.487	cl21453	PKc_like superfamily	 - 	 - 
Q#20 - >BLK	superfamily	449520	120	219	1.07865e-72	227.597	cl15255	SH2 superfamily	 - 	 - 
Q#20 - >BLK	superfamily	450141	62	115	8.66509e-31	114.142	cl17036	SH3 superfamily	 - 	 - 
Q#21 - >MTIF2	superfamily	223606	176	718	0	557.549	cl43170	InfB superfamily	 - 	 - 
Q#22 - >SLC1A1	superfamily	444986	21	465	4.64222e-108	327.556	cl00573	SDF superfamily	 - 	 - 
Q#23 - >COQ9	superfamily	451365	102	281	1.45532e-64	201.436	cl21709	COQ9 superfamily	 - 	 - 
Q#24 - >WSB1	superfamily	453027	135	388	4.40764e-56	186.772	cl29593	WD40 superfamily	 - 	 - 
Q#24 - >WSB1	superfamily	445817	382	421	1.44292e-23	92.1817	cl02533	SOCS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	428708	413	528	1.28661e-33	125.002	cl20316	ADAM_spacer1 superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	408800	856	912	2.84925e-14	67.8616	cl40597	TSP1_ADAMTS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	437068	317	411	1.89075e-13	67.8116	cl41950	ADAM_CR_3 superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	408800	680	736	5.99377e-13	64.0096	cl40597	TSP1_ADAMTS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	430154	975	1005	2.33497e-11	59.0542	cl07344	PLAC superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	408800	739	793	2.43193e-11	59.7725	cl40597	TSP1_ADAMTS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	408800	916	967	8.50035e-11	58.2317	cl40597	TSP1_ADAMTS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	408800	627	676	2.05941e-08	51.2981	cl40597	TSP1_ADAMTS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	408800	797	850	3.08734e-06	45.1349	cl40597	TSP1_ADAMTS superfamily	 - 	 - 
Q#25 - >THSD4	superfamily	417691	58	95	0.00169089	37.5663	cl15278	TSP_1 superfamily	C	 - 
Q#26 - >NOTCH3	superfamily	425406	1618	1709	8.02471e-38	137.187	cl41775	JMTM_Notch_APP superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	429134	1505	1560	8.42009e-23	93.3562	cl08449	NOD superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	429594	1577	1637	6.53029e-22	90.7695	cl06639	NODP superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	223738	1858	2024	1.96942e-17	83.7203	cl34000	ANKYR superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	158	195	1.21139e-10	58.0318	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	445777	1384	1418	1.65029e-08	52.1455	cl02419	Notch superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	445777	1421	1458	2.05241e-08	51.9434	cl02419	Notch superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	165207	1732	1979	2.08602e-08	59.6918	cl31517	PHA02876 superfamily	NC	 - 
Q#26 - >NOTCH3	superfamily	451279	810	846	2.98586e-08	51.4834	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	445777	1474	1500	3.47212e-08	50.9899	cl02419	Notch superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	223021	2045	2318	3.99604e-08	59.1817	cl33720	PHA03247 superfamily	N	 - 
Q#26 - >NOTCH3	superfamily	451279	469	505	8.02746e-08	50.3278	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	391	429	1.68994e-07	49.1722	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	849	884	2.28964e-07	48.787	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	431	467	7.71792e-07	47.2462	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	1171	1203	9.3895e-07	47.2462	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	274	311	1.38978e-06	46.4758	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	507	542	1.88344e-06	46.0906	cl21504	EGF_CA superfamily	 - 	 - 
Q#26 - >NOTCH3	superfamily	451279	929	960	2.29153e-06	46.0906	cl21504	EGF_CA superfamily	 - 	 - 
