#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-CA38E5523D21B6C-356A3AAEC829D79E
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:19:38	Run time	0:00:01:14
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >SMARCD2	superfamily	453884	307	386	1.61931e-55	180.555	cl38907	SWIB-MDM2 superfamily	 - 	 - 
Q#1 - >SMARCD2	superfamily	227818	230	425	1.44078e-15	76.329	cl44253	Rsc6 superfamily	 - 	 - 
Q#1 - >SMARCD2	superfamily	165468	61	148	0.00669859	38.7206	cl30881	PHA03201 superfamily	C	 - 
Q#2 - >FERMT1	superfamily	450165	370	493	4.34195e-73	231.511	cl17171	PH-like superfamily	 - 	 - 
Q#2 - >FERMT1	superfamily	452900	11	94	1.78066e-58	191.598	cl28922	Ubl1_cv_Nsp3_N-like superfamily	 - 	 - 
Q#2 - >FERMT1	superfamily	450165	564	655	5.45053e-54	179.461	cl17171	PH-like superfamily	 - 	 - 
Q#2 - >FERMT1	superfamily	452900	95	275	3.90328e-44	153.069	cl28922	Ubl1_cv_Nsp3_N-like superfamily	 - 	 - 
Q#2 - >FERMT1	superfamily	214604	250	343	2.10302e-19	86.9654	cl33382	B41 superfamily	NC	 - 
Q#3 - >CTSA	superfamily	415488	57	494	0	514.885	cl08270	Peptidase_S10 superfamily	 - 	 - 
Q#4 - >SARS2	superfamily	444800	187	487	7.37227e-157	448.162	cl00268	class_II_aaRS-like_core superfamily	 - 	 - 
Q#5 - >YTHDC2	superfamily	452890	193	368	1.55833e-119	370.314	cl28899	DEAD-like_helicase_N superfamily	 - 	 - 
Q#5 - >YTHDC2	superfamily	224557	189	1016	4.37157e-85	297.694	cl34328	HrpA superfamily	C	 - 
Q#5 - >YTHDC2	superfamily	455773	1289	1418	3.31271e-63	210.887	cl42428	EVE-like superfamily	 - 	 - 
Q#5 - >YTHDC2	superfamily	444816	46	104	7.79735e-28	107.014	cl00297	R3H superfamily	 - 	 - 
Q#5 - >YTHDC2	superfamily	400182	971	1066	4.16006e-12	63.0403	cl06657	OB_NTP_bind superfamily	 - 	 - 
Q#6 - >HMGCL	superfamily	451249	17	325	0	505.479	cl21457	TIM superfamily	 - 	 - 
Q#7 - >KAT2A	superfamily	428957	86	335	1.39761e-165	479.872	cl05793	PCAF_N superfamily	 - 	 - 
Q#7 - >KAT2A	superfamily	445827	732	831	1.89115e-54	183.14	cl02556	Bromodomain superfamily	 - 	 - 
Q#7 - >KAT2A	superfamily	227408	492	832	1.61661e-40	153.423	cl34891	COG5076 superfamily	 - 	 - 
Q#8 - >DNASE2	superfamily	427225	18	336	3.6413e-165	463.663	cl28749	DNase_II superfamily	 - 	 - 
Q#9 - >BRD8	superfamily	445827	709	812	4.95894e-64	211.839	cl02556	Bromodomain superfamily	 - 	 - 
Q#9 - >BRD8	superfamily	445827	1105	1208	5.76269e-55	186.031	cl02556	Bromodomain superfamily	 - 	 - 
