#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-28EF3C64D80AFBE8-70CE1829F885FF5
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T18:54:20	Run time	0:00:00:55
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >DOK1	superfamily	450165	151	253	5.08056e-59	189.35	cl17171	PH-like superfamily	 - 	 - 
Q#1 - >DOK1	superfamily	450165	6	119	7.13699e-49	163.344	cl17171	PH-like superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	445931	28	263	7.5344e-93	300.263	cl02806	Laminin_N superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	424069	1690	1759	3.1181e-29	111.679	cl40438	cc_LAMB_C superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	275316	1413	1754	2.70703e-17	88.1536	cl37461	Mplasa_alph_rch superfamily	C	 - 
Q#2 - >LAMB4	superfamily	451279	1080	1128	9.10136e-13	64.2968	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	454	503	1.18249e-11	60.831	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	505	549	2.68755e-11	60.0606	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	395	452	3.55176e-11	59.6744	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	1127	1165	1.6402e-10	57.7494	cl21504	EGF_CA superfamily	C	 - 
Q#2 - >LAMB4	superfamily	451279	822	865	2.85081e-10	56.978	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	768	809	5.13626e-09	53.5122	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	1033	1077	6.03778e-09	53.126	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	862	909	6.74975e-08	50.4306	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	264	320	5.94801e-07	47.7342	cl21504	EGF_CA superfamily	 - 	 - 
Q#2 - >LAMB4	superfamily	451279	970	1012	6.65912e-07	47.348	cl21504	EGF_CA superfamily	C	 - 
Q#2 - >LAMB4	superfamily	451279	332	382	5.59886e-06	45.0369	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >COL1A1	superfamily	445783	1227	1463	6.78924e-156	470.269	cl02436	COLFI superfamily	 - 	 - 
Q#3 - >COL1A1	superfamily	439624	446	686	3.26829e-27	116.525	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#3 - >COL1A1	superfamily	439624	273	561	9.48894e-27	115.37	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#3 - >COL1A1	superfamily	450195	40	95	2.86628e-22	91.3319	cl17735	VWC superfamily	 - 	 - 
Q#3 - >COL1A1	superfamily	439624	582	824	2.15485e-20	96.1097	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#3 - >COL1A1	superfamily	439624	908	1112	4.89607e-20	94.9541	cl45768	gly_rich_SclB superfamily	NC	 - 
Q#3 - >COL1A1	superfamily	396114	239	295	1.29821e-08	52.4969	cl22949	Collagen superfamily	 - 	 - 
Q#4 - >LIM2	superfamily	451326	1	199	5.42158e-42	139.429	cl21598	PMP22_Claudin superfamily	 - 	 - 
Q#5 - >MRPL2	superfamily	273481	77	270	5.9534e-59	189.827	cl44338	rplB_bact superfamily	C	 - 
Q#6 - >UNC13D	superfamily	449331	84	263	2.78441e-70	231.106	cl14603	C2 superfamily	 - 	 - 
Q#6 - >UNC13D	superfamily	449331	910	1039	6.48707e-54	183.978	cl14603	C2 superfamily	 - 	 - 
Q#7 - >SNTA1	superfamily	444702	86	167	2.85774e-25	98.793	cl00117	PDZ superfamily	 - 	 - 
Q#7 - >SNTA1	superfamily	450165	209	270	6.61932e-23	92.7383	cl17171	PH-like superfamily	N	 - 
Q#7 - >SNTA1	superfamily	450165	298	401	2.99368e-08	51.4083	cl17171	PH-like superfamily	 - 	 - 
Q#8 - >CEACAM6	superfamily	448366	36	140	8.93481e-55	174.38	cl11960	Ig superfamily	 - 	 - 
Q#8 - >CEACAM6	superfamily	448366	146	234	2.77571e-48	157.171	cl11960	Ig superfamily	 - 	 - 
Q#8 - >CEACAM6	superfamily	448366	243	318	6.79567e-32	114.517	cl11960	Ig superfamily	 - 	 - 
Q#9 - >MCM3	superfamily	214631	154	699	0	746.394	cl33383	MCM superfamily	 - 	 - 
Q#9 - >MCM3	superfamily	434034	61	149	8.61182e-17	76.1708	cl20563	MCM_N superfamily	 - 	 - 
Q#10 - >FAM20A	superfamily	446855	306	522	6.83565e-163	461.348	cl05973	FAM20_C_like superfamily	 - 	 - 
Q#11 - >RNF19B	superfamily	459240	184	258	2.19972e-51	172.904	cl45895	BRcat_Rcat_RBR superfamily	 - 	 - 
Q#11 - >RNF19B	superfamily	459240	281	349	5.66957e-46	157.644	cl45895	BRcat_Rcat_RBR superfamily	 - 	 - 
Q#11 - >RNF19B	superfamily	450175	116	179	1.37381e-31	117.191	cl17238	RING_Ubox superfamily	 - 	 - 
Q#11 - >RNF19B	superfamily	224215	347	436	0.00110821	41.1261	cl42159	AzlC superfamily	N	 - 
Q#12 - >GTDC1	superfamily	432280	2	164	1.46078e-91	274.436	cl12034	DUF3524 superfamily	 - 	 - 
Q#12 - >GTDC1	superfamily	447877	287	399	9.69365e-11	61.6512	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#13 - >MRAP2	superfamily	434522	13	99	3.68426e-42	137.247	cl21048	MRAP superfamily	 - 	 - 
Q#14 - >CCNT1	superfamily	454757	10	147	1.11351e-100	305.441	cl40454	CYCLIN_SF superfamily	 - 	 - 
Q#14 - >CCNT1	superfamily	454757	151	259	5.48533e-72	229.195	cl40454	CYCLIN_SF superfamily	 - 	 - 
Q#15 - >CHCHD3	superfamily	428415	29	204	2.08655e-41	139.468	cl25739	DUF737 superfamily	 - 	 - 
Q#16 - >HAL	superfamily	444650	114	625	0	848.219	cl00013	Lyase_I_like superfamily	 - 	 - 
