#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2FEA4F2B047646E7-159E0D0D1AA0D6A9
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-02-22T19:44:31	Run time	0:00:01:13
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >PTPN18	superfamily	452893	27	292	0	554.82	cl28904	PTP_DSP_cys superfamily	 - 	 - 
Q#3 - >STK10	superfamily	451246	23	314	0	645.163	cl21453	PKc_like superfamily	 - 	 - 
Q#3 - >STK10	superfamily	432582	755	895	9.81822e-35	129.232	cl25744	PKK superfamily	 - 	 - 
Q#3 - >STK10	superfamily	432582	587	725	5.29168e-32	121.528	cl25744	PKK superfamily	 - 	 - 
Q#4 - >CHD9	superfamily	215601	811	1480	2.18524e-150	497.786	cl33647	PLN03142 superfamily	C	 - 
Q#4 - >CHD9	superfamily	452897	770	828	3.30743e-35	128.946	cl28914	CD_CSD superfamily	 - 	 - 
Q#4 - >CHD9	superfamily	452897	686	750	3.02492e-30	115.126	cl28914	CD_CSD superfamily	 - 	 - 
Q#4 - >CHD9	superfamily	445886	2556	2600	2.23847e-15	71.995	cl02688	BRK superfamily	 - 	 - 
Q#4 - >CHD9	superfamily	445886	2482	2531	2.97039e-15	71.6098	cl02688	BRK superfamily	 - 	 - 
Q#4 - >CHD9	superfamily	227709	176	362	2.11141e-05	50.2747	cl34999	ROM1 superfamily	C	 - 
Q#4 - >CHD9	superfamily	227928	161	558	0.00495588	42.1658	cl35034	GAT1 superfamily	 - 	 - 
Q#5 - >KLF6	superfamily	425363	2	201	7.84362e-89	262.706	cl41732	KLF6_7_N-like superfamily	 - 	 - 
Q#5 - >KLF6	superfamily	227381	177	265	7.10496e-05	43.9162	cl34881	COG5048 superfamily	C	 - 
Q#5 - >KLF6	superfamily	395048	260	282	7.16021e-05	38.8205	cl23491	zf-C2H2 superfamily	 - 	 - 
Q#6 - >F9	superfamily	451320	227	457	1.74348e-98	294.954	cl21584	Tryp_SPc superfamily	 - 	 - 
Q#6 - >F9	superfamily	445789	28	92	2.26521e-29	109.322	cl02449	Gla superfamily	 - 	 - 
